conference,conference_slug,year,proceedings_url,publisher,status,notes
CVPR,cvpr,2015,https://openaccess.thecvf.com/CVPR2015,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2016,https://openaccess.thecvf.com/CVPR2016,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2017,https://openaccess.thecvf.com/CVPR2017,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2018,https://openaccess.thecvf.com/CVPR2018,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2019,https://openaccess.thecvf.com/CVPR2019,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2020,https://openaccess.thecvf.com/CVPR2020,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2021,https://openaccess.thecvf.com/CVPR2021,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2022,https://openaccess.thecvf.com/CVPR2022,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2023,https://openaccess.thecvf.com/CVPR2023,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2024,https://openaccess.thecvf.com/CVPR2024,IEEE/CVF Open Access,pending,Seeded from reference image
CVPR,cvpr,2025,https://openaccess.thecvf.com/CVPR2025,IEEE/CVF Open Access,pending,Added for requested extension beyond the image
ICCV,iccv,2015,https://openaccess.thecvf.com/ICCV2015,IEEE/CVF Open Access,pending,Seeded from ICCV/ECCV row in reference image
ECCV,eccv,2016,https://link.springer.com/book/10.1007/978-3-319-46448-0,Springer,pending,Exact ECCV 2016 proceedings Part I
ICCV,iccv,2017,https://openaccess.thecvf.com/ICCV2017,IEEE/CVF Open Access,pending,Seeded from ICCV/ECCV row in reference image
ECCV,eccv,2018,https://link.springer.com/book/10.1007/978-3-030-01246-5,Springer,pending,Exact ECCV 2018 proceedings Part I
ICCV,iccv,2019,https://openaccess.thecvf.com/ICCV2019,IEEE/CVF Open Access,pending,Seeded from ICCV/ECCV row in reference image
ECCV,eccv,2020,https://link.springer.com/book/10.1007/978-3-030-58452-8,Springer,pending,Exact ECCV 2020 proceedings Part I
ICCV,iccv,2021,https://openaccess.thecvf.com/ICCV2021,IEEE/CVF Open Access,pending,Seeded from ICCV/ECCV row in reference image
ECCV,eccv,2022,https://link.springer.com/book/10.1007/978-3-031-19769-7,Springer,pending,Exact ECCV 2022 proceedings Part I
ICCV,iccv,2023,https://openaccess.thecvf.com/ICCV2023,IEEE/CVF Open Access,pending,Seeded from ICCV/ECCV row in reference image
ECCV,eccv,2024,https://link.springer.com/book/9783031732317,Springer,pending,Exact ECCV 2024 proceedings Part I
ICCV,iccv,2025,https://openaccess.thecvf.com/ICCV2025,IEEE/CVF Open Access,pending,Added for requested extension beyond the image based on alternating ICCV/ECCV schedule
