paper_id,author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied,first_page_text_path
AAAI-2015-P0003,AAAI-2015-A000007,Wenhan Luo,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text.,no,data/raw/aaai/2015/first_pages/AAAI-2015-P0003.txt
AAAI-2015-P0003,AAAI-2015-A000008,Björn Stenger,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text.,no,data/raw/aaai/2015/first_pages/AAAI-2015-P0003.txt
AAAI-2015-P0003,AAAI-2015-A000009,Xiaowei Zhao,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text.,no,data/raw/aaai/2015/first_pages/AAAI-2015-P0003.txt
AAAI-2015-P0003,AAAI-2015-A000010,Tae-Kyun Kim,UNKNOWN,UNKNOWN,South Korea,medium,"The name 'Tae-Kyun Kim' is commonly associated with South Korea, but this is not explicitly confirmed in the text.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0003.txt
AAAI-2015-P0005,AAAI-2015-A000015,Haonan Yu,UNKNOWN,UNKNOWN,United States,high,"The paper's first page lists the affiliation as Purdue University, located in West Lafayette, IN, USA.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0005.txt
AAAI-2015-P0005,AAAI-2015-A000016,Jeffrey Siskind,UNKNOWN,UNKNOWN,United States,high,"The paper's first page lists the affiliation as Purdue University, located in West Lafayette, IN, USA.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0005.txt
AAAI-2015-P0006,AAAI-2015-A000017,Junchi Yan,UNKNOWN,UNKNOWN,China,high,"Email address 'yanjunchi@sjtu.edu.cn' and affiliation 'Shanghai Jiao Tong University, Shanghai, 200240, China' clearly indicate China.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0006.txt
AAAI-2015-P0006,AAAI-2015-A000018,Jun Wang,UNKNOWN,UNKNOWN,United States | China,high,"Affiliation includes 'Institue of Data Science and Technology, Alibaba Group, Seattle, WA, 98101, USA' and 'Shanghai Jiao Tong University, Shanghai, 200240, China' (assuming 'Shanghai Jiao Tong University' is a typo for 'Shanghai Jiao Tong University' as it is not mentioned for Jun Wang).",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0006.txt
AAAI-2015-P0006,AAAI-2015-A000019,Hongyuan Zha,UNKNOWN,UNKNOWN,United States | China,high,"Affiliation includes 'Software Engineering Institute, East China Normal University, Shanghai, 200062, China' and 'College of Computing, Georgia Institute of Technology, Atlanta, Georgia, 30332, USA'.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0006.txt
AAAI-2015-P0006,AAAI-2015-A000020,Xiaokang Yang,UNKNOWN,UNKNOWN,China,high,"Email address 'xkyang@sjtu.edu.cn' and affiliation 'Shanghai Jiao Tong University, Shanghai, 200240, China' clearly indicate China.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0006.txt
AAAI-2015-P0006,AAAI-2015-A000021,Stephen Chu,UNKNOWN,UNKNOWN,China,high,"Email address 'schu@cn.ibm.com' and affiliation 'IBM Research – China, Shanghai, 201203, China' clearly indicate China.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0006.txt
AAAI-2015-P0013,AAAI-2015-A000044,Jayanta Dutta,UNKNOWN,UNKNOWN,United States,high,"The affiliation 'The University of Memphis, Memphis, TN 38152, USA' is explicitly mentioned in the first-page text.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0013.txt
AAAI-2015-P0013,AAAI-2015-A000045,Bonny Banerjee,UNKNOWN,UNKNOWN,United States,high,"The affiliation 'The University of Memphis, Memphis, TN 38152, USA' is explicitly mentioned in the first-page text.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0013.txt
AAAI-2015-P0014,AAAI-2015-A000050,Alexander G.Hauptmann,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'School of Computer Science, Carnegie Mellon University, Pittsburgh, USA' as the affiliation for Alexander G.Hauptmann, but the current_institution is marked as UNKNOWN in the author list. This discrepancy makes it unclear whether the affiliation is reliable.",no,data/raw/aaai/2015/first_pages/AAAI-2015-P0014.txt
AAAI-2015-P0016,AAAI-2015-A000060,Dana Nau,UNKNOWN,UNKNOWN,United States,high,"Affiliation listed as 'University of Maryland, College Park, MD, USA'.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0016.txt
AAAI-2015-P0016,AAAI-2015-A000061,Malik Ghallab,UNKNOWN,UNKNOWN,France,high,"Affiliation listed as 'LAAS/CNRS, University of Toulouse, Toulouse, France'.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0016.txt
AAAI-2015-P0016,AAAI-2015-A000062,Paolo Traverso,UNKNOWN,UNKNOWN,Italy,high,"Affiliation listed as 'FBK ICT IRST, Trento, Italy'.",yes,data/raw/aaai/2015/first_pages/AAAI-2015-P0016.txt
AAAI-2015-P0020,AAAI-2015-A000067,Wlodek Zadrozny,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit mention of country in the text.,no,data/raw/aaai/2015/first_pages/AAAI-2015-P0020.txt
AAAI-2015-P0020,AAAI-2015-A000068,Valeria de Paiva,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit mention of country in the text.,no,data/raw/aaai/2015/first_pages/AAAI-2015-P0020.txt
AAAI-2015-P0020,AAAI-2015-A000069,Lawrence Moss,UNKNOWN,UNKNOWN,UNKNOWN,low,,no,data/raw/aaai/2015/first_pages/AAAI-2015-P0020.txt
