paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
AAAI-2016-P0001,AAAI-2016-A000001,Suvash Sedhain,symbol,1,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000002,Aditya Menon,symbol,1,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000003,Scott Sanner,symbol,1,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000004,Darius Braziunas,symbol,1,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000001,Suvash Sedhain,stacked,2,3,4,"Australian National University, ∗ NICTA , Canberra, ACT, Australia Oregon State University, Corvallis, OR, USA Rakuten Kobo Inc., Toronto, Canada",1,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000002,Aditya Menon,stacked,2,3,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000003,Scott Sanner,stacked,2,3,4,"Australian National University, ∗ NICTA , Canberra, ACT, Australia Oregon State University, Corvallis, OR, USA Rakuten Kobo Inc., Toronto, Canada",1,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000004,Darius Braziunas,stacked,2,3,4,"Australian National University, ∗ NICTA , Canberra, ACT, Australia Oregon State University, Corvallis, OR, USA Rakuten Kobo Inc., Toronto, Canada",1,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000001,Suvash Sedhain,shared,3,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000002,Aditya Menon,shared,3,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000003,Scott Sanner,shared,3,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0001,AAAI-2016-A000004,Darius Braziunas,shared,3,0,4,UNKNOWN,-1000,data/raw/aaai/2016/first_pages/AAAI-2016-P0001.txt,https://cdn.aaai.org/ojs/9991/9991-13-13519-1-2-20201228.pdf
AAAI-2016-P0002,AAAI-2016-A000005,Hancheng Ge,stacked,2,2,2,"Department of Computer Science and Engineering Texas A&M University, USA",6,data/raw/aaai/2016/first_pages/AAAI-2016-P0002.txt,https://cdn.aaai.org/ojs/9989/9989-13-13517-1-2-20201228.pdf
AAAI-2016-P0002,AAAI-2016-A000006,James Caverlee,stacked,2,2,2,"Department of Computer Science and Engineering Texas A&M University, USA",6,data/raw/aaai/2016/first_pages/AAAI-2016-P0002.txt,https://cdn.aaai.org/ojs/9989/9989-13-13517-1-2-20201228.pdf
AAAI-2016-P0002,AAAI-2016-A000005,Hancheng Ge,shared,3,2,2,"Department of Computer Science and Engineering Texas A&M University, USA",6,data/raw/aaai/2016/first_pages/AAAI-2016-P0002.txt,https://cdn.aaai.org/ojs/9989/9989-13-13517-1-2-20201228.pdf
AAAI-2016-P0002,AAAI-2016-A000006,James Caverlee,shared,3,2,2,"Department of Computer Science and Engineering Texas A&M University, USA",6,data/raw/aaai/2016/first_pages/AAAI-2016-P0002.txt,https://cdn.aaai.org/ojs/9989/9989-13-13517-1-2-20201228.pdf
AAAI-2016-P0003,AAAI-2016-A000007,Niket Tandon,numbered,0,6,6,"Max Planck Institute for Informatics, Germany",4,data/raw/aaai/2016/first_pages/AAAI-2016-P0003.txt,https://cdn.aaai.org/ojs/9992/9992-13-13520-1-2-20201228.pdf
AAAI-2016-P0003,AAAI-2016-A000008,Charles Hariman,numbered,0,6,6,"Max Planck Institute for Informatics, Germany",4,data/raw/aaai/2016/first_pages/AAAI-2016-P0003.txt,https://cdn.aaai.org/ojs/9992/9992-13-13520-1-2-20201228.pdf
AAAI-2016-P0003,AAAI-2016-A000009,Jacopo Urbani,numbered,0,6,6,"Max Planck Institute for Informatics, Germany | VU University Amsterdam, Netherlands",7,data/raw/aaai/2016/first_pages/AAAI-2016-P0003.txt,https://cdn.aaai.org/ojs/9992/9992-13-13520-1-2-20201228.pdf
AAAI-2016-P0003,AAAI-2016-A000010,Anna Rohrbach,numbered,0,6,6,"Max Planck Institute for Informatics, Germany",4,data/raw/aaai/2016/first_pages/AAAI-2016-P0003.txt,https://cdn.aaai.org/ojs/9992/9992-13-13520-1-2-20201228.pdf
AAAI-2016-P0003,AAAI-2016-A000011,Marcus Rohrbach,numbered,0,6,6,"UC Berkeley EECS and ICSI, USA",2,data/raw/aaai/2016/first_pages/AAAI-2016-P0003.txt,https://cdn.aaai.org/ojs/9992/9992-13-13520-1-2-20201228.pdf
AAAI-2016-P0003,AAAI-2016-A000012,Gerhard Weikum,numbered,0,6,6,"Max Planck Institute for Informatics, Germany",4,data/raw/aaai/2016/first_pages/AAAI-2016-P0003.txt,https://cdn.aaai.org/ojs/9992/9992-13-13520-1-2-20201228.pdf
