paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,candidate_score,first_page_text_path,source_url
AAAI-2019-P0001,AAAI-2019-A000001,Yu-Hang Zhou,stacked,best_scoring_candidate,"Alibaba Group, Hangzhou, China",2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000002,Chen Liang,stacked,no_viable_candidate,UNKNOWN,-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000003,Nan Li,stacked,no_viable_candidate,UNKNOWN,-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000004,Cheng Yang,stacked,no_viable_candidate,UNKNOWN,-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000005,Shenghuo Zhu,stacked,no_viable_candidate,UNKNOWN,-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0001,AAAI-2019-A000006,Rong Jin,stacked,no_viable_candidate,UNKNOWN,-2,data/raw/aaai/2019/first_pages/AAAI-2019-P0001.txt,https://cdn.aaai.org/ojs/3818/3818-13-6876-1-10-20190701.pdf
AAAI-2019-P0002,AAAI-2019-A000007,Quoc-Tuan Truong,stacked,complete_stacked_variant,School of Information Systems Singapore Management University,6,data/raw/aaai/2019/first_pages/AAAI-2019-P0002.txt,https://cdn.aaai.org/ojs/3799/3799-13-6857-1-10-20190701.pdf
AAAI-2019-P0002,AAAI-2019-A000008,Hady W. Lauw,stacked,complete_stacked_variant,School of Information Systems Singapore Management University,6,data/raw/aaai/2019/first_pages/AAAI-2019-P0002.txt,https://cdn.aaai.org/ojs/3799/3799-13-6857-1-10-20190701.pdf
AAAI-2019-P0003,AAAI-2019-A000009,Chun-Hsiang Wang,stacked,complete_stacked_variant,"Department of Computer Science, National Chengchi University, Taiwan Research Center for Information Technology Innovation, Academia Sinica, Taiwan MOST Joint Research Center for AI Technology and All Vista Healthcare, Taiwan",7,data/raw/aaai/2019/first_pages/AAAI-2019-P0003.txt,https://cdn.aaai.org/ojs/3800/3800-13-6858-1-10-20190701.pdf
AAAI-2019-P0003,AAAI-2019-A000010,Kang-Chun Fan,stacked,complete_stacked_variant,"Department of Computer Science, National Chengchi University, Taiwan Research Center for Information Technology Innovation, Academia Sinica, Taiwan MOST Joint Research Center for AI Technology and All Vista Healthcare, Taiwan",7,data/raw/aaai/2019/first_pages/AAAI-2019-P0003.txt,https://cdn.aaai.org/ojs/3800/3800-13-6858-1-10-20190701.pdf
