author_id,author_name,institution,country,conference,year
AAAI-2021-A000001,Yi Zhou,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",China | Switzerland,AAAI,2021
AAAI-2021-A000002,Lei Huang,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",China | Switzerland,AAAI,2021
AAAI-2021-A000003,Tianfei Zhou,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",China | Switzerland,AAAI,2021
AAAI-2021-A000004,Ling Shao,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",China | Switzerland,AAAI,2021
AAAI-2021-A000005,Shuxin Wang,"Department of Computer Science, Xiamen University, Xiamen, China | Tencent Jarvis Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000006,Shilei Cao,"Tencent Jarvis Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000007,Dong Wei,"Tencent Jarvis Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000008,Cong Xie,"Department of Computer Science, Xiamen University, Xiamen, China | Tencent Jarvis Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000009,Kai Ma,"Tencent Jarvis Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000010,Liansheng Wang,"Department of Computer Science, Xiamen University, Xiamen, China | Department of Digestive Diseases, School of Medicine, Xiamen University, Xiamen, China",China,AAAI,2021
AAAI-2021-A000011,Deyu Meng,"School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China",China,AAAI,2021
AAAI-2021-A000012,Yefeng Zheng,"Tencent Jarvis Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000013,Zhicheng Wang,"Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University",UNKNOWN,AAAI,2021
AAAI-2021-A000014,Biwei Huang,"Department of Philosophy, Carnegie Mellon University",United States,AAAI,2021
AAAI-2021-A000015,Shikui Tu,"Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University",UNKNOWN,AAAI,2021
AAAI-2021-A000016,Kun Zhang,"Department of Philosophy, Carnegie Mellon University",United States,AAAI,2021
AAAI-2021-A000017,Lei Xu,"Department of Computer Science and Engineering, Shanghai Jiao Tong University | Centre for Cognitive Machines and Computational Health (CMaCH), Shanghai Jiao Tong University",UNKNOWN,AAAI,2021
AAAI-2021-A000018,Yinjun Wu,University of Pennsylvania,UNKNOWN,AAAI,2021
AAAI-2021-A000019,Jingchao Ni,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000020,Wei Cheng,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000021,Bo Zong,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000022,Dongjin Song,University of Connecticut,UNKNOWN,AAAI,2021
AAAI-2021-A000023,Zhengzhang Chen,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000024,Yanchi Liu,University of Pennsylvania NEC Laboratories America University of Connecticut,UNKNOWN,AAAI,2021
AAAI-2021-A000025,Xuchao Zhang,University of Pennsylvania NEC Laboratories America University of Connecticut,UNKNOWN,AAAI,2021
AAAI-2021-A000026,Haifeng Chen,University of Pennsylvania NEC Laboratories America University of Connecticut,UNKNOWN,AAAI,2021
AAAI-2021-A000027,Susan B Davidson,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000028,Hengrui Xing,"Department of Computer Science, Columbia University, New York, USA",United States,AAAI,2021
AAAI-2021-A000029,Ansaf Salleb-Aouissi,"Department of Computer Science, Columbia University, New York, USA",United States,AAAI,2021
AAAI-2021-A000030,Nakul Verma,"Department of Computer Science, Columbia University, New York, USA",United States,AAAI,2021
AAAI-2021-A000031,Bingyu Xu,Peng Cheng Laboratory,UNKNOWN,AAAI,2021
AAAI-2021-A000032,Yaowei Wang,Peng Cheng Laboratory,UNKNOWN,AAAI,2021
AAAI-2021-A000033,Zhaozhi Wang,Peking University,UNKNOWN,AAAI,2021
AAAI-2021-A000034,Huizhu Jia,Peking University,UNKNOWN,AAAI,2021
AAAI-2021-A000035,Zongqing Lu,Peking University,UNKNOWN,AAAI,2021
AAAI-2021-A000036,Qianqian Xu,"Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, CAS, Beijing, China",China,AAAI,2021
AAAI-2021-A000037,Zhiyong Yang,"State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China | School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China",China,AAAI,2021
AAAI-2021-A000038,Zuyao Chen,"School of Computer Science and Technology, University of Chinese Academy of Sciences, Beijing, China",China,AAAI,2021
AAAI-2021-A000039,Yangbangyan Jiang,"State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China | School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China",China,AAAI,2021
AAAI-2021-A000040,Xiaochun Cao,"State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China | School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China | Peng Cheng Laboratory, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000041,Yuan Yao,"Department of Mathematics, Hong Kong University of Science and Technology, Hong Kong, China",China,AAAI,2021
AAAI-2021-A000042,Qingming Huang,"Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, CAS, Beijing, China | School of Computer Science and Technology, University of Chinese Academy of Sciences, Beijing, China | Key Laboratory of Big Data Mining and Knowledge Management, Chinese Academy of Sciences, Beijing, China | Peng Cheng Laboratory, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000043,Chengcheng Yang,East China Normal University,China,AAAI,2021
AAAI-2021-A000044,Lisi Chen,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000045,Hao Wang,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000046,Shuo Shang,UNKNOWN,UNKNOWN,AAAI,2021
AAAI-2021-A000047,Siqi Yang,"The University of Queensland, Australia",Australia,AAAI,2021
AAAI-2021-A000048,Jun Zhang,"Tencent AI Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000049,Junzhou Huang,"Tencent AI Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000050,Brian C. Lovell,"The University of Queensland, Australia",Australia,AAAI,2021
AAAI-2021-A000051,Xiao Han,"Tencent AI Lab, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000052,Chaohe Zhang,"Key Laboratory of High Confidence Software Technologies, Ministry of Education, Beijing, China | School of Electronics Engineering and Computer Science, Peking University, Beijing, China",China,AAAI,2021
AAAI-2021-A000053,Xin Gao,"Key Laboratory of High Confidence Software Technologies, Ministry of Education, Beijing, China | School of Electronics Engineering and Computer Science, Peking University, Beijing, China",China,AAAI,2021
AAAI-2021-A000054,Liantao Ma,"Key Laboratory of High Confidence Software Technologies, Ministry of Education, Beijing, China | School of Electronics Engineering and Computer Science, Peking University, Beijing, China",China,AAAI,2021
AAAI-2021-A000055,Yasha Wang,"Key Laboratory of High Confidence Software Technologies, Ministry of Education, Beijing, China | National Engineering Research Center of Software Engineering, Peking University, Beijing, China",China,AAAI,2021
AAAI-2021-A000056,Jiangtao Wang,"The Centre for Intelligent Healthcare, Coventry University, UK",United Kingdom,AAAI,2021
AAAI-2021-A000057,Wen Tang,"Division of Nephrology, Peking University Third Hospital, Beijing, China",China,AAAI,2021
AAAI-2021-A000058,Xinyu Zhang,"Chang Gung Memorial Hospital, Linkou, Taiwan, ROC",Taiwan,AAAI,2021
AAAI-2021-A000059,Yirui Wang,"Chang Gung Memorial Hospital, Linkou, Taiwan, ROC",Taiwan,AAAI,2021
AAAI-2021-A000060,Chi-Tung Cheng,"PAII Inc., Bethesda, Maryland, USA",United States,AAAI,2021
AAAI-2021-A000061,Le Lu,"Chang Gung Memorial Hospital, Linkou, Taiwan, ROC",Taiwan,AAAI,2021
AAAI-2021-A000062,Adam P. Harrison,"Chang Gung Memorial Hospital, Linkou, Taiwan, ROC",Taiwan,AAAI,2021
AAAI-2021-A000063,Jing Xiao,"Ping An Technology, Shenzhen, China",China,AAAI,2021
AAAI-2021-A000064,Chien-Hung Liao,"PAII Inc., Bethesda, Maryland, USA",United States,AAAI,2021
