paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
AAAI-2021-P0001,AAAI-2021-A000001,Yi Zhou,stacked,complete_stacked_variant,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE","School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",3,data/raw/aaai/2021/first_pages/AAAI-2021-P0001.txt,https://cdn.aaai.org/ojs/16158/16158-13-19652-1-2-20210518.pdf
AAAI-2021-P0001,AAAI-2021-A000002,Lei Huang,stacked,complete_stacked_variant,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE","School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",3,data/raw/aaai/2021/first_pages/AAAI-2021-P0001.txt,https://cdn.aaai.org/ojs/16158/16158-13-19652-1-2-20210518.pdf
AAAI-2021-P0001,AAAI-2021-A000003,Tianfei Zhou,stacked,complete_stacked_variant,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE","School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",3,data/raw/aaai/2021/first_pages/AAAI-2021-P0001.txt,https://cdn.aaai.org/ojs/16158/16158-13-19652-1-2-20210518.pdf
AAAI-2021-P0001,AAAI-2021-A000004,Ling Shao,stacked,complete_stacked_variant,"School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE","School of Computer Science and Engineering, Southeast University, Nanjing, China State Key Laboratory of Software Development Environment, Beihang University, Beijing, China Computer Vision Laboratory, ETH Zurich, Switzerland Inception Institute of Artificial Intelligence, Abu Dhabi, UAE",3,data/raw/aaai/2021/first_pages/AAAI-2021-P0001.txt,https://cdn.aaai.org/ojs/16158/16158-13-19652-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000005,Shuxin Wang,numbered,complete_numbered_variant,"Department of Computer Science, Xiamen University, Xiamen, China | Tencent Jarvis Lab, Shenzhen, China","Department of Computer Science, Xiamen University, Xiamen, China | Tencent Jarvis Lab, Shenzhen, China",9,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000006,Shilei Cao,numbered,complete_numbered_variant,"Tencent Jarvis Lab, Shenzhen, China","Tencent Jarvis Lab, Shenzhen, China",4,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000007,Dong Wei,numbered,complete_numbered_variant,"Tencent Jarvis Lab, Shenzhen, China","Tencent Jarvis Lab, Shenzhen, China",4,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000008,Cong Xie,numbered,complete_numbered_variant,"Department of Computer Science, Xiamen University, Xiamen, China | Tencent Jarvis Lab, Shenzhen, China","Department of Computer Science, Xiamen University, Xiamen, China | Tencent Jarvis Lab, Shenzhen, China",9,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000009,Kai Ma,numbered,complete_numbered_variant,"Tencent Jarvis Lab, Shenzhen, China","Tencent Jarvis Lab, Shenzhen, China",4,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000010,Liansheng Wang,numbered,complete_numbered_variant,"Department of Computer Science, Xiamen University, Xiamen, China | Department of Digestive Diseases, School of Medicine, Xiamen University, Xiamen, China","Department of Computer Science, Xiamen University, Xiamen, China | Department of Digestive Diseases, School of Medicine, Xiamen University, Xiamen, China",9,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
AAAI-2021-P0002,AAAI-2021-A000011,Deyu Meng,numbered,complete_numbered_variant,"School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China","School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China",6,data/raw/aaai/2021/first_pages/AAAI-2021-P0002.txt,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
