author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied
AAAI-2022-A000004,Tong Bu,"Institute for Artificial Intelligence, Peking University",UNKNOWN,China,high,Peking University is a well-known institution located in China.,yes
AAAI-2022-A000006,Zhaofei Yu,"Institute for Artificial Intelligence, Peking University",UNKNOWN,China,high,Peking University is a well-known institution located in China.,yes
AAAI-2022-A000007,Tiejun Huang,"Institute for Artificial Intelligence, Peking University",UNKNOWN,China,high,Peking University is a well-known institution located in China.,yes
AAAI-2022-A004059,Guangxiang Zhao,"Institute for Artificial Intelligence, Peking University",UNKNOWN,China,high,Peking University is a well-known institution located in China.,yes
AAAI-2022-A000010,Pierluigi Crescenzi,"Gran Sasso Science Institute, L’Aquila, Italia",UNKNOWN,Italy,high,"The institution name explicitly includes 'Italia', which is the Italian name for Italy.",yes
AAAI-2022-A000013,Alexander G. Ororbia,Rochester Institute of Technology,UNKNOWN,United States,high,Rochester Institute of Technology is a well-known university located in the United States.,yes
AAAI-2022-A000014,Ankur Mali,The Pennsylvania State University,UNKNOWN,United States,high,The Pennsylvania State University is a well-known university located in the United States.,yes
AAAI-2022-A004229,Xiang Zhang,The Pennsylvania State University,UNKNOWN,United States,high,The Pennsylvania State University is a well-known university located in the United States.,yes
AAAI-2022-A004232,Xiang Zhang,The Pennsylvania State University,UNKNOWN,United States,high,The Pennsylvania State University is a well-known university located in the United States.,yes
AAAI-2022-A004298,Teng Xiao,The Pennsylvania State University,UNKNOWN,United States,high,The Pennsylvania State University is a well-known university located in the United States.,yes
AAAI-2022-A004299,Suhang Wang,The Pennsylvania State University,UNKNOWN,United States,high,The Pennsylvania State University is a well-known university located in the United States.,yes
AAAI-2022-A000045,Ye Huang,University of Technology Sydney,UNKNOWN,Australia,high,"The University of Technology Sydney is a well-known institution located in Sydney, Australia.",yes
AAAI-2022-A000047,Wenjing Jia,University of Technology Sydney,UNKNOWN,Australia,high,"The University of Technology Sydney is a well-known institution located in Sydney, Australia.",yes
AAAI-2022-A000049,Xiangjian He,University of Technology Sydney,UNKNOWN,Australia,high,"The University of Technology Sydney is a well-known institution located in Sydney, Australia.",yes
AAAI-2022-A001983,Xin Yu,University of Technology Sydney,UNKNOWN,Australia,high,"The University of Technology Sydney is a well-known institution located in Sydney, Australia.",yes
AAAI-2022-A002978,Qian Li,University of Technology Sydney,UNKNOWN,Australia,high,"The University of Technology Sydney is a well-known institution located in Sydney, Australia.",yes
AAAI-2022-A000046,Di Kang,Tencent AI LAB,UNKNOWN,China,high,"Tencent is a well-known Chinese technology company, and its AI LAB is based in China.",yes
AAAI-2022-A000048,Liu Liu,University of Sydney,UNKNOWN,Australia,high,"The University of Sydney is a well-known institution located in Sydney, Australia.",yes
AAAI-2022-A000058,Md Mofijul Islam,"School of Engineering and Applied Science, University of Virginia",UNKNOWN,United States,high,The University of Virginia is a well-known institution located in the United States.,yes
AAAI-2022-A000059,Tariq Iqbal,"School of Engineering and Applied Science, University of Virginia",UNKNOWN,United States,high,The University of Virginia is a well-known institution located in the United States.,yes
