paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
CVPR-2017-P0001,CVPR-2017-A000001,Damien Teney,shared,complete_shared_variant,Australian Centre for Visual Technologies The University of Adelaide,Australian Centre for Visual Technologies The University of Adelaide,6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0001.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Teney_Graph-Structured_Representations_for_CVPR_2017_paper.pdf
CVPR-2017-P0001,CVPR-2017-A000002,Lingqiao Liu,shared,complete_shared_variant,Australian Centre for Visual Technologies The University of Adelaide,Australian Centre for Visual Technologies The University of Adelaide,6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0001.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Teney_Graph-Structured_Representations_for_CVPR_2017_paper.pdf
CVPR-2017-P0001,CVPR-2017-A000003,Anton van den Hengel,shared,complete_shared_variant,Australian Centre for Visual Technologies The University of Adelaide,Australian Centre for Visual Technologies The University of Adelaide,6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0001.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Teney_Graph-Structured_Representations_for_CVPR_2017_paper.pdf
CVPR-2017-P0002,CVPR-2017-A000004,Hao Zhao,numbered,complete_numbered_variant,"Department of Electronic Engineering, Tsinghua University","Department of Electronic Engineering, Tsinghua University",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0002.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf
CVPR-2017-P0002,CVPR-2017-A000005,Ming Lu,numbered,complete_numbered_variant,"Department of Electronic Engineering, Tsinghua University","Department of Electronic Engineering, Tsinghua University",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0002.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf
CVPR-2017-P0002,CVPR-2017-A000006,Anbang Yao,numbered,complete_numbered_variant,"Cognitive Computing Laboratory, Intel Labs China","Cognitive Computing Laboratory, Intel Labs China",6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0002.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf
CVPR-2017-P0002,CVPR-2017-A000007,Yiwen Guo,numbered,complete_numbered_variant,"Cognitive Computing Laboratory, Intel Labs China","Cognitive Computing Laboratory, Intel Labs China",6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0002.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf
CVPR-2017-P0002,CVPR-2017-A000008,Yurong Chen,numbered,complete_numbered_variant,"Cognitive Computing Laboratory, Intel Labs China","Cognitive Computing Laboratory, Intel Labs China",6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0002.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf
CVPR-2017-P0002,CVPR-2017-A000009,Li Zhang,numbered,complete_numbered_variant,"Department of Electronic Engineering, Tsinghua University","Department of Electronic Engineering, Tsinghua University",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0002.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf
CVPR-2017-P0003,CVPR-2017-A000010,Felix Juefei-Xu,stacked,complete_stacked_variant,Carnegie Mellon University,Carnegie Mellon University,4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0003.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Juefei-Xu_Local_Binary_Convolutional_CVPR_2017_paper.pdf
CVPR-2017-P0003,CVPR-2017-A000011,Vishnu Naresh Boddeti,stacked,complete_stacked_variant,Michigan State University,Michigan State University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0003.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Juefei-Xu_Local_Binary_Convolutional_CVPR_2017_paper.pdf
CVPR-2017-P0003,CVPR-2017-A000012,Marios Savvides,stacked,complete_stacked_variant,Carnegie Mellon University,Carnegie Mellon University,4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0003.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Juefei-Xu_Local_Binary_Convolutional_CVPR_2017_paper.pdf
CVPR-2017-P0004,CVPR-2017-A000013,Yagiz Aksoy,shared,complete_shared_variant,Disney Research Zürich,Disney Research Zürich,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0004.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Aksoy_Designing_Effective_Inter-Pixel_CVPR_2017_paper.pdf
CVPR-2017-P0004,CVPR-2017-A000014,Tunc Ozan Aydin,shared,complete_shared_variant,Disney Research Zürich,Disney Research Zürich,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0004.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Aksoy_Designing_Effective_Inter-Pixel_CVPR_2017_paper.pdf
CVPR-2017-P0004,CVPR-2017-A000015,Marc Pollefeys,shared,complete_shared_variant,Disney Research Zürich,Disney Research Zürich,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0004.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Aksoy_Designing_Effective_Inter-Pixel_CVPR_2017_paper.pdf
