paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
CVPR-2019-P0001,CVPR-2019-A000001,Hongyang Li,numbered,0,5,5,The Chinese University of Hong Kong | Clarifai Inc.,5,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000002,David Eigen,numbered,0,5,5,Clarifai Inc.,2,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000003,Samuel Dodge,numbered,0,5,5,Clarifai Inc.,2,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000004,Matthew Zeiler,numbered,0,5,5,Clarifai Inc.,2,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000005,Xiaogang Wang,numbered,0,5,5,The Chinese University of Hong Kong | SenseTime Research,5,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000001,Hongyang Li,symbol,1,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000002,David Eigen,symbol,1,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000003,Samuel Dodge,symbol,1,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000004,Matthew Zeiler,symbol,1,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000005,Xiaogang Wang,symbol,1,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000001,Hongyang Li,stacked,2,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000002,David Eigen,stacked,2,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000003,Samuel Dodge,stacked,2,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000004,Matthew Zeiler,stacked,2,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000005,Xiaogang Wang,stacked,2,0,5,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000001,Hongyang Li,shared,3,5,5,The Chinese University of Hong Kong Clarifai Inc. SenseTime Research,1,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000002,David Eigen,shared,3,5,5,The Chinese University of Hong Kong Clarifai Inc. SenseTime Research,1,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000003,Samuel Dodge,shared,3,5,5,The Chinese University of Hong Kong Clarifai Inc. SenseTime Research,1,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000004,Matthew Zeiler,shared,3,5,5,The Chinese University of Hong Kong Clarifai Inc. SenseTime Research,1,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0001,CVPR-2019-A000005,Xiaogang Wang,shared,3,5,5,The Chinese University of Hong Kong Clarifai Inc. SenseTime Research,1,data/raw/cvpr/2019/first_pages/CVPR-2019-P0001.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000006,Jongmin Kim,numbered,0,2,4,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000007,Taesup Kim,numbered,0,2,4,"MILA, Université de Montréal | Kakao Brain",1,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000008,Sungwoong Kim,numbered,0,2,4,Kakao Brain,0,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000009,Chang D. Yoo,numbered,0,2,4,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000006,Jongmin Kim,symbol,1,0,4,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000007,Taesup Kim,symbol,1,0,4,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000008,Sungwoong Kim,symbol,1,0,4,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000009,Chang D. Yoo,symbol,1,0,4,UNKNOWN,-1000,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000006,Jongmin Kim,shared,3,4,4,Korea Advanced Institute of Science and Technology,4,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000007,Taesup Kim,shared,3,4,4,Korea Advanced Institute of Science and Technology,4,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000008,Sungwoong Kim,shared,3,4,4,Korea Advanced Institute of Science and Technology,4,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0002,CVPR-2019-A000009,Chang D. Yoo,shared,3,4,4,Korea Advanced Institute of Science and Technology,4,data/raw/cvpr/2019/first_pages/CVPR-2019-P0002.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf
CVPR-2019-P0003,CVPR-2019-A000010,Spyros Gidaris,numbered,0,2,2,"University Paris-Est, LIGM, Ecole des Ponts ParisTech | valeo.ai",3,data/raw/cvpr/2019/first_pages/CVPR-2019-P0003.txt,https://openaccess.thecvf.com/content_CVPR_2019/papers/Gidaris_Generating_Classification_Weights_With_GNN_Denoising_Autoencoders_for_Few-Shot_Learning_CVPR_2019_paper.pdf
