author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied
CVPR-2020-A000009,Yunfei Liu,"State Key Laboratory of VR Technology and Systems, School of CSE, Beihang University",UNKNOWN,China,high,Beihang University is a well-known university located in China.,yes
CVPR-2020-A000010,Yu Li,"Applied Research Center (ARC), Tencent PCG",UNKNOWN,China,high,"Tencent is a well-known Chinese technology company, and the Applied Research Center (ARC) under Tencent PCG is based in China.",yes
CVPR-2020-A000012,Feng Lu,"State Key Laboratory of VR Technology and Systems, School of CSE, Beihang University",UNKNOWN,China,high,Beihang University is a well-known university located in China.,yes
CVPR-2020-A000015,Dapeng Chen,"ShenZhen Key Lab of Computer Vision and Pattern Recognition, SIAT-SenseTime Joint",UNKNOWN,China,high,"ShenZhen is a city in China, and the institution name includes 'SIAT-SenseTime Joint,' which is associated with China.",yes
CVPR-2020-A000016,Rui Zhao,"ShenZhen Key Lab of Computer Vision and Pattern Recognition, SIAT-SenseTime Joint",UNKNOWN,China,high,"ShenZhen is a city in China, and the institution name includes 'SIAT-SenseTime Joint,' which is associated with China.",yes
CVPR-2020-A000017,Junjie Yan,"ShenZhen Key Lab of Computer Vision and Pattern Recognition, SIAT-SenseTime Joint",UNKNOWN,China,high,"ShenZhen is a city in China, and the institution name includes 'SIAT-SenseTime Joint,' which is associated with China.",yes
CVPR-2020-A000019,Thomas Verelst,Most research on deep neural networks focuses on improving accuracy without taking into account the model,UNKNOWN,UNKNOWN,low,The institution string does not contain any explicit reference to a country or institution name.,no
CVPR-2020-A000020,Tinne Tuytelaars,Most research on deep neural networks focuses on improving accuracy without taking into account the model,UNKNOWN,UNKNOWN,low,The institution string does not contain any explicit reference to a country or institution name.,no
CVPR-2020-A000021,Song Tao,Department of Electronic Engineering Shanghai Jiao Tong University,UNKNOWN,China,high,Shanghai Jiao Tong University is a well-known university located in China.,yes
CVPR-2020-A000022,Jia Wang,Department of Electronic Engineering Shanghai Jiao Tong University,UNKNOWN,China,high,Shanghai Jiao Tong University is a well-known university located in China.,yes
CVPR-2020-A000023,Haotong Qin,"State Key Lab of Software Development Environment, Beihang University",UNKNOWN,China,high,Beihang University is a well-known university located in China.,yes
CVPR-2020-A000024,Ruihao Gong,"State Key Lab of Software Development Environment, Beihang University",UNKNOWN,China,high,Beihang University is a well-known university located in China.,yes
CVPR-2020-A000025,Xianglong Liu,"State Key Lab of Software Development Environment, Beihang University | Beijing Advanced Innovation Center for Big Data-Based Precision Medicine, Beihang University",UNKNOWN,China,high,"Beihang University is a well-known institution in China, and the names of the labs and the conference (CVPR) are consistent with Chinese academic contexts.",yes
CVPR-2020-A000026,Mingzhu Shen,"State Key Lab of Software Development Environment, Beihang University",UNKNOWN,China,high,Beihang University is a well-known university located in China.,yes
CVPR-2020-A000027,Ziran Wei,Beijing University of Posts and Telecommunications,UNKNOWN,China,high,Beijing University of Posts and Telecommunications is a well-known institution located in China.,yes
CVPR-2020-A000028,Fengwei Yu,SenseTime Research,UNKNOWN,China,medium,"SenseTime is a well-known Chinese company, and its research is commonly associated with China.",yes
CVPR-2020-A000034,Xiaoyu Xiang,Purdue University,UNKNOWN,United States,high,Purdue University is a well-known university located in the United States.,yes
