paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,candidate_score,first_page_text_path,source_url
CVPR-2022-P0001,CVPR-2022-A000001,Haowei Zhu,stacked,complete_stacked_variant,"Advanced Micro Devices, Inc., Beijing, China",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0001.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.pdf
CVPR-2022-P0001,CVPR-2022-A000002,Wenjing Ke,stacked,complete_stacked_variant,"Advanced Micro Devices, Inc., Beijing, China",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0001.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.pdf
CVPR-2022-P0001,CVPR-2022-A000003,Dong Li,stacked,complete_stacked_variant,"Advanced Micro Devices, Inc., Beijing, China",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0001.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.pdf
CVPR-2022-P0001,CVPR-2022-A000004,Ji Liu,stacked,complete_stacked_variant,"Advanced Micro Devices, Inc., Beijing, China",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0001.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.pdf
CVPR-2022-P0001,CVPR-2022-A000005,Lu Tian,stacked,complete_stacked_variant,"Advanced Micro Devices, Inc., Beijing, China",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0001.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.pdf
CVPR-2022-P0001,CVPR-2022-A000006,Yi Shan,stacked,complete_stacked_variant,"Advanced Micro Devices, Inc., Beijing, China",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0001.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_Dual_Cross-Attention_Learning_for_Fine-Grained_Visual_Categorization_and_Object_Re-Identification_CVPR_2022_paper.pdf
CVPR-2022-P0002,CVPR-2022-A000007,Canjie Luo,stacked,complete_stacked_variant,"South China University of Technology, Peng Cheng Laboratory, Ant Group",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0002.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Luo_SimAN_Exploring_Self-Supervised_Representation_Learning_of_Scene_Text_via_Similarity-Aware_CVPR_2022_paper.pdf
CVPR-2022-P0002,CVPR-2022-A000008,Lianwen Jin,stacked,complete_stacked_variant,"South China University of Technology, Peng Cheng Laboratory, Ant Group",4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0002.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Luo_SimAN_Exploring_Self-Supervised_Representation_Learning_of_Scene_Text_via_Similarity-Aware_CVPR_2022_paper.pdf
CVPR-2022-P0002,CVPR-2022-A000009,Jingdong Chen,stacked,complete_stacked_variant,"South China University of Technology, Peng Cheng Laboratory, Ant Group",8,data/raw/cvpr/2022/first_pages/CVPR-2022-P0002.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Luo_SimAN_Exploring_Self-Supervised_Representation_Learning_of_Scene_Text_via_Similarity-Aware_CVPR_2022_paper.pdf
CVPR-2022-P0003,CVPR-2022-A000010,Ye Du,stacked,complete_stacked_variant,"State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China Hangzhou Innovation Institute, Beihang University",5,data/raw/cvpr/2022/first_pages/CVPR-2022-P0003.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.pdf
CVPR-2022-P0003,CVPR-2022-A000011,Zehua Fu,stacked,complete_stacked_variant,"State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China Hangzhou Innovation Institute, Beihang University",5,data/raw/cvpr/2022/first_pages/CVPR-2022-P0003.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.pdf
CVPR-2022-P0003,CVPR-2022-A000012,Qingjie Liu,stacked,complete_stacked_variant,"State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China Hangzhou Innovation Institute, Beihang University",5,data/raw/cvpr/2022/first_pages/CVPR-2022-P0003.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.pdf
CVPR-2022-P0003,CVPR-2022-A000013,Yunhong Wang,stacked,complete_stacked_variant,"State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China Hangzhou Innovation Institute, Beihang University",5,data/raw/cvpr/2022/first_pages/CVPR-2022-P0003.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Du_Weakly_Supervised_Semantic_Segmentation_by_Pixel-to-Prototype_Contrast_CVPR_2022_paper.pdf
CVPR-2022-P0004,CVPR-2022-A000014,Aniruddha Mahapatra,stacked,complete_stacked_variant,Adobe Research India,2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0004.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Mahapatra_Controllable_Animation_of_Fluid_Elements_in_Still_Images_CVPR_2022_paper.pdf
CVPR-2022-P0004,CVPR-2022-A000015,Kuldeep Kulkarni,stacked,complete_stacked_variant,Adobe Research India,2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0004.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Mahapatra_Controllable_Animation_of_Fluid_Elements_in_Still_Images_CVPR_2022_paper.pdf
CVPR-2022-P0005,CVPR-2022-A000016,Mingxing Li,numbered,complete_numbered_variant,University of Science and Technology of China,4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0005.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0005,CVPR-2022-A000017,Li Hu,numbered,complete_numbered_variant,"Alibaba DAMO Academy, Alibaba Group",2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0005.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0005,CVPR-2022-A000018,Zhiwei Xiong,numbered,complete_numbered_variant,University of Science and Technology of China,4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0005.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0005,CVPR-2022-A000019,Bang Zhang,numbered,complete_numbered_variant,"Alibaba DAMO Academy, Alibaba Group",2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0005.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0005,CVPR-2022-A000020,Pan Pan,numbered,complete_numbered_variant,"Alibaba DAMO Academy, Alibaba Group",2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0005.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0005,CVPR-2022-A000021,Dong Liu,numbered,complete_numbered_variant,University of Science and Technology of China,4,data/raw/cvpr/2022/first_pages/CVPR-2022-P0005.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Recurrent_Dynamic_Embedding_for_Video_Object_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0006,CVPR-2022-A000022,Liulei Li,numbered,best_scoring_candidate,Beijing Institute of Technology | Baidu Research,5,data/raw/cvpr/2022/first_pages/CVPR-2022-P0006.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0006,CVPR-2022-A000023,Tianfei Zhou,numbered,no_viable_candidate,UNKNOWN,0,data/raw/cvpr/2022/first_pages/CVPR-2022-P0006.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0006,CVPR-2022-A000024,Wenguan Wang,numbered,best_scoring_candidate,"ReLER, AAII, University of Technology Sydney",2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0006.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.pdf
CVPR-2022-P0006,CVPR-2022-A000025,Jianwu Li,numbered,best_scoring_candidate,Beijing Institute of Technology,2,data/raw/cvpr/2022/first_pages/CVPR-2022-P0006.txt,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Deep_Hierarchical_Semantic_Segmentation_CVPR_2022_paper.pdf
