paper_id,author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied,first_page_text_path
CVPR-2023-P0003,CVPR-2023-A000015,Tejan Karmali,Google Research,UNKNOWN,UNKNOWN,low,"Author's current_institution is Google Research, and current_country is explicitly listed as UNKNOWN. No additional information is provided in the first-page text.",no,data/raw/cvpr/2023/first_pages/CVPR-2023-P0003.txt
CVPR-2023-P0003,CVPR-2023-A000016,Varun Jampani,Google Research,UNKNOWN,UNKNOWN,low,"Author's current_institution is Google Research, and current_country is explicitly listed as UNKNOWN. No additional information is provided in the first-page text.",no,data/raw/cvpr/2023/first_pages/CVPR-2023-P0003.txt
CVPR-2023-P0010,CVPR-2023-A000054,Simon Weber,UNKNOWN,UNKNOWN,Germany,high,"The affiliation 'Technical University of Munich' is listed, and Germany is the country of that institution.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0010.txt
CVPR-2023-P0010,CVPR-2023-A000055,Nikolaus Demmel,UNKNOWN,UNKNOWN,Germany,high,"The affiliation 'Technical University of Munich' is listed, and Germany is the country of that institution.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0010.txt
CVPR-2023-P0010,CVPR-2023-A000056,Tin Chon Chan,UNKNOWN,UNKNOWN,UNKNOWN,low,No affiliation or country information is provided for this author.,no,data/raw/cvpr/2023/first_pages/CVPR-2023-P0010.txt
CVPR-2023-P0010,CVPR-2023-A000057,Daniel Cremers,UNKNOWN,UNKNOWN,Germany | United Kingdom,high,"The affiliations 'Technical University of Munich' and 'University of Oxford' are listed, corresponding to Germany and the United Kingdom, respectively.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0010.txt
CVPR-2023-P0011,CVPR-2023-A000058,Subhadeep Koley,UNKNOWN,UNKNOWN,United Kingdom,high,"The affiliation 'University of Surrey, United Kingdom' is explicitly mentioned in the first-page text.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0011.txt
CVPR-2023-P0011,CVPR-2023-A000059,Ayan Kumar Bhunia,UNKNOWN,UNKNOWN,United Kingdom,high,"The affiliation 'University of Surrey, United Kingdom' is explicitly mentioned in the first-page text.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0011.txt
CVPR-2023-P0011,CVPR-2023-A000060,Aneeshan Sain,UNKNOWN,UNKNOWN,United Kingdom,high,"The affiliation 'University of Surrey, United Kingdom' is explicitly mentioned in the first-page text.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0011.txt
CVPR-2023-P0011,CVPR-2023-A000061,Pinaki Nath Chowdhury,UNKNOWN,UNKNOWN,United Kingdom,high,"The affiliation 'University of Surrey, United Kingdom' is explicitly mentioned in the first-page text.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0011.txt
CVPR-2023-P0011,CVPR-2023-A000062,Tao Xiang,UNKNOWN,UNKNOWN,United Kingdom,high,"The affiliation 'University of Surrey, United Kingdom' is explicitly mentioned in the first-page text.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0011.txt
CVPR-2023-P0011,CVPR-2023-A000063,Yi-Zhe Song,UNKNOWN,UNKNOWN,United Kingdom,high,"The affiliation 'University of Surrey, United Kingdom' is explicitly mentioned in the first-page text.",yes,data/raw/cvpr/2023/first_pages/CVPR-2023-P0011.txt
CVPR-2023-P0012,CVPR-2023-A000066,Fanpeng Meng,UNKNOWN,UNKNOWN,UNKNOWN,low,The first-page text does not provide any affiliation or country information for this author.,no,data/raw/cvpr/2023/first_pages/CVPR-2023-P0012.txt
CVPR-2023-P0012,CVPR-2023-A000069,Kai Xu,UNKNOWN,UNKNOWN,UNKNOWN,low,The first-page text does not provide any affiliation or country information for this author.,no,data/raw/cvpr/2023/first_pages/CVPR-2023-P0012.txt
CVPR-2023-P0013,CVPR-2023-A000072,David Joseph Tan,Google,UNKNOWN,UNKNOWN,low,"The first-page text lists Google as the affiliation, but no country information is provided for the author.",no,data/raw/cvpr/2023/first_pages/CVPR-2023-P0013.txt
