author_id,author_name,institution,country,conference,year
CVPR-2025-A000001,Sk Miraj Ahmed,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000002,Umit Yigit Basaran,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000003,Dripta S. Raychaudhuri,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000004,Arindam Dutta,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000005,Rohit Kundu,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000006,Fahim Faisal Niloy,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000007,Basak Guler,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000008,Amit K. Roy-Chowdhury,"Brookhaven National Laboratory University of California, Riverside AWS AI",UNKNOWN,CVPR,2025
CVPR-2025-A000009,David Yifan Yao,University of Illinois at Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000010,Albert J. Zhai,University of Illinois at Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000011,Shenlong Wang,University of Illinois at Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000012,Yuanpei Liu,"Visual AI Lab, The University of Hong Kong",Hong Kong,CVPR,2025
CVPR-2025-A000013,Zhenqi He,"Visual AI Lab, The University of Hong Kong",Hong Kong,CVPR,2025
CVPR-2025-A000014,Kai Han,"Visual AI Lab, The University of Hong Kong",Hong Kong,CVPR,2025
CVPR-2025-A000015,Changan Chen,Stanford University,United States,CVPR,2025
CVPR-2025-A000016,Juze Zhang,Stanford University,United States,CVPR,2025
CVPR-2025-A000017,Shrinidhi K. Lakshmikanth,Stanford University,United States,CVPR,2025
CVPR-2025-A000018,Yusu Fang,Stanford University,United States,CVPR,2025
CVPR-2025-A000019,Ruizhi Shao,Stanford University,United States,CVPR,2025
CVPR-2025-A000020,Gordon Wetzstein,Stanford University,United States,CVPR,2025
CVPR-2025-A000021,Li Fei-Fei,Stanford University,United States,CVPR,2025
CVPR-2025-A000022,Ehsan Adeli,Stanford University,United States,CVPR,2025
CVPR-2025-A000023,Kiet A. Nguyen,University of Illinois Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000024,Adheesh Juvekar,University of Illinois Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000025,Tianjiao Yu,University of Illinois Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000026,Muntasir Wahed,University of Illinois Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000027,Ismini Lourentzou,University of Illinois Urbana-Champaign,United States,CVPR,2025
CVPR-2025-A000028,Ailin Deng,National University of Singapore,Singapore,CVPR,2025
CVPR-2025-A000029,Tri Cao,National University of Singapore,Singapore,CVPR,2025
CVPR-2025-A000030,Zhirui Chen,National University of Singapore,Singapore,CVPR,2025
CVPR-2025-A000031,Bryan Hooi,National University of Singapore,Singapore,CVPR,2025
CVPR-2025-A000032,Qiming Xia,"Fujian Key Laboratory of Sensing and Computing for Smart Cities, Xiamen University, China",China,CVPR,2025
CVPR-2025-A000033,Wenkai Lin,"Fujian Key Laboratory of Sensing and Computing for Smart Cities, Xiamen University, China | Key Laboratory of Multimedia Trusted Perception and Efﬁcient Computing",China,CVPR,2025
CVPR-2025-A000034,Haoen Xiang,"Fujian Key Laboratory of Sensing and Computing for Smart Cities, Xiamen University, China | Key Laboratory of Multimedia Trusted Perception and Efﬁcient Computing",China,CVPR,2025
CVPR-2025-A000035,Xun Huang,"Fujian Key Laboratory of Sensing and Computing for Smart Cities, Xiamen University, China | Key Laboratory of Multimedia Trusted Perception and Efﬁcient Computing",China,CVPR,2025
CVPR-2025-A000036,Siheng Chen,"Shanghai Jiao Tong University, China",China,CVPR,2025
CVPR-2025-A000037,Zhen Dong,"Wuhan University, China",China,CVPR,2025
CVPR-2025-A000038,Cheng Wang,"Fujian Key Laboratory of Sensing and Computing for Smart Cities, Xiamen University, China | Key Laboratory of Multimedia Trusted Perception and Efﬁcient Computing",China,CVPR,2025
CVPR-2025-A000039,Chenglu Wen,"Fujian Key Laboratory of Sensing and Computing for Smart Cities, Xiamen University, China | Key Laboratory of Multimedia Trusted Perception and Efﬁcient Computing",China,CVPR,2025
CVPR-2025-A000040,Ziyin Zeng,Wuhan University,China,CVPR,2025
CVPR-2025-A000041,Mingyue Dong,Wuhan University,China,CVPR,2025
CVPR-2025-A000042,Jian Zhou,Wuhan University,China,CVPR,2025
CVPR-2025-A000043,Huan Qiu,Wuhan University,China,CVPR,2025
CVPR-2025-A000044,Zhen Dong,Wuhan University,China,CVPR,2025
CVPR-2025-A000045,Man Luo,UNKNOWN,UNKNOWN,CVPR,2025
CVPR-2025-A000046,Bijun Li,Wuhan University,China,CVPR,2025
