paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
ECCV-2016-P0001,ECCV-2016-A000001,Filip Radenović,stacked,2,0,3,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000002,Giorgos Tolias,stacked,2,0,3,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000003,Ondřej Chum,stacked,2,0,3,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000001,Filip Radenović,shared,3,3,3,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000002,Giorgos Tolias,shared,3,3,3,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000003,Ondřej Chum,shared,3,3,3,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000004,Wei Liu,numbered,0,1,6,"UNC Chapel Hill, Chapel Hill, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000005,Dragomir Anguelov,numbered,0,1,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000006,Dumitru Erhan,numbered,0,1,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000007,Christian Szegedy,numbered,0,1,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000008,Scott Reed,numbered,0,1,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000009,Cheng-Yang Fu et al.,numbered,0,1,6,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
