author_id,author_name,institution,country,conference,year
ECCV-2016-A000001,Filip Radenović,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",UNKNOWN,ECCV,2016
ECCV-2016-A000002,Giorgos Tolias,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",UNKNOWN,ECCV,2016
ECCV-2016-A000003,Ondřej Chum,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",UNKNOWN,ECCV,2016
ECCV-2016-A000004,Wei Liu,"UNC Chapel Hill, Chapel Hill, USA",United States,ECCV,2016
ECCV-2016-A000005,Dragomir Anguelov,UNKNOWN,UNKNOWN,ECCV,2016
ECCV-2016-A000006,Dumitru Erhan,UNKNOWN,UNKNOWN,ECCV,2016
ECCV-2016-A000007,Christian Szegedy,UNKNOWN,UNKNOWN,ECCV,2016
ECCV-2016-A000008,Scott Reed,UNKNOWN,UNKNOWN,ECCV,2016
ECCV-2016-A000009,Cheng-Yang Fu et al.,UNKNOWN,UNKNOWN,ECCV,2016
ECCV-2016-A000010,Xi Peng,"Rutgers University, Piscataway, USA",United States,ECCV,2016
ECCV-2016-A000011,Rogerio S. Feris,"Rutgers University, Piscataway, USA",United States,ECCV,2016
ECCV-2016-A000012,Xiaoyu Wang,"Rutgers University, Piscataway, USA",United States,ECCV,2016
ECCV-2016-A000013,Dimitris N. Metaxas,"Rutgers University, Piscataway, USA",United States,ECCV,2016
ECCV-2016-A000014,Shengtao Xiao,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",Singapore,ECCV,2016
ECCV-2016-A000015,Jiashi Feng,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",Singapore,ECCV,2016
ECCV-2016-A000016,Junliang Xing,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",Singapore,ECCV,2016
ECCV-2016-A000017,Hanjiang Lai,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",Singapore,ECCV,2016
ECCV-2016-A000018,Shuicheng Yan,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",Singapore,ECCV,2016
ECCV-2016-A000019,Ashraf Kassim,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore, Singapore",Singapore,ECCV,2016
ECCV-2016-A000020,Pedro O. Pinheiro,"Facebook AI Research, Menlo Park, USA",United States,ECCV,2016
ECCV-2016-A000021,Tsung-Yi Lin,"Facebook AI Research, Menlo Park, USA",United States,ECCV,2016
ECCV-2016-A000022,Ronan Collobert,"Facebook AI Research, Menlo Park, USA",United States,ECCV,2016
ECCV-2016-A000023,Piotr Dollár,"Facebook AI Research, Menlo Park, USA",United States,ECCV,2016
ECCV-2016-A000024,Xiaoyong Shen,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,ECCV,2016
ECCV-2016-A000025,Xin Tao,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,ECCV,2016
ECCV-2016-A000026,Hongyun Gao,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,ECCV,2016
ECCV-2016-A000027,Chao Zhou,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,ECCV,2016
ECCV-2016-A000028,Jiaya Jia,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,ECCV,2016
ECCV-2016-A000029,Ronghang Hu,"UC Berkeley EECS, Berkeley, CA, USA",United States,ECCV,2016
ECCV-2016-A000030,Marcus Rohrbach,"UC Berkeley EECS, Berkeley, CA, USA",United States,ECCV,2016
ECCV-2016-A000031,Trevor Darrell,"UC Berkeley EECS, Berkeley, CA, USA",United States,ECCV,2016
ECCV-2016-A000032,Xiaodan Liang,"Sun Yat-sen University, Guangzhou, China",China,ECCV,2016
ECCV-2016-A000033,Xiaohui Shen,"Sun Yat-sen University, Guangzhou, China",China,ECCV,2016
ECCV-2016-A000034,Jiashi Feng,"Sun Yat-sen University, Guangzhou, China",China,ECCV,2016
ECCV-2016-A000035,Liang Lin,"Sun Yat-sen University, Guangzhou, China",China,ECCV,2016
ECCV-2016-A000036,Shuicheng Yan,"Sun Yat-sen University, Guangzhou, China",China,ECCV,2016
ECCV-2016-A000037,Ting Liu,"Scientiﬁc Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA",United States,ECCV,2016
ECCV-2016-A000038,Miaomiao Zhang,"Scientiﬁc Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA",United States,ECCV,2016
ECCV-2016-A000039,Mehran Javanmardi,"Scientiﬁc Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA",United States,ECCV,2016
ECCV-2016-A000040,Nisha Ramesh,"Scientiﬁc Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA",United States,ECCV,2016
ECCV-2016-A000041,Tolga Tasdizen,"Scientiﬁc Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA",United States,ECCV,2016
ECCV-2016-A000042,Albert Haque,"Stanford University, Stanford, CA, USA",United States,ECCV,2016
ECCV-2016-A000043,Boya Peng,"Stanford University, Stanford, CA, USA",United States,ECCV,2016
ECCV-2016-A000044,Zelun Luo,"Stanford University, Stanford, CA, USA",United States,ECCV,2016
ECCV-2016-A000045,Alexandre Alahi,"Stanford University, Stanford, CA, USA",United States,ECCV,2016
ECCV-2016-A000046,Serena Yeung,"Stanford University, Stanford, CA, USA",United States,ECCV,2016
ECCV-2016-A000047,Li Fei-Fei,"Stanford University, Stanford, CA, USA",United States,ECCV,2016
ECCV-2016-A000048,Elyor Kodirov,"School of EECS, Queen Mary University of London, London, UK",United Kingdom,ECCV,2016
ECCV-2016-A000049,Tao Xiang,"School of EECS, Queen Mary University of London, London, UK",United Kingdom,ECCV,2016
ECCV-2016-A000050,Zhenyong Fu,"School of EECS, Queen Mary University of London, London, UK",United Kingdom,ECCV,2016
ECCV-2016-A000051,Shaogang Gong,"School of EECS, Queen Mary University of London, London, UK",United Kingdom,ECCV,2016
ECCV-2016-A000052,Abhimanyu Dubey,"Indian Institute of Technology, Delhi, India",UNKNOWN,ECCV,2016
ECCV-2016-A000053,Nikhil Naik,"Indian Institute of Technology, Delhi, India",UNKNOWN,ECCV,2016
ECCV-2016-A000054,Devi Parikh,"Indian Institute of Technology, Delhi, India",UNKNOWN,ECCV,2016
ECCV-2016-A000055,Ramesh Raskar,"Indian Institute of Technology, Delhi, India",UNKNOWN,ECCV,2016
ECCV-2016-A000056,César A. Hidalgo,"Indian Institute of Technology, Delhi, India",UNKNOWN,ECCV,2016
ECCV-2016-A000057,Armin Mustafa,"CVSSP, University of Surrey, Guildford, UK",United Kingdom,ECCV,2016
ECCV-2016-A000058,Hansung Kim,"CVSSP, University of Surrey, Guildford, UK",United Kingdom,ECCV,2016
