author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied
ECCV-2016-A000001,Filip Radenović,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",UNKNOWN,Czech Republic,high,"The institution name explicitly mentions 'Czech Technical University in Prague', which is located in the Czech Republic.",yes
ECCV-2016-A000002,Giorgos Tolias,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",UNKNOWN,Czech Republic,high,"The institution name explicitly mentions 'Czech Technical University in Prague', which is located in the Czech Republic.",yes
ECCV-2016-A000003,Ondřej Chum,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",UNKNOWN,Czech Republic,high,"The institution name explicitly mentions 'Czech Technical University in Prague', which is located in the Czech Republic.",yes
ECCV-2016-A000024,Xiaoyong Shen,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,China,high,"The institution is explicitly named as part of Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000025,Xin Tao,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,China,high,"The institution is explicitly named as part of Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000026,Hongyun Gao,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,China,high,"The institution is explicitly named as part of Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000027,Chao Zhou,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,China,high,"The institution is explicitly named as part of Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000028,Jiaya Jia,"The Chinese University of Hong Kong, Sha Tin, Hong Kong",UNKNOWN,China,high,"The institution is explicitly named as part of Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000052,Abhimanyu Dubey,"Indian Institute of Technology, Delhi, India",UNKNOWN,India,high,The institution name explicitly includes 'India'.,yes
ECCV-2016-A000053,Nikhil Naik,"Indian Institute of Technology, Delhi, India",UNKNOWN,India,high,The institution name explicitly includes 'India'.,yes
ECCV-2016-A000054,Devi Parikh,"Indian Institute of Technology, Delhi, India",UNKNOWN,India,high,The institution name explicitly includes 'India'.,yes
ECCV-2016-A000055,Ramesh Raskar,"Indian Institute of Technology, Delhi, India",UNKNOWN,India,high,The institution name explicitly includes 'India'.,yes
ECCV-2016-A000056,César A. Hidalgo,"Indian Institute of Technology, Delhi, India",UNKNOWN,India,high,The institution name explicitly includes 'India'.,yes
ECCV-2016-A000064,Zhe Wang,"Department of Electronic Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000065,Hongsheng Li,"Department of Electronic Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000066,Wanli Ouyang,"Department of Electronic Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000067,Xiaogang Wang,"Department of Electronic Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000068,Shuai Yi,Department of Electronic Engineering,UNKNOWN,UNKNOWN,low,The institution name alone does not provide enough information to determine the country.,no
ECCV-2016-A000069,Hongsheng Li,Department of Electronic Engineering,UNKNOWN,UNKNOWN,low,The institution name alone does not provide enough information to determine the country.,no
ECCV-2016-A000070,Xiaogang Wang,Department of Electronic Engineering,UNKNOWN,UNKNOWN,low,The institution name alone does not provide enough information to determine the country.,no
ECCV-2016-A000085,Shiwei Li,"Hong Kong University of Science and Technology, Kowloon, Hong Kong",UNKNOWN,Hong Kong,high,The institution explicitly mentions 'Hong Kong' in its name.,yes
ECCV-2016-A000086,Sing Yu Siu,"Hong Kong University of Science and Technology, Kowloon, Hong Kong",UNKNOWN,Hong Kong,high,The institution explicitly mentions 'Hong Kong' in its name.,yes
ECCV-2016-A000087,Tian Fang,"Hong Kong University of Science and Technology, Kowloon, Hong Kong",UNKNOWN,Hong Kong,high,The institution explicitly mentions 'Hong Kong' in its name.,yes
ECCV-2016-A000088,Long Quan,"Hong Kong University of Science and Technology, Kowloon, Hong Kong",UNKNOWN,Hong Kong,high,The institution explicitly mentions 'Hong Kong' in its name.,yes
ECCV-2016-A000095,Holger Caesar,"University of Edinburgh, Edinburgh, Scotland",UNKNOWN,United Kingdom,high,"The University of Edinburgh is a well-known institution located in Scotland, which is part of the United Kingdom.",yes
ECCV-2016-A000096,Jasper Uijlings,"University of Edinburgh, Edinburgh, Scotland",UNKNOWN,United Kingdom,high,"The University of Edinburgh is a well-known institution located in Scotland, which is part of the United Kingdom.",yes
ECCV-2016-A000097,Vittorio Ferrari,"University of Edinburgh, Edinburgh, Scotland",UNKNOWN,United Kingdom,high,"The University of Edinburgh is a well-known institution located in Scotland, which is part of the United Kingdom.",yes
ECCV-2016-A000106,Matthias Mueller,King Abdullah University of Science and Technology (KAUST),UNKNOWN,Saudi Arabia,high,KAUST is a well-known institution located in Saudi Arabia.,yes
ECCV-2016-A000107,Neil Smith,King Abdullah University of Science and Technology (KAUST),UNKNOWN,Saudi Arabia,high,KAUST is a well-known institution located in Saudi Arabia.,yes
ECCV-2016-A000108,Bernard Ghanem,King Abdullah University of Science and Technology (KAUST),UNKNOWN,Saudi Arabia,high,KAUST is a well-known institution located in Saudi Arabia.,yes
ECCV-2016-A000262,Ziwei Liu,"Department of Information Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000263,Sijie Yan,"Department of Information Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000264,Ping Luo,"Department of Information Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000265,Xiaogang Wang,"Department of Information Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000266,Xiaoou Tang,"Department of Information Engineering, The Chinese University of Hong Kong",UNKNOWN,China,high,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",yes
ECCV-2016-A000282,Yaroslav Ganin,"Skolkovo Institute of Science and Technology, Skolkovo, Moscow Region, Russia",UNKNOWN,Russia,high,The institution explicitly mentions 'Russia' in the string.,yes
ECCV-2016-A000283,Daniil Kononenko,"Skolkovo Institute of Science and Technology, Skolkovo, Moscow Region, Russia",UNKNOWN,Russia,high,The institution explicitly mentions 'Russia' in the string.,yes
ECCV-2016-A000284,Diana Sungatullina,"Skolkovo Institute of Science and Technology, Skolkovo, Moscow Region, Russia",UNKNOWN,Russia,high,The institution explicitly mentions 'Russia' in the string.,yes
ECCV-2016-A000285,Victor Lempitsky,"Skolkovo Institute of Science and Technology, Skolkovo, Moscow Region, Russia",UNKNOWN,Russia,high,The institution explicitly mentions 'Russia' in the string.,yes
ECCV-2016-A000303,Yuan Gao,"City University of Hong Kong, Kowloon Tong, Hong Kong",UNKNOWN,Hong Kong,high,The institution explicitly mentions 'Hong Kong' in its name.,yes
ECCV-2016-A000304,Alan L. Yuille,"City University of Hong Kong, Kowloon Tong, Hong Kong",UNKNOWN,Hong Kong,high,The institution explicitly mentions 'Hong Kong' in its name.,yes
ECCV-2016-A000324,Halil Ibrahim Cakir,"Dumlupinar University, Kutahya, Turkey",UNKNOWN,Turkey,high,The institution explicitly mentions 'Turkey' in the string.,yes
ECCV-2016-A000325,Cihan Topal,"Dumlupinar University, Kutahya, Turkey",UNKNOWN,Turkey,high,The institution explicitly mentions 'Turkey' in the string.,yes
ECCV-2016-A000326,Cuneyt Akinlar,"Dumlupinar University, Kutahya, Turkey",UNKNOWN,Turkey,high,The institution explicitly mentions 'Turkey' in the string.,yes
