paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
ECCV-2016-P0001,ECCV-2016-A000001,Filip Radenović,shared,complete_shared_variant,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague","CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000002,Giorgos Tolias,shared,complete_shared_variant,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague","CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0001,ECCV-2016-A000003,Ondřej Chum,shared,complete_shared_variant,"CMP, Faculty of Electrical Engineering, Czech Technical University in Prague","CMP, Faculty of Electrical Engineering, Czech Technical University in Prague",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0001.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000004,Wei Liu,numbered,best_scoring_candidate,"UNC Chapel Hill, Chapel Hill, USA","UNC Chapel Hill, Chapel Hill, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000005,Dragomir Anguelov,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000006,Dumitru Erhan,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000007,Christian Szegedy,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000008,Scott Reed,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0002,ECCV-2016-A000009,Cheng-Yang Fu et al.,numbered,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0002.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000010,Xi Peng,stacked,complete_stacked_variant,"Rutgers University, Piscataway, USA","Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000011,Rogerio S. Feris,stacked,complete_stacked_variant,"Rutgers University, Piscataway, USA","Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0003,ECCV-2016-A000012,Xiaoyu Wang,stacked,complete_stacked_variant,"Rutgers University, Piscataway, USA","Rutgers University, Piscataway, USA",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0003.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
