paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,candidate_score,first_page_text_path,source_url
ECCV-2024-P0001,ECCV-2024-A000001,Jacopo Bonato,stacked,complete_stacked_variant,"Leonardo Labs, Rome, Italy",4,data/raw/eccv/2024/first_pages/ECCV-2024-P0001.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0001,ECCV-2024-A000002,Marco Cotogni,stacked,complete_stacked_variant,"Leonardo Labs, Rome, Italy",4,data/raw/eccv/2024/first_pages/ECCV-2024-P0001.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0001,ECCV-2024-A000003,Luigi Sabetta,stacked,complete_stacked_variant,"Leonardo Labs, Rome, Italy",4,data/raw/eccv/2024/first_pages/ECCV-2024-P0001.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0002,ECCV-2024-A000004,Jingkang Yang,shared,complete_shared_variant,"S-Lab, Nanyang Technological University, Singapore, Singapore",6,data/raw/eccv/2024/first_pages/ECCV-2024-P0002.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0002,ECCV-2024-A000005,Yuhao Dong,shared,complete_shared_variant,"S-Lab, Nanyang Technological University, Singapore, Singapore",2,data/raw/eccv/2024/first_pages/ECCV-2024-P0002.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0002,ECCV-2024-A000006,Shuai Liu,shared,complete_shared_variant,"S-Lab, Nanyang Technological University, Singapore, Singapore",2,data/raw/eccv/2024/first_pages/ECCV-2024-P0002.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0002,ECCV-2024-A000007,Bo Li,shared,complete_shared_variant,"S-Lab, Nanyang Technological University, Singapore, Singapore",2,data/raw/eccv/2024/first_pages/ECCV-2024-P0002.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0002,ECCV-2024-A000008,Ziyue Wang,shared,complete_shared_variant,"S-Lab, Nanyang Technological University, Singapore, Singapore",2,data/raw/eccv/2024/first_pages/ECCV-2024-P0002.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0002,ECCV-2024-A000009,Haoran Tan et al.,shared,complete_shared_variant,"S-Lab, Nanyang Technological University, Singapore, Singapore",2,data/raw/eccv/2024/first_pages/ECCV-2024-P0002.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0003,ECCV-2024-A000010,Binzhu Xie,numbered,best_scoring_candidate,"Beijing University of Posts and Telecommunications, Beijing, China",4,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0003,ECCV-2024-A000011,Sicheng Zhang,numbered,best_scoring_candidate,"Khalifa University, Abu Dhabi, UAE",2,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0003,ECCV-2024-A000012,Zitang Zhou,numbered,best_scoring_candidate,"Beijing University of Posts and Telecommunications, Beijing, China",4,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0003,ECCV-2024-A000013,Bo Li,numbered,best_scoring_candidate,"S-Lab, Nanyang Technological University, Singapore, Singapore",6,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0003,ECCV-2024-A000014,Yuanhan Zhang,numbered,best_scoring_candidate,"S-Lab, Nanyang Technological University, Singapore, Singapore",6,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt,https://link.springer.com/book/9783031732317
ECCV-2024-P0003,ECCV-2024-A000015,Jack Hessel et al.,numbered,no_viable_candidate,UNKNOWN,-1000,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt,https://link.springer.com/book/9783031732317
