paper_id,author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied,first_page_text_path
ECCV-2024-P0003,ECCV-2024-A000015,Jack Hessel et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'The Allen Institute for AI, Seattle, WA, USA' as the institution for Jack Hessel, but the author name is listed as 'Jack Hessel et al.', which may imply multiple authors. However, the country is not explicitly stated for all authors in the 'et al.' group.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0003.txt
ECCV-2024-P0004,ECCV-2024-A000021,Kai Chen et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,The first-page text lists 'UNKNOWN' as the current institution and current country for 'Kai Chen et al.',no,data/raw/eccv/2024/first_pages/ECCV-2024-P0004.txt
ECCV-2024-P0015,ECCV-2024-A000071,Richard Hartley,UNKNOWN,UNKNOWN,UNKNOWN,low,No affiliation or country information is provided for this author.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0015.txt
ECCV-2024-P0016,ECCV-2024-A000079,Xiaokang Yang et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The author list indicates that the current_institution and current_country for 'Xiaokang Yang et al.' are UNKNOWN, and the first-page text does not provide any additional information about their affiliation or country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0016.txt
ECCV-2024-P0019,ECCV-2024-A000094,Jin Zheng et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The current_institution and current_country are explicitly stated as UNKNOWN in the author list, and there is no additional information in the first-page text to infer the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0019.txt
ECCV-2024-P0025,ECCV-2024-A000122,Vikram Voleti,UNKNOWN,UNKNOWN,United Kingdom,high,"The first-page text lists the institution as 'Stability AI, London, UK', which is associated with the United Kingdom.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0025.txt
ECCV-2024-P0025,ECCV-2024-A000123,Chun-Han Yao,UNKNOWN,UNKNOWN,United Kingdom,high,"The first-page text lists the institution as 'Stability AI, London, UK', which is associated with the United Kingdom.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0025.txt
ECCV-2024-P0025,ECCV-2024-A000124,Mark Boss,UNKNOWN,UNKNOWN,United Kingdom,high,"The first-page text lists the institution as 'Stability AI, London, UK', which is associated with the United Kingdom.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0025.txt
ECCV-2024-P0025,ECCV-2024-A000125,Adam Letts,UNKNOWN,UNKNOWN,United Kingdom,high,"The first-page text lists the institution as 'Stability AI, London, UK', which is associated with the United Kingdom.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0025.txt
ECCV-2024-P0025,ECCV-2024-A000126,David Pankratz,UNKNOWN,UNKNOWN,United Kingdom,high,"The first-page text lists the institution as 'Stability AI, London, UK', which is associated with the United Kingdom.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0025.txt
ECCV-2024-P0025,ECCV-2024-A000127,Dmitry Tochilkin et al.,UNKNOWN,UNKNOWN,United Kingdom,high,"The first-page text lists the institution as 'Stability AI, London, UK', which is associated with the United Kingdom.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0025.txt
ECCV-2024-P0026,ECCV-2024-A000128,Astitva Srivastava,UNKNOWN,UNKNOWN,India,high,"Affiliation 'IIIT Hyderabad, Gachibowli, India' and 'IIT Jodhpur, Jodhpur, India' are listed for the author.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0026.txt
ECCV-2024-P0026,ECCV-2024-A000129,Pranav Manu,UNKNOWN,UNKNOWN,India,high,"Affiliation 'IIIT Hyderabad, Gachibowli, India' is listed for the author.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0026.txt
ECCV-2024-P0026,ECCV-2024-A000130,Amit Raj,UNKNOWN,UNKNOWN,India | United States,high,"Affiliations 'IIIT Hyderabad, Gachibowli, India' and 'Google Research, Atlanta, USA' are listed for the author.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0026.txt
ECCV-2024-P0026,ECCV-2024-A000131,Varun Jampani,UNKNOWN,UNKNOWN,United States,high,"Affiliation 'Stability AI, Boston, USA' is listed for the author.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0026.txt
ECCV-2024-P0026,ECCV-2024-A000132,Avinash Sharma,UNKNOWN,UNKNOWN,India,high,"Affiliations 'IIIT Hyderabad, Gachibowli, India' and 'IIT Jodhpur, Jodhpur, India' are listed for the author.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0026.txt
ECCV-2024-P0029,ECCV-2024-A000145,Wenjia Wang et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists the institution as UNKNOWN, and no reliable country information is provided.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0029.txt
ECCV-2024-P0045,ECCV-2024-A000218,Tony Tung et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The current institution and country are listed as UNKNOWN, and no additional information is provided in the text to infer the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0045.txt
ECCV-2024-P0048,ECCV-2024-A000227,M. Jehanzeb Mirza,UNKNOWN,UNKNOWN,Austria,high,"Affiliation: ICG, TU Graz, Graz, Austria and CDL-EML, Vienna, Austria",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0048.txt
ECCV-2024-P0048,ECCV-2024-A000228,Leonid Karlinsky,UNKNOWN,UNKNOWN,United States,high,"Affiliation: MIT-IBM Watson AI Lab, Cambridge, USA",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0048.txt
ECCV-2024-P0048,ECCV-2024-A000229,Wei Lin,UNKNOWN,UNKNOWN,Austria,high,"Affiliation: JKU, Linz, Austria",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0048.txt
ECCV-2024-P0048,ECCV-2024-A000230,Sivan Doveh,UNKNOWN,UNKNOWN,Israel,high,"Affiliation: IBM Research, Yorktown, Israel and Weizmann Institute of Science, Rehovot, Israel",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0048.txt
ECCV-2024-P0048,ECCV-2024-A000231,Jakub Micorek,UNKNOWN,UNKNOWN,Austria,high,"Affiliation: ICG, TU Graz, Graz, Austria",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0048.txt
ECCV-2024-P0048,ECCV-2024-A000232,Mateusz Kozinski et al.,UNKNOWN,UNKNOWN,Austria,high,"Affiliation: ICG, TU Graz, Graz, Austria",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0048.txt
ECCV-2024-P0062,ECCV-2024-A000297,Jian Wang et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'UNKNOWN' as the current_institution and current_country for 'Jian Wang et al.', and there is no additional information to infer the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0062.txt
ECCV-2024-P0063,ECCV-2024-A000303,Johannes Kopf et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'UNKNOWN' as the current institution and country for Johannes Kopf et al., and there is no additional information to infer the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0063.txt
ECCV-2024-P0065,ECCV-2024-A000310,Yuxi Ren,UNKNOWN,UNKNOWN,China,high,"The first-page text lists ByteDance, Beijing, China as the affiliation for all authors.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0065.txt
ECCV-2024-P0065,ECCV-2024-A000311,Jie Wu,UNKNOWN,UNKNOWN,China,high,"The first-page text lists ByteDance, Beijing, China as the affiliation for all authors.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0065.txt
ECCV-2024-P0065,ECCV-2024-A000312,Yanzuo Lu,UNKNOWN,UNKNOWN,China,high,"The first-page text lists ByteDance, Beijing, China as the affiliation for all authors.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0065.txt
ECCV-2024-P0065,ECCV-2024-A000313,Huafeng Kuang,UNKNOWN,UNKNOWN,China,high,"The first-page text lists ByteDance, Beijing, China as the affiliation for all authors.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0065.txt
ECCV-2024-P0065,ECCV-2024-A000314,Xin Xia,UNKNOWN,UNKNOWN,China,high,"The first-page text lists ByteDance, Beijing, China as the affiliation for all authors.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0065.txt
ECCV-2024-P0065,ECCV-2024-A000315,Xionghui Wang et al.,UNKNOWN,UNKNOWN,China,high,"The first-page text lists ByteDance, Beijing, China as the affiliation for all authors.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0065.txt
ECCV-2024-P0089,ECCV-2024-A000416,Xueyang Kang,UNKNOWN,UNKNOWN,Belgium,high,"Affiliation listed as 'Faculty of Electrical Engineering, KU Leuven, Leuven, Belgium'.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0089.txt
ECCV-2024-P0089,ECCV-2024-A000417,Zhaoliang Luan,UNKNOWN,UNKNOWN,Hong Kong | United Kingdom,high,"Affiliations listed as 'The Hong Kong Polytechnic University, Hong Kong' and 'Queen Mary University of London, London, UK'.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0089.txt
ECCV-2024-P0089,ECCV-2024-A000418,Kourosh Khoshelham,UNKNOWN,UNKNOWN,Australia,high,"Affiliation listed as 'The University of Melbourne, Parkville, Australia'.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0089.txt
ECCV-2024-P0089,ECCV-2024-A000419,Bing Wang,UNKNOWN,UNKNOWN,Hong Kong,high,"Affiliation listed as 'The Hong Kong Polytechnic University, Hong Kong'.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0089.txt
ECCV-2024-P0097,ECCV-2024-A000459,Xin Jin,UNKNOWN,UNKNOWN,UNKNOWN,low,"The author's current_institution and current_country are both listed as 'UNKNOWN', and there is no additional information in the first-page text to infer their country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0097.txt
ECCV-2024-P0097,ECCV-2024-A000461,Shuwen Wu et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0097.txt
ECCV-2024-P0100,ECCV-2024-A000470,Mert Bülent Sarıyıldız,UNKNOWN,UNKNOWN,France,high,"The first page text lists 'NAVER LABS Europe, Meylan, France' as the affiliation for all authors, indicating that they are associated with France.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0100.txt
ECCV-2024-P0100,ECCV-2024-A000471,Philippe Weinzaepfel,UNKNOWN,UNKNOWN,France,high,"The first page text lists 'NAVER LABS Europe, Meylan, France' as the affiliation for all authors, indicating that they are associated with France.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0100.txt
ECCV-2024-P0100,ECCV-2024-A000472,Thomas Lucas,UNKNOWN,UNKNOWN,France,high,"The first page text lists 'NAVER LABS Europe, Meylan, France' as the affiliation for all authors, indicating that they are associated with France.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0100.txt
ECCV-2024-P0100,ECCV-2024-A000473,Diane Larlus,UNKNOWN,UNKNOWN,France,high,"The first page text lists 'NAVER LABS Europe, Meylan, France' as the affiliation for all authors, indicating that they are associated with France.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0100.txt
ECCV-2024-P0100,ECCV-2024-A000474,Yannis Kalantidis,UNKNOWN,UNKNOWN,France,high,"The first page text lists 'NAVER LABS Europe, Meylan, France' as the affiliation for all authors, indicating that they are associated with France.",yes,data/raw/eccv/2024/first_pages/ECCV-2024-P0100.txt
ECCV-2024-P0101,ECCV-2024-A000475,Arpit Garg,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0101.txt
ECCV-2024-P0101,ECCV-2024-A000476,Cuong Nguyen,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0101.txt
ECCV-2024-P0101,ECCV-2024-A000477,Rafael Felix,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0101.txt
ECCV-2024-P0101,ECCV-2024-A000478,Thanh-Toan Do,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0101.txt
ECCV-2024-P0101,ECCV-2024-A000479,Gustavo Carneiro,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0101.txt
ECCV-2024-P0102,ECCV-2024-A000484,Shuaicheng Liu,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'University of Electronic Science and Technology of China' as the affiliation for Yun Zhang, but for Shuaicheng Liu, the institution is listed as 'UNKNOWN'. There is no explicit information about the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0102.txt
ECCV-2024-P0102,ECCV-2024-A000485,Rui Ai et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'HAOMO.AI' as the affiliation for Rui Ai, but there is no explicit information about the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0102.txt
ECCV-2024-P0106,ECCV-2024-A000501,Robin Courant,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0106.txt
ECCV-2024-P0106,ECCV-2024-A000502,Nicolas Dufour,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0106.txt
ECCV-2024-P0106,ECCV-2024-A000503,Xi Wang,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0106.txt
ECCV-2024-P0106,ECCV-2024-A000504,Marc Christie,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0106.txt
ECCV-2024-P0106,ECCV-2024-A000505,Vicky Kalogeiton,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0106.txt
ECCV-2024-P0107,ECCV-2024-A000507,Peng Xia,"AIM Lab, Faculty of IT | Airdoc-Monash Research, Airdoc",UNKNOWN,UNKNOWN,low,"Current country is marked as UNKNOWN in the author list, and no other evidence is provided in the text.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0107.txt
ECCV-2024-P0107,ECCV-2024-A000510,Feilong Tang,"AIM Lab, Faculty of IT | Airdoc-Monash Research, Airdoc",UNKNOWN,UNKNOWN,low,"Current country is marked as UNKNOWN in the author list, and no other evidence is provided in the text.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0107.txt
ECCV-2024-P0107,ECCV-2024-A000511,Zhongxing Xu et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"Current institution and country are marked as UNKNOWN in the author list, and no other evidence is provided in the text.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0107.txt
ECCV-2024-P0110,ECCV-2024-A000527,Wei Xue et al.,UNKNOWN,UNKNOWN,UNKNOWN,low,"The author's current institution and country are listed as 'UNKNOWN' in the author list, and no additional information is provided in the first-page text.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0110.txt
ECCV-2024-P0111,ECCV-2024-A000530,Peijie Dong,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text lists 'UNKNOWN' as the current_institution and current_country for Peijie Dong, and there is no additional information to infer the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0111.txt
ECCV-2024-P0111,ECCV-2024-A000532,Shitong Shao,Southeast University,UNKNOWN,UNKNOWN,low,"The first-page text lists 'Southeast University' as the institution for Shitong Shao, but the current_country is provided as UNKNOWN, and there is no additional information to infer the country.",no,data/raw/eccv/2024/first_pages/ECCV-2024-P0111.txt
ECCV-2024-P0116,ECCV-2024-A000549,Xianrui Luo,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0116.txt
ECCV-2024-P0116,ECCV-2024-A000550,Huiqiang Sun,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0116.txt
ECCV-2024-P0116,ECCV-2024-A000551,Juewen Peng,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0116.txt
ECCV-2024-P0116,ECCV-2024-A000552,Zhiguo Cao,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0116.txt
ECCV-2024-P0118,ECCV-2024-A000559,Shadi Hamdan,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0118.txt
ECCV-2024-P0118,ECCV-2024-A000560,Fatma Güney,UNKNOWN,UNKNOWN,UNKNOWN,low,No information about the author's country is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0118.txt
ECCV-2024-P0124,ECCV-2024-A000583,David Fan,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0124.txt
ECCV-2024-P0124,ECCV-2024-A000584,Jue Wang,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0124.txt
ECCV-2024-P0124,ECCV-2024-A000585,Shuai Liao,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0124.txt
ECCV-2024-P0124,ECCV-2024-A000586,Zhikang Zhang,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0124.txt
ECCV-2024-P0124,ECCV-2024-A000587,Vimal Bhat,UNKNOWN,UNKNOWN,UNKNOWN,low,No country information is provided in the first-page text.,no,data/raw/eccv/2024/first_pages/ECCV-2024-P0124.txt
