paper_id,author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied,first_page_text_path
ICCV-2015-P0002,ICCV-2015-A000004,Hamid Izadinia,UNKNOWN,UNKNOWN,United States,high,"Email address 'izadinia@cs.uw.edu' indicates affiliation with the University of Washington, located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0002.txt
ICCV-2015-P0002,ICCV-2015-A000005,Fereshteh Sadeghi,UNKNOWN,UNKNOWN,United States,high,"Email address 'fsadeghi@cs.uw.edu' indicates affiliation with the University of Washington, located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0002.txt
ICCV-2015-P0002,ICCV-2015-A000006,Santosh K. Divvala,UNKNOWN,UNKNOWN,United States,high,"Email address 'santoshd@allenai.org' indicates affiliation with the Allen Institute for AI, located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0002.txt
ICCV-2015-P0002,ICCV-2015-A000007,Hannaneh Hajishirzi,UNKNOWN,UNKNOWN,United States,high,"Email address 'hannaneh@uw.edu' indicates affiliation with the University of Washington, located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0002.txt
ICCV-2015-P0002,ICCV-2015-A000008,Yejin Choi,UNKNOWN,UNKNOWN,United States,high,"Email address 'yejin@cs.uw.edu' indicates affiliation with the University of Washington, located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0002.txt
ICCV-2015-P0002,ICCV-2015-A000009,Ali Farhadi,UNKNOWN,UNKNOWN,United States,high,"Email address 'alif@allenai.org' indicates affiliation with the Allen Institute for AI, located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0002.txt
ICCV-2015-P0005,ICCV-2015-A000020,Pulkit Agrawal,UNKNOWN,UNKNOWN,United States,high,"Affiliated with UC Berkeley, which is located in the United States.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0005.txt
ICCV-2015-P0005,ICCV-2015-A000021,Joao Carreira,UNKNOWN,UNKNOWN,UNKNOWN,low,"No explicit country information is provided in the text, and the institution is listed as UNKNOWN.",no,data/raw/iccv/2015/first_pages/ICCV-2015-P0005.txt
ICCV-2015-P0006,ICCV-2015-A000023,Haoyu Ren,UNKNOWN,UNKNOWN,Canada,high,"The address 'Vancouver, Canada, V5A1E3' is explicitly mentioned in the first-page text, and both authors are affiliated with Simon Fraser University in Vancouver.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0006.txt
ICCV-2015-P0006,ICCV-2015-A000024,Ze-Nian Li,UNKNOWN,UNKNOWN,Canada,high,"The address 'Vancouver, Canada, V5A1E3' is explicitly mentioned in the first-page text, and both authors are affiliated with Simon Fraser University in Vancouver.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0006.txt
ICCV-2015-P0012,ICCV-2015-A000047,Bo Zhang,UNKNOWN,UNKNOWN,UNKNOWN,low,The first-page text does not provide any information about Bo Zhang's affiliation or country.,no,data/raw/iccv/2015/first_pages/ICCV-2015-P0012.txt
ICCV-2015-P0013,ICCV-2015-A000049,Kamil Adamczewski,UNKNOWN,UNKNOWN,UNKNOWN,low,No affiliation or country information provided in the text.,no,data/raw/iccv/2015/first_pages/ICCV-2015-P0013.txt
ICCV-2015-P0013,ICCV-2015-A000050,Yumin Suh,UNKNOWN,UNKNOWN,South Korea,high,Email address 'n12345@snu.ac.kr' indicates affiliation with Seoul National University in South Korea.,yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0013.txt
ICCV-2015-P0013,ICCV-2015-A000051,Kyoung Mu Lee,UNKNOWN,UNKNOWN,South Korea,high,Email address 'kyoungmu@snu.ac.kr' indicates affiliation with Seoul National University in South Korea.,yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0013.txt
ICCV-2015-P0014,ICCV-2015-A000052,Edgar Simo-Serra,UNKNOWN,UNKNOWN,Japan | Spain,high,"Affiliations list shows affiliations with Waseda University, Tokyo, Japan and Institut de Robo`tica i Informa`tica Industrial (CSIC-UPC), Barcelona, Spain.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0014.txt
ICCV-2015-P0014,ICCV-2015-A000053,Eduard Trulls,UNKNOWN,UNKNOWN,Switzerland | Spain,high,"Affiliations list shows affiliations with CVLab, Ecole Polytechnique Federale de Lausanne, Switzerland and Institut de Robo`tica i Informa`tica Industrial (CSIC-UPC), Barcelona, Spain.",yes,data/raw/iccv/2015/first_pages/ICCV-2015-P0014.txt
