paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
ICCV-2017-P0001,ICCV-2017-A000001,Dylan Campbell,numbered,0,4,4,Australian National University* | Data61 – CSIRO,5,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000002,Lars Petersson,numbered,0,4,4,Australian National University* | Data61 – CSIRO,5,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000003,Laurent Kneip,numbered,0,4,4,Australian National University*,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000004,Hongdong Li,numbered,0,4,4,Australian National University*,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000001,Dylan Campbell,symbol,1,0,4,UNKNOWN,-1000,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000002,Lars Petersson,symbol,1,0,4,UNKNOWN,-1000,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000003,Laurent Kneip,symbol,1,0,4,UNKNOWN,-1000,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000004,Hongdong Li,symbol,1,0,4,UNKNOWN,-1000,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000001,Dylan Campbell,stacked,2,4,4,Australian National University* Data61 – CSIRO,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000002,Lars Petersson,stacked,2,4,4,Australian National University* Data61 – CSIRO,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000003,Laurent Kneip,stacked,2,4,4,Australian National University* Data61 – CSIRO,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000004,Hongdong Li,stacked,2,4,4,Australian National University* Data61 – CSIRO,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000001,Dylan Campbell,shared,3,4,4,Australian National University*,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000002,Lars Petersson,shared,3,4,4,Australian National University*,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000003,Laurent Kneip,shared,3,4,4,Australian National University*,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0001,ICCV-2017-A000004,Hongdong Li,shared,3,4,4,Australian National University*,4,data/raw/iccv/2017/first_pages/ICCV-2017-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Campbell_Globally-Optimal_Inlier_Set_ICCV_2017_paper.pdf
ICCV-2017-P0002,ICCV-2017-A000005,Chao-Tsung Huang,stacked,2,0,1,UNKNOWN,-1000,data/raw/iccv/2017/first_pages/ICCV-2017-P0002.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Huang_Robust_Pseudo_Random_ICCV_2017_paper.pdf
ICCV-2017-P0002,ICCV-2017-A000005,Chao-Tsung Huang,shared,3,1,1,"National Tsing Hua University, Taiwan",4,data/raw/iccv/2017/first_pages/ICCV-2017-P0002.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Huang_Robust_Pseudo_Random_ICCV_2017_paper.pdf
ICCV-2017-P0003,ICCV-2017-A000006,Kihwan Kim,numbered,0,5,6,NVIDIA,0,data/raw/iccv/2017/first_pages/ICCV-2017-P0003.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Kim_A_Lightweight_Approach_ICCV_2017_paper.pdf
ICCV-2017-P0003,ICCV-2017-A000007,Jinwei Gu,numbered,0,5,6,NVIDIA,0,data/raw/iccv/2017/first_pages/ICCV-2017-P0003.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Kim_A_Lightweight_Approach_ICCV_2017_paper.pdf
ICCV-2017-P0003,ICCV-2017-A000008,Stephen Tyree,numbered,0,5,6,NVIDIA,0,data/raw/iccv/2017/first_pages/ICCV-2017-P0003.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Kim_A_Lightweight_Approach_ICCV_2017_paper.pdf
ICCV-2017-P0003,ICCV-2017-A000009,Pavlo Molchanov,numbered,0,5,6,NVIDIA,0,data/raw/iccv/2017/first_pages/ICCV-2017-P0003.txt,https://openaccess.thecvf.com/content_ICCV_2017/papers/Kim_A_Lightweight_Approach_ICCV_2017_paper.pdf
