author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied
ICCV-2017-A000027,Alex Kendall,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000028,Hayk Martirosyan,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000029,Saumitro Dasgupta,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000030,Peter Henry,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000031,Ryan Kennedy,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000032,Abraham Bachrach,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000033,Adam Bry,Skydio Research,UNKNOWN,United States,medium,"Skydio is a well-known U.S.-based company, and 'Skydio Research' likely refers to its research division.",yes
ICCV-2017-A000035,Xiaoguang Han,The University of Hong Kong,UNKNOWN,Hong Kong,high,The University of Hong Kong is a well-known institution located in Hong Kong.,yes
ICCV-2017-A000036,Zhen Li,The University of Hong Kong,UNKNOWN,Hong Kong,high,The University of Hong Kong is a well-known institution located in Hong Kong.,yes
ICCV-2017-A000039,Yizhou Yu,The University of Hong Kong,UNKNOWN,Hong Kong,high,The University of Hong Kong is a well-known institution located in Hong Kong.,yes
ICCV-2017-A000793,Kai Han,The University of Hong Kong,UNKNOWN,Hong Kong,high,The University of Hong Kong is a well-known institution located in Hong Kong.,yes
ICCV-2017-A000796,Kwan-Yee K. Wong,The University of Hong Kong,UNKNOWN,Hong Kong,high,The University of Hong Kong is a well-known institution located in Hong Kong.,yes
ICCV-2017-A000037,Haibin Huang,"University of Massachusetts, Amherst",UNKNOWN,United States,high,"University of Massachusetts, Amherst is a well-known university located in the United States.",yes
ICCV-2017-A000038,Evangelos Kalogerakis,"University of Massachusetts, Amherst",UNKNOWN,United States,high,"University of Massachusetts, Amherst is a well-known university located in the United States.",yes
ICCV-2017-A000183,Jong-Chyi Su,"University of Massachusetts, Amherst",UNKNOWN,United States,high,"University of Massachusetts, Amherst is a well-known university located in the United States.",yes
ICCV-2017-A000184,Chenyun Wu,"University of Massachusetts, Amherst",UNKNOWN,United States,high,"University of Massachusetts, Amherst is a well-known university located in the United States.",yes
ICCV-2017-A000185,Huaizu Jiang,"University of Massachusetts, Amherst",UNKNOWN,United States,high,"University of Massachusetts, Amherst is a well-known university located in the United States.",yes
ICCV-2017-A000186,Subhransu Maji,"University of Massachusetts, Amherst",UNKNOWN,United States,high,"University of Massachusetts, Amherst is a well-known university located in the United States.",yes
ICCV-2017-A000067,Rudrasis Chakraborty,"Department of CISE, University of Florida",UNKNOWN,United States,high,The University of Florida is a well-known institution located in the United States.,yes
ICCV-2017-A000070,Baba C. Vemuri,"Department of CISE, University of Florida",UNKNOWN,United States,high,The University of Florida is a well-known institution located in the United States.,yes
ICCV-2017-A000068,Vikas Singh,University of Wisconsin–Madison,UNKNOWN,United States,high,The University of Wisconsin–Madison is a well-known institution located in the United States.,yes
ICCV-2017-A000069,Nagesh Adluru,University of Wisconsin–Madison,UNKNOWN,United States,high,The University of Wisconsin–Madison is a well-known institution located in the United States.,yes
ICCV-2017-A000071,Liang Mi,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000072,Wen Zhang,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000073,Junwei Zhang,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000074,Yonghui Fan,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000075,Dhruman Goradia,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000076,Kewei Chen,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000077,Eric M. Reiman,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000078,Xianfeng Gu,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000079,Yalin Wang,Arizona State Unversity Stony Brook University Banner Alzheimer’s Institute,UNKNOWN,United States,high,"All institutions listed (Arizona State University, Stony Brook University, Banner Alzheimer’s Institute) are well-known institutions located in the United States.",yes
ICCV-2017-A000096,Xin Tao,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A000097,Chao Zhou,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A000583,Guangyong Chen,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A000685,Chao Zhou,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A000686,Hong Zhang,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001191,Ping Luo,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001194,Xiaogang Wang,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001435,Hongyun Gao,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001436,Xin Tao,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001437,Chao Zhou,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001806,Ruiyu Li,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001922,Xin Tao,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001923,Hongyun Gao,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A001933,Ying-Cong Chen,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A002543,Hongsheng Li,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A002545,Xiaogang Wang,The Chinese University of Hong Kong,UNKNOWN,China,high,The institution is explicitly named as part of China.,yes
ICCV-2017-A000098,Xiaoyong Shen,"Youtu Lab, Tencent",UNKNOWN,China,high,"Tencent is a well-known Chinese technology company, and Youtu Lab is a subsidiary of Tencent.",yes
ICCV-2017-A000687,Xiaoyong Shen,"Youtu Lab, Tencent",UNKNOWN,China,high,"Tencent is a well-known Chinese technology company, and Youtu Lab is a subsidiary of Tencent.",yes
ICCV-2017-A001434,Xiaoyong Shen,"Youtu Lab, Tencent",UNKNOWN,China,high,"Tencent is a well-known Chinese technology company, and Youtu Lab is a subsidiary of Tencent.",yes
ICCV-2017-A000099,Jue Wang,Megvii Inc.,UNKNOWN,China,high,Megvii Inc. is a well-known Chinese technology company based in Beijing.,yes
ICCV-2017-A001925,Jue Wang,Megvii Inc.,UNKNOWN,China,high,Megvii Inc. is a well-known Chinese technology company based in Beijing.,yes
ICCV-2017-A000100,Jiaya Jia,"The Chinese University of Hong Kong | Youtu Lab, Tencent",UNKNOWN,China | Hong Kong,medium,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",no
ICCV-2017-A000688,Jiaya Jia,"The Chinese University of Hong Kong | Youtu Lab, Tencent",UNKNOWN,China | Hong Kong,medium,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",no
ICCV-2017-A001438,Jiaya Jia,"The Chinese University of Hong Kong | Youtu Lab, Tencent",UNKNOWN,China | Hong Kong,medium,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",no
ICCV-2017-A001809,Jiaya Jia,"The Chinese University of Hong Kong | Youtu Lab, Tencent",UNKNOWN,China | Hong Kong,medium,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",no
ICCV-2017-A001926,Jiaya Jia,"The Chinese University of Hong Kong | Youtu Lab, Tencent",UNKNOWN,China | Hong Kong,medium,"The Chinese University of Hong Kong is located in Hong Kong, which is a Special Administrative Region of China.",no
ICCV-2017-A000101,Patrick Wieschollek,"University of Tübingen | Max Planck Institute for Intelligent Systems, Tübingen",UNKNOWN,Germany,high,"Both the University of Tübingen and the Max Planck Institute for Intelligent Systems are well-known institutions located in Tübingen, Germany.",yes
ICCV-2017-A000102,Michael Hirsch,"Max Planck Institute for Intelligent Systems, Tübingen",UNKNOWN,Germany,high,"The Max Planck Institute for Intelligent Systems is located in Tübingen, Germany.",yes
ICCV-2017-A000109,Xiangyu Xu,"Tsinghua University | University of California, Merced | Harvard University",UNKNOWN,United States | China,high,"Tsinghua University is located in China, while University of California, Merced and Harvard University are located in the United States.",yes
ICCV-2017-A000110,Deqing Sun,Harvard University | Nvidia,UNKNOWN,United States,high,Both Harvard University and Nvidia are well-known institutions based in the United States.,yes
ICCV-2017-A000111,Jinshan Pan,Nanjing University of Science & Technology,UNKNOWN,China,high,"Nanjing University of Science & Technology is a well-known university located in Nanjing, China.",yes
ICCV-2017-A000112,Yujin Zhang,Tsinghua University,UNKNOWN,China,high,Tsinghua University is a well-known institution located in China.,yes
ICCV-2017-A000310,Shengjin Wang,Tsinghua University,UNKNOWN,China,high,Tsinghua University is a well-known institution located in China.,yes
ICCV-2017-A001383,Wangjiang Zhu,Tsinghua University,UNKNOWN,China,high,Tsinghua University is a well-known institution located in China.,yes
ICCV-2017-A001475,Chuang Gan,Tsinghua University,UNKNOWN,China,high,Tsinghua University is a well-known institution located in China.,yes
