paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,candidate_score,first_page_text_path,source_url
ICCV-2019-P0001,ICCV-2019-A000001,Andreas Rossler,numbered,no_viable_candidate,UNKNOWN,-1000,data/raw/iccv/2019/first_pages/ICCV-2019-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.pdf
ICCV-2019-P0001,ICCV-2019-A000002,Davide Cozzolino,numbered,best_scoring_candidate,University Federico II of Naples,2,data/raw/iccv/2019/first_pages/ICCV-2019-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.pdf
ICCV-2019-P0001,ICCV-2019-A000003,Luisa Verdoliva,numbered,best_scoring_candidate,University Federico II of Naples,2,data/raw/iccv/2019/first_pages/ICCV-2019-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.pdf
ICCV-2019-P0001,ICCV-2019-A000004,Christian Riess,numbered,best_scoring_candidate,University of Erlangen-Nuremberg,2,data/raw/iccv/2019/first_pages/ICCV-2019-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.pdf
ICCV-2019-P0001,ICCV-2019-A000005,Justus Thies,numbered,no_viable_candidate,UNKNOWN,-4,data/raw/iccv/2019/first_pages/ICCV-2019-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.pdf
ICCV-2019-P0001,ICCV-2019-A000006,Matthias Niessner,numbered,no_viable_candidate,UNKNOWN,-1000,data/raw/iccv/2019/first_pages/ICCV-2019-P0001.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.pdf
ICCV-2019-P0002,ICCV-2019-A000007,Weixin Lu,shared,complete_shared_variant,Baidu Autonomous Driving Technology Department (ADT),2,data/raw/iccv/2019/first_pages/ICCV-2019-P0002.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Lu_DeepVCP_An_End-to-End_Deep_Neural_Network_for_Point_Cloud_Registration_ICCV_2019_paper.pdf
ICCV-2019-P0002,ICCV-2019-A000008,Guowei Wan,shared,complete_shared_variant,Baidu Autonomous Driving Technology Department (ADT),2,data/raw/iccv/2019/first_pages/ICCV-2019-P0002.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Lu_DeepVCP_An_End-to-End_Deep_Neural_Network_for_Point_Cloud_Registration_ICCV_2019_paper.pdf
ICCV-2019-P0002,ICCV-2019-A000009,Yao Zhou,shared,complete_shared_variant,Baidu Autonomous Driving Technology Department (ADT),2,data/raw/iccv/2019/first_pages/ICCV-2019-P0002.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Lu_DeepVCP_An_End-to-End_Deep_Neural_Network_for_Point_Cloud_Registration_ICCV_2019_paper.pdf
ICCV-2019-P0002,ICCV-2019-A000010,Xiangyu Fu,shared,complete_shared_variant,Baidu Autonomous Driving Technology Department (ADT),2,data/raw/iccv/2019/first_pages/ICCV-2019-P0002.txt,https://openaccess.thecvf.com/content_ICCV_2019/papers/Lu_DeepVCP_An_End-to-End_Deep_Neural_Network_for_Point_Cloud_Registration_ICCV_2019_paper.pdf
