author_id,author_name,institution,country,conference,year
ICCV-2019-A000001,Andreas Rossler,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000002,Davide Cozzolino,University Federico II of Naples,Italy,ICCV,2019
ICCV-2019-A000003,Luisa Verdoliva,University Federico II of Naples,Italy,ICCV,2019
ICCV-2019-A000004,Christian Riess,University of Erlangen-Nuremberg,Germany,ICCV,2019
ICCV-2019-A000005,Justus Thies,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000006,Matthias Niessner,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000007,Weixin Lu,Baidu Autonomous Driving Technology Department (ADT),China,ICCV,2019
ICCV-2019-A000008,Guowei Wan,Baidu Autonomous Driving Technology Department (ADT),China,ICCV,2019
ICCV-2019-A000009,Yao Zhou,Baidu Autonomous Driving Technology Department (ADT),China,ICCV,2019
ICCV-2019-A000010,Xiangyu Fu,Baidu Autonomous Driving Technology Department (ADT),China,ICCV,2019
ICCV-2019-A000011,Pengfei Yuan,Baidu Autonomous Driving Technology Department (ADT),China,ICCV,2019
ICCV-2019-A000012,Shiyu Song,Baidu Autonomous Driving Technology Department (ADT),China,ICCV,2019
ICCV-2019-A000013,Matheus Gadelha,"University of Massachusetts, Amherst",United States,ICCV,2019
ICCV-2019-A000014,Rui Wang,"University of Massachusetts, Amherst",United States,ICCV,2019
ICCV-2019-A000015,Subhransu Maji,"University of Massachusetts, Amherst",United States,ICCV,2019
ICCV-2019-A000016,Mans Larsson,Chalmers University of Technology,Sweden,ICCV,2019
ICCV-2019-A000017,Erik Stenborg,Chalmers University of Technology,Sweden,ICCV,2019
ICCV-2019-A000018,Carl Toft,Chalmers University of Technology,Sweden,ICCV,2019
ICCV-2019-A000019,Lars Hammarstrand,Chalmers University of Technology,Sweden,ICCV,2019
ICCV-2019-A000020,Torsten Sattler,Chalmers University of Technology,Sweden,ICCV,2019
ICCV-2019-A000021,Fredrik Kahl,Chalmers University of Technology,Sweden,ICCV,2019
ICCV-2019-A000022,Luwei Yang,Simon Fraser University,Canada,ICCV,2019
ICCV-2019-A000023,Ziqian Bai,Simon Fraser University,Canada,ICCV,2019
ICCV-2019-A000024,Chengzhou Tang,Simon Fraser University,Canada,ICCV,2019
ICCV-2019-A000025,Honghua Li,Alibaba A.I Labs,China,ICCV,2019
ICCV-2019-A000026,Yasutaka Furukawa,Simon Fraser University,Canada,ICCV,2019
ICCV-2019-A000027,Ping Tan,Simon Fraser University,Canada,ICCV,2019
ICCV-2019-A000028,Pedro Hermosilla,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000029,Tobias Ritschel,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000030,Timo Ropinski,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000031,Rizard Renanda Adhi Pramono,"National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C. Email:",Taiwan,ICCV,2019
ICCV-2019-A000032,Yie-Tarng Chen,"National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C. Email:",Taiwan,ICCV,2019
ICCV-2019-A000033,Wen-Hsien Fang,"National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C. Email:",Taiwan,ICCV,2019
ICCV-2019-A000034,Umar Riaz Muhammad,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000035,Yongxin Yang,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A000036,Timothy M. Hospedales,UNKNOWN,UNKNOWN,ICCV,2019
