paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
ICCV-2021-P0001,ICCV-2021-A000001,Geonwoon Jang,shared,complete_shared_variant,"ASRI, Department of ECE, Seoul National University","ASRI, Department of ECE, Seoul National University",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0001.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Jang_C2N_Practical_Generative_Noise_Modeling_for_Real-World_Denoising_ICCV_2021_paper.pdf
ICCV-2021-P0001,ICCV-2021-A000002,Wooseok Lee,shared,complete_shared_variant,"ASRI, Department of ECE, Seoul National University","ASRI, Department of ECE, Seoul National University",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0001.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Jang_C2N_Practical_Generative_Noise_Modeling_for_Real-World_Denoising_ICCV_2021_paper.pdf
ICCV-2021-P0001,ICCV-2021-A000003,Sanghyun Son,shared,complete_shared_variant,"ASRI, Department of ECE, Seoul National University","ASRI, Department of ECE, Seoul National University",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0001.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Jang_C2N_Practical_Generative_Noise_Modeling_for_Real-World_Denoising_ICCV_2021_paper.pdf
ICCV-2021-P0001,ICCV-2021-A000004,Kyoung Mu Lee,shared,complete_shared_variant,"ASRI, Department of ECE, Seoul National University","ASRI, Department of ECE, Seoul National University",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0001.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Jang_C2N_Practical_Generative_Noise_Modeling_for_Real-World_Denoising_ICCV_2021_paper.pdf
ICCV-2021-P0002,ICCV-2021-A000005,Chris Dongjoo Kim,stacked,complete_stacked_variant,"Department of Computer Science and Engineering, Seoul National University, Seoul, Korea","Department of Computer Science and Engineering, Seoul National University, Seoul, Korea",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0002.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Kim_Continual_Learning_on_Noisy_Data_Streams_via_Self-Purified_Replay_ICCV_2021_paper.pdf
ICCV-2021-P0002,ICCV-2021-A000006,Jinseo Jeong,stacked,complete_stacked_variant,"Department of Computer Science and Engineering, Seoul National University, Seoul, Korea","Department of Computer Science and Engineering, Seoul National University, Seoul, Korea",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0002.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Kim_Continual_Learning_on_Noisy_Data_Streams_via_Self-Purified_Replay_ICCV_2021_paper.pdf
ICCV-2021-P0002,ICCV-2021-A000007,Sangwoo Moon,stacked,complete_stacked_variant,"Department of Computer Science and Engineering, Seoul National University, Seoul, Korea","Department of Computer Science and Engineering, Seoul National University, Seoul, Korea",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0002.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Kim_Continual_Learning_on_Noisy_Data_Streams_via_Self-Purified_Replay_ICCV_2021_paper.pdf
ICCV-2021-P0002,ICCV-2021-A000008,Gunhee Kim,stacked,complete_stacked_variant,"Department of Computer Science and Engineering, Seoul National University, Seoul, Korea","Department of Computer Science and Engineering, Seoul National University, Seoul, Korea",6,data/raw/iccv/2021/first_pages/ICCV-2021-P0002.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Kim_Continual_Learning_on_Noisy_Data_Streams_via_Self-Purified_Replay_ICCV_2021_paper.pdf
ICCV-2021-P0003,ICCV-2021-A000009,Alex Yu,numbered,complete_numbered_variant,UC Berkeley,UC Berkeley,2,data/raw/iccv/2021/first_pages/ICCV-2021-P0003.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Yu_PlenOctrees_for_Real-Time_Rendering_of_Neural_Radiance_Fields_ICCV_2021_paper.pdf
ICCV-2021-P0003,ICCV-2021-A000010,Ruilong Li,numbered,complete_numbered_variant,UC Berkeley | USC Institute for Creative Technologies,UC Berkeley | USC Institute for Creative Technologies,5,data/raw/iccv/2021/first_pages/ICCV-2021-P0003.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Yu_PlenOctrees_for_Real-Time_Rendering_of_Neural_Radiance_Fields_ICCV_2021_paper.pdf
ICCV-2021-P0003,ICCV-2021-A000011,Matthew Tancik,numbered,complete_numbered_variant,UC Berkeley,UC Berkeley,2,data/raw/iccv/2021/first_pages/ICCV-2021-P0003.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Yu_PlenOctrees_for_Real-Time_Rendering_of_Neural_Radiance_Fields_ICCV_2021_paper.pdf
ICCV-2021-P0003,ICCV-2021-A000012,Hao Li,numbered,complete_numbered_variant,UC Berkeley,UC Berkeley,2,data/raw/iccv/2021/first_pages/ICCV-2021-P0003.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Yu_PlenOctrees_for_Real-Time_Rendering_of_Neural_Radiance_Fields_ICCV_2021_paper.pdf
ICCV-2021-P0003,ICCV-2021-A000013,Ren Ng,numbered,complete_numbered_variant,UC Berkeley,UC Berkeley,2,data/raw/iccv/2021/first_pages/ICCV-2021-P0003.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Yu_PlenOctrees_for_Real-Time_Rendering_of_Neural_Radiance_Fields_ICCV_2021_paper.pdf
ICCV-2021-P0003,ICCV-2021-A000014,Angjoo Kanazawa,numbered,complete_numbered_variant,UC Berkeley,UC Berkeley,2,data/raw/iccv/2021/first_pages/ICCV-2021-P0003.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Yu_PlenOctrees_for_Real-Time_Rendering_of_Neural_Radiance_Fields_ICCV_2021_paper.pdf
ICCV-2021-P0004,ICCV-2021-A000015,Robin Chan,stacked,complete_stacked_variant,"IZMD, Faculty of Mathematics and Natural Sciences, University of Wuppertal","IZMD, Faculty of Mathematics and Natural Sciences, University of Wuppertal",2,data/raw/iccv/2021/first_pages/ICCV-2021-P0004.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Chan_Entropy_Maximization_and_Meta_Classification_for_Out-of-Distribution_Detection_in_Semantic_ICCV_2021_paper.pdf
ICCV-2021-P0004,ICCV-2021-A000016,Matthias Rottmann,stacked,complete_stacked_variant,"IZMD, Faculty of Mathematics and Natural Sciences, University of Wuppertal","IZMD, Faculty of Mathematics and Natural Sciences, University of Wuppertal",2,data/raw/iccv/2021/first_pages/ICCV-2021-P0004.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Chan_Entropy_Maximization_and_Meta_Classification_for_Out-of-Distribution_Detection_in_Semantic_ICCV_2021_paper.pdf
ICCV-2021-P0004,ICCV-2021-A000017,Hanno Gottschalk,stacked,complete_stacked_variant,"IZMD, Faculty of Mathematics and Natural Sciences, University of Wuppertal","IZMD, Faculty of Mathematics and Natural Sciences, University of Wuppertal",2,data/raw/iccv/2021/first_pages/ICCV-2021-P0004.txt,https://openaccess.thecvf.com/content/ICCV2021/papers/Chan_Entropy_Maximization_and_Meta_Classification_for_Out-of-Distribution_Detection_in_Semantic_ICCV_2021_paper.pdf
