author_id,author_name,institution,country,conference,year
ICML-2016-A000001,Nihar Shah,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000002,Dengyong Zhou,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000003,Nihar Shah,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000004,Sivaraman Balakrishnan,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000005,Aditya Guntuboyina,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000006,Martin Wainwright,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000007,Adrian Weller,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000008,Uri Shaham,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000009,Xiuyuan Cheng,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000010,Omer Dror,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000011,Ariel Jaffe,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000012,Boaz Nadler,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000013,Joseph Chang,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000014,Yuval Kluger,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000015,Zhilin Yang,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000016,William Cohen,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000017,Ruslan Salakhudinov,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000018,Chelsea Finn,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000019,Sergey Levine,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000020,Pieter Abbeel,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000021,Pengtao Xie,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000022,Jun Zhu,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000023,Eric Xing,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000024,Kirthevasan Kandasamy,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000025,Yaoliang Yu,UNKNOWN,UNKNOWN,ICML,2016
ICML-2016-A000026,Young Lee,"Similarly, criminological research (Bernasco and Nieuwbeerta, ) has shown that crime can spread through local",UNKNOWN,ICML,2016
