paper_id,author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied,first_page_text_path
ICML-2019-P0001,ICML-2019-A000001,Gabriele Abbati,UNKNOWN,UNKNOWN,United Kingdom,high,"Affiliation: Department of Engineering Science, University of Oxford (located in the United Kingdom).",yes,data/raw/icml/2019/first_pages/ICML-2019-P0001.txt
ICML-2019-P0001,ICML-2019-A000002,Philippe Wenk,UNKNOWN,UNKNOWN,Switzerland | Germany,high,"Affiliations: Learning and Adaptive Systems Group, ETH Zürich (Switzerland) and Max Planck ETH Center for Learning Systems (Germany).",yes,data/raw/icml/2019/first_pages/ICML-2019-P0001.txt
ICML-2019-P0001,ICML-2019-A000003,Michael A. Osborne,UNKNOWN,UNKNOWN,United Kingdom,high,"Affiliation: Department of Engineering Science, University of Oxford (located in the United Kingdom).",yes,data/raw/icml/2019/first_pages/ICML-2019-P0001.txt
ICML-2019-P0001,ICML-2019-A000004,Andreas Krause,UNKNOWN,UNKNOWN,Switzerland,high,"Affiliation: Learning and Adaptive Systems Group, ETH Zürich (Switzerland).",yes,data/raw/icml/2019/first_pages/ICML-2019-P0001.txt
ICML-2019-P0001,ICML-2019-A000005,Bernhard Schölkopf,UNKNOWN,UNKNOWN,Germany,high,Affiliation: Max Planck Institute for Intelligent Systems (Germany).,yes,data/raw/icml/2019/first_pages/ICML-2019-P0001.txt
ICML-2019-P0001,ICML-2019-A000006,Stefan Bauer,UNKNOWN,UNKNOWN,Germany,high,"Affiliation: Empirical Inference Group, Max Planck Institute for Intelligent Systems (Germany).",yes,data/raw/icml/2019/first_pages/ICML-2019-P0001.txt
ICML-2019-P0004,ICML-2019-A000021,Clement Canonne,UNKNOWN,UNKNOWN,UNKNOWN,low,,no,data/raw/icml/2019/first_pages/ICML-2019-P0004.txt
ICML-2019-P0004,ICML-2019-A000022,Himanshu Tyagi,UNKNOWN,UNKNOWN,UNKNOWN,low,"The author's current_institution and current_country are listed as UNKNOWN, and there is no additional information in the first-page text to infer their country.",no,data/raw/icml/2019/first_pages/ICML-2019-P0004.txt
ICML-2019-P0007,ICML-2019-A000030,Yuelong Ji,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text does not provide any information about Yuelong Ji's institution or country, and the current_institution and current_country are listed as 'UNKNOWN' in the author list.",no,data/raw/icml/2019/first_pages/ICML-2019-P0007.txt
ICML-2019-P0007,ICML-2019-A000031,Xiaobin Wang,UNKNOWN,UNKNOWN,UNKNOWN,low,"The first-page text does not provide any information about Xiaobin Wang's institution or country, and the current_institution and current_country are listed as 'UNKNOWN' in the author list.",no,data/raw/icml/2019/first_pages/ICML-2019-P0007.txt
