author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied
ICML-2020-A000015,Marc Abeille,Criteo AI Lab,UNKNOWN,France,medium,"Criteo is a French company, and the AI Lab is likely based in France.",yes
ICML-2020-A001537,Amélie Héliou,Criteo AI Lab,UNKNOWN,France,medium,"Criteo is a French company, and the AI Lab is likely based in France.",yes
ICML-2020-A000016,Alessandro Lazaric,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A000769,Ronan Collobert,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A000770,Awni Hannun,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A000771,Gabriel Synnaeve,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A002297,Nicolas Loizou,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A002298,Hugo Berard,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A002299,Alexia Jolicoeur-Martineau,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A002300,Pascal Vincent,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A002301,Simon Lacoste-Julien,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A002302,Ioannis Mitliagkas,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A003212,Mohammad Ghavamzadeh,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A003417,Yuandong Tian,Facebook AI Research.,UNKNOWN,United States,high,Facebook AI Research is based in the United States.,yes
ICML-2020-A000017,Pierre Ablin,"Department de Mathématique et Applications, ENS",UNKNOWN,France,high,"ENS refers to École Normale Supérieure, which is a prestigious French institution.",yes
ICML-2020-A000018,Gabriel Peyré,"Department de Mathématique et Applications, ENS",UNKNOWN,France,high,"ENS refers to École Normale Supérieure, which is a prestigious French institution.",yes
ICML-2020-A000019,Thomas Moreau,"Department de Mathématique et Applications, ENS",UNKNOWN,France,high,"ENS refers to École Normale Supérieure, which is a prestigious French institution.",yes
ICML-2020-A000024,Peter Kairouz,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000025,Daniel Ramage,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000285,Ashok Cutkosky,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000286,Ravi Kumar,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000287,Manish Purohit,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000426,Yoni Halpern,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000469,Alon Cohen,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A001744,Di Huang,Google,UNKNOWN,United States,medium,"Google is a multinational corporation, but it was founded in the United States and is headquartered there.",no
ICML-2020-A000037,Naman Agarwal,Google AI Princeton,UNKNOWN,United States,high,"Princeton is a city in New Jersey, United States, and Google AI Princeton refers to the research lab located there.",yes
ICML-2020-A000244,Shay Moran,Google AI Princeton,UNKNOWN,United States,high,"Princeton is a city in New Jersey, United States, and Google AI Princeton refers to the research lab located there.",yes
ICML-2020-A000038,Nataly Brukhim,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000039,Elad Hazan,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000040,Zhou Lu,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000742,Sergio Filho,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000743,Eduardo Laber,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000744,Marco Molinaro,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000764,Karthik C. S.,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000875,Mukul Ram,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000876,Seyed Esmaeili,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000877,Yu-Xiang Wang,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000878,Furong Huang,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A001183,Frederic Sala,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A001185,Kayvon Fatahalian,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A002175,Tsung-Yi Ho,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A003504,Giuseppe Vietri,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A003507,Steven Wu,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A003508,Giuseppe Vietri,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A003512,Steven Wu,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A004135,Pengxiang Wu,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A004138,Dimitris Metaxas,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A004195,David Evans,Department of Computer Science,UNKNOWN,UNKNOWN,low,The institution name is too generic and does not provide enough information to determine the country.,no
ICML-2020-A000041,Rishabh Agarwal,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
ICML-2020-A000042,Dale Schuurmans,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
ICML-2020-A000043,Mohammad Norouzi,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
ICML-2020-A000583,Hanjun Dai,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
ICML-2020-A000831,Hanjun Dai,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
ICML-2020-A000832,Azade Nazi,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
ICML-2020-A000834,Bo Dai,"Google Research, Brain Team",UNKNOWN,United States,high,"Google Research, Brain Team is based in the United States.",yes
