paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,candidate_score,first_page_text_path,source_url
NEURIPS-2018-P0001,NEURIPS-2018-A000001,Hexiang Hu,shared,complete_shared_variant,University of Southern California,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0001,NEURIPS-2018-A000002,Liyu Chen,shared,complete_shared_variant,University of Southern California,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0001,NEURIPS-2018-A000003,Boqing Gong,shared,complete_shared_variant,University of Southern California,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0001,NEURIPS-2018-A000004,Fei Sha,shared,complete_shared_variant,University of Southern California,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0001.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000005,Pedro Morgado,symbol,no_viable_candidate,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000006,Nuno Nvasconcelos,symbol,no_viable_candidate,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000007,Timothy Langlois,symbol,no_viable_candidate,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0002,NEURIPS-2018-A000008,Oliver Wang,symbol,no_viable_candidate,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0002.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
NEURIPS-2018-P0003,NEURIPS-2018-A000009,Eitan Richardson,shared,complete_shared_variant,"School of Computer Science and Engineering The Hebrew University of Jerusalem Jerusalem, Israel",6,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0003.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf
NEURIPS-2018-P0003,NEURIPS-2018-A000010,Yair Weiss,shared,complete_shared_variant,"School of Computer Science and Engineering The Hebrew University of Jerusalem Jerusalem, Israel",6,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0003.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf
NEURIPS-2018-P0004,NEURIPS-2018-A000011,Hyeonseob Nam,shared,complete_shared_variant,Lunit Inc.,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0004.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf
NEURIPS-2018-P0004,NEURIPS-2018-A000012,Hyo-Eun Kim,shared,complete_shared_variant,Lunit Inc.,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0004.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf
NEURIPS-2018-P0005,NEURIPS-2018-A000013,Sungryull Sohn,shared,complete_shared_variant,University of Michigan,4,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0005.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/018dd1e07a2de4a08e6612341bf2323e-Paper.pdf
NEURIPS-2018-P0005,NEURIPS-2018-A000014,Junhyuk Oh,shared,complete_shared_variant,University of Michigan,4,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0005.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/018dd1e07a2de4a08e6612341bf2323e-Paper.pdf
NEURIPS-2018-P0005,NEURIPS-2018-A000015,Honglak Lee,shared,complete_shared_variant,University of Michigan,4,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0005.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/018dd1e07a2de4a08e6612341bf2323e-Paper.pdf
NEURIPS-2018-P0006,NEURIPS-2018-A000016,Xiaojie Wang,shared,complete_shared_variant,University of Melbourne,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0006.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/019d385eb67632a7e958e23f24bd07d7-Paper.pdf
NEURIPS-2018-P0006,NEURIPS-2018-A000017,Rui Zhang,shared,complete_shared_variant,University of Melbourne,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0006.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/019d385eb67632a7e958e23f24bd07d7-Paper.pdf
NEURIPS-2018-P0006,NEURIPS-2018-A000018,Yu Sun,shared,complete_shared_variant,University of Melbourne,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0006.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/019d385eb67632a7e958e23f24bd07d7-Paper.pdf
NEURIPS-2018-P0006,NEURIPS-2018-A000019,Jianzhong Qi,shared,complete_shared_variant,University of Melbourne,2,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0006.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/019d385eb67632a7e958e23f24bd07d7-Paper.pdf
NEURIPS-2018-P0007,NEURIPS-2018-A000020,Alexandre Marques,stacked,no_viable_candidate,UNKNOWN,-1000,data/raw/neurips/2018/first_pages/NEURIPS-2018-P0007.txt,https://proceedings.neurips.cc/paper_files/paper/2018/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf
