author_id,author_name,institution,country,conference,year
NEURIPS-2023-A000001,Michael Bereket,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000002,Theofanis Karaletsos,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000003,Lucy Xiaoyang Shi,Stanford University,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000004,Yunfan Jiang,Stanford University,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000005,Jake Grigsby,The University of Texas at Austin,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000006,Linxi Fan,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000007,Yuke Zhu,The University of Texas at Austin,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000008,Xiang Li,CMU,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000009,Chung-Ching Lin,Microsoft,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000010,Yinpeng Chen,Microsoft,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000011,Zicheng Liu,Microsoft,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000012,Jinglu Wang,Microsoft,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000013,Rita Singh,CMU,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000014,Bhiksha Raj,CMU | MBZUAI,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000015,Yiren Jian,Dartmouth College,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000016,Chongyang Gao,Northwestern University,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000017,Soroush Vosoughi,Dartmouth College,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000018,Yunzhang Zhu,"Statistics and Data Science team Nokia Bell Labs Murray Hill, NJ",UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000019,Renxiong Liu,"Statistics and Data Science team Nokia Bell Labs Murray Hill, NJ",UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000020,Yuhan Ding,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000021,Fukun Yin,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000022,Jiayuan Fan,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000023,Hui Li,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000024,Xin Chen,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000025,Wen Liu,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000026,Chongshan Lu,UNKNOWN,UNKNOWN,NeurIPS,2023
NEURIPS-2023-A000027,Gang Yu,UNKNOWN,UNKNOWN,NeurIPS,2023
