paper_id,author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied,first_page_text_path
NEURIPS-2024-P0002,NEURIPS-2024-A000011,Zejian Zhang,UNKNOWN,UNKNOWN,UNKNOWN,low,No institution or country information is provided for this author in the first-page text.,no,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0002.txt
NEURIPS-2024-P0002,NEURIPS-2024-A000012,Zhixiong Zeng,UNKNOWN,UNKNOWN,UNKNOWN,low,No institution or country information is provided for this author in the first-page text.,no,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0002.txt
NEURIPS-2024-P0003,NEURIPS-2024-A000016,Changhoon Song,UNKNOWN,UNKNOWN,South Korea,high,"Affiliated with Seoul National University, which is located in South Korea.",yes,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0003.txt
NEURIPS-2024-P0003,NEURIPS-2024-A000017,Yesom Park,UNKNOWN,UNKNOWN,United States | South Korea,high,"Affiliated with both the University of California, Los Angeles (United States) and Seoul National University (South Korea).",yes,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0003.txt
NEURIPS-2024-P0003,NEURIPS-2024-A000018,Myungjoo Kang,UNKNOWN,UNKNOWN,South Korea,high,"Affiliated with Seoul National University, which is located in South Korea.",yes,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0003.txt
NEURIPS-2024-P0004,NEURIPS-2024-A000019,Zikai Xiong,UNKNOWN,UNKNOWN,United States,high,"Affiliation: Massachusetts Institute of Technology (MIT), which is located in the United States.",yes,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0004.txt
NEURIPS-2024-P0004,NEURIPS-2024-A000020,Niccolò Dalmasso,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text for this author.,no,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0004.txt
NEURIPS-2024-P0004,NEURIPS-2024-A000021,Shubham Sharma,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text for this author.,no,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0004.txt
NEURIPS-2024-P0004,NEURIPS-2024-A000022,Freddy Lecue,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text for this author.,no,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0004.txt
NEURIPS-2024-P0004,NEURIPS-2024-A000023,Daniele Magazzeni,UNKNOWN,UNKNOWN,UNKNOWN,low,No explicit country information is provided in the text for this author.,no,data/raw/neurips/2024/first_pages/NEURIPS-2024-P0004.txt
