author_id,author_name,institution,existing_country,llm_country,llm_confidence,llm_reason,applied
NEURIPS-2025-A000022,Miranda Anna Christ,"Fazekas Mihály High School, Budapest, Hungary HUN-REN Alfréd Rényi Insititute of Mathematics, Budapest, Hungary Eötvös Loránd University, Budapest, Hungary",UNKNOWN,Hungary,high,"All institutions listed are explicitly located in Budapest, Hungary, and include Hungarian names and abbreviations (e.g., HUN-REN).",yes
NEURIPS-2025-A000023,Adrián Csiszárik,"Fazekas Mihály High School, Budapest, Hungary HUN-REN Alfréd Rényi Insititute of Mathematics, Budapest, Hungary Eötvös Loránd University, Budapest, Hungary",UNKNOWN,Hungary,high,"All institutions listed are explicitly located in Budapest, Hungary, and include Hungarian names and abbreviations (e.g., HUN-REN).",yes
NEURIPS-2025-A000024,Gergely Becsó,"Fazekas Mihály High School, Budapest, Hungary HUN-REN Alfréd Rényi Insititute of Mathematics, Budapest, Hungary Eötvös Loránd University, Budapest, Hungary",UNKNOWN,Hungary,high,"All institutions listed are explicitly located in Budapest, Hungary, and include Hungarian names and abbreviations (e.g., HUN-REN).",yes
NEURIPS-2025-A000025,Dániel Varga,"Fazekas Mihály High School, Budapest, Hungary HUN-REN Alfréd Rényi Insititute of Mathematics, Budapest, Hungary Eötvös Loránd University, Budapest, Hungary",UNKNOWN,Hungary,high,"All institutions listed are explicitly located in Budapest, Hungary, and include Hungarian names and abbreviations (e.g., HUN-REN).",yes
NEURIPS-2025-A000026,Yuqi Feng,"College of Computer Science, Sichuan University",UNKNOWN,China,high,Sichuan University is a well-known institution located in China.,yes
NEURIPS-2025-A000027,Jiahao Fan,"College of Computer Science, Sichuan University",UNKNOWN,China,high,Sichuan University is a well-known institution located in China.,yes
NEURIPS-2025-A000028,Yanan Sun,"College of Computer Science, Sichuan University",UNKNOWN,China,high,Sichuan University is a well-known institution located in China.,yes
NEURIPS-2025-A013420,Xin Ma,"College of Computer Science, Sichuan University",UNKNOWN,China,high,Sichuan University is a well-known institution located in China.,yes
NEURIPS-2025-A013423,Wei Ju,"College of Computer Science, Sichuan University",UNKNOWN,China,high,Sichuan University is a well-known institution located in China.,yes
NEURIPS-2025-A013427,Jiancheng Lv,"College of Computer Science, Sichuan University",UNKNOWN,China,high,Sichuan University is a well-known institution located in China.,yes
NEURIPS-2025-A000032,Dong Bok Lee,University of Freiburg,UNKNOWN,Germany,high,"The University of Freiburg is a well-known institution located in Freiburg, Germany.",yes
