paper_id,title,author_ids,conference,year,source_url
AAAI-2016-P0001,On the Effectiveness of Linear Models for One-Class Collaborative Filtering,AAAI-2016-A000001|AAAI-2016-A000002|AAAI-2016-A000003|AAAI-2016-A000004,AAAI,2016,https://aaai.org/papers/9991-on-the-effectiveness-of-linear-models-for-one-class-collaborative-filtering/
AAAI-2016-P0002,"College Towns, Vacation Spots, and Tech Hubs: Using Geo-Social Media to Model and Compare Locations",AAAI-2016-A000005|AAAI-2016-A000006,AAAI,2016,https://aaai.org/papers/9989-college-towns-vacation-spots-and-tech-hubs-using-geo-social-media-to-model-and-compare-locations/
AAAI-2016-P0003,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,AAAI-2016-A000007|AAAI-2016-A000008|AAAI-2016-A000009|AAAI-2016-A000010|AAAI-2016-A000011|AAAI-2016-A000012,AAAI,2016,https://aaai.org/papers/9992-commonsense-in-parts-mining-part-whole-relations-from-the-web-and-image-tags/
AAAI-2016-P0004,Column-Oriented Datalog Materialization for Large Knowledge Graphs,AAAI-2016-A000013|AAAI-2016-A000014|AAAI-2016-A000015,AAAI,2016,https://aaai.org/papers/9993-column-oriented-datalog-materialization-for-large-knowledge-graphs/
AAAI-2016-P0005,Understanding Emerging Spatial Entities,AAAI-2016-A000016|AAAI-2016-A000017|AAAI-2016-A000018,AAAI,2016,https://aaai.org/papers/9990-understanding-emerging-spatial-entities/
AAAI-2016-P0006,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns,AAAI-2016-A000019|AAAI-2016-A000020|AAAI-2016-A000021|AAAI-2016-A000022|AAAI-2016-A000023,AAAI,2016,https://aaai.org/papers/9994-inferring-a-personalized-next-point-of-interest-recommendation-model-with-latent-behavior-patterns/
AAAI-2016-P0007,A Scalable Framework to Choose Sellers in E-Marketplaces Using POMDPs,AAAI-2016-A000024|AAAI-2016-A000025|AAAI-2016-A000026,AAAI,2016,https://aaai.org/papers/9995-a-scalable-framework-to-choose-sellers-in-e-marketplaces-using-pomdps/
AAAI-2016-P0008,ClaimEval: Integrated and Flexible Framework for Claim Evaluation Using Credibility of Sources,AAAI-2016-A000027|AAAI-2016-A000028|AAAI-2016-A000029|AAAI-2016-A000030,AAAI,2016,https://aaai.org/papers/9996-claimeval-integrated-and-flexible-framework-for-claim-evaluation-using-credibility-of-sources/
AAAI-2016-P0009,Robust Text Classification in the Presence of Confounding Bias,AAAI-2016-A000031|AAAI-2016-A000032,AAAI,2016,https://aaai.org/papers/9997-robust-text-classification-in-the-presence-of-confounding-bias/
AAAI-2016-P0010,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,AAAI-2016-A000033|AAAI-2016-A000034|AAAI-2016-A000035|AAAI-2016-A000036|AAAI-2016-A000037,AAAI,2016,https://aaai.org/papers/9998-predicting-icu-mortality-risk-by-grouping-temporal-trends-from-a-multivariate-panel-of-physiologic-measurements/
