paper_id,author_id,author_position
AAAI-2017-P0001,AAAI-2017-A000001,1
AAAI-2017-P0001,AAAI-2017-A000002,2
AAAI-2017-P0002,AAAI-2017-A000003,1
AAAI-2017-P0002,AAAI-2017-A000004,2
AAAI-2017-P0002,AAAI-2017-A000005,3
AAAI-2017-P0003,AAAI-2017-A000006,1
AAAI-2017-P0003,AAAI-2017-A000007,2
AAAI-2017-P0003,AAAI-2017-A000008,3
AAAI-2017-P0004,AAAI-2017-A000009,1
AAAI-2017-P0004,AAAI-2017-A000010,2
AAAI-2017-P0004,AAAI-2017-A000011,3
AAAI-2017-P0004,AAAI-2017-A000012,4
AAAI-2017-P0004,AAAI-2017-A000013,5
AAAI-2017-P0004,AAAI-2017-A000014,6
AAAI-2017-P0004,AAAI-2017-A000015,7
AAAI-2017-P0005,AAAI-2017-A000016,1
AAAI-2017-P0005,AAAI-2017-A000017,2
AAAI-2017-P0006,AAAI-2017-A000018,1
AAAI-2017-P0006,AAAI-2017-A000019,2
AAAI-2017-P0006,AAAI-2017-A000020,3
AAAI-2017-P0006,AAAI-2017-A000021,4
AAAI-2017-P0006,AAAI-2017-A000022,5
AAAI-2017-P0006,AAAI-2017-A000023,6
AAAI-2017-P0007,AAAI-2017-A000024,1
AAAI-2017-P0007,AAAI-2017-A000025,2
AAAI-2017-P0007,AAAI-2017-A000026,3
AAAI-2017-P0007,AAAI-2017-A000027,4
AAAI-2017-P0008,AAAI-2017-A000028,1
AAAI-2017-P0008,AAAI-2017-A000029,2
AAAI-2017-P0008,AAAI-2017-A000030,3
AAAI-2017-P0009,AAAI-2017-A000031,1
AAAI-2017-P0009,AAAI-2017-A000032,2
AAAI-2017-P0009,AAAI-2017-A000033,3
AAAI-2017-P0009,AAAI-2017-A000034,4
AAAI-2017-P0010,AAAI-2017-A000035,1
AAAI-2017-P0010,AAAI-2017-A000036,2
AAAI-2017-P0010,AAAI-2017-A000037,3
AAAI-2017-P0011,AAAI-2017-A000038,1
AAAI-2017-P0011,AAAI-2017-A000039,2
AAAI-2017-P0011,AAAI-2017-A000040,3
AAAI-2017-P0012,AAAI-2017-A000041,1
AAAI-2017-P0012,AAAI-2017-A000042,2
AAAI-2017-P0013,AAAI-2017-A000043,1
AAAI-2017-P0013,AAAI-2017-A000044,2
AAAI-2017-P0013,AAAI-2017-A000045,3
AAAI-2017-P0013,AAAI-2017-A000046,4
AAAI-2017-P0014,AAAI-2017-A000047,1
AAAI-2017-P0014,AAAI-2017-A000048,2
AAAI-2017-P0015,AAAI-2017-A000049,1
AAAI-2017-P0015,AAAI-2017-A000050,2
AAAI-2017-P0016,AAAI-2017-A000051,1
AAAI-2017-P0016,AAAI-2017-A000052,2
AAAI-2017-P0017,AAAI-2017-A000053,1
AAAI-2017-P0017,AAAI-2017-A000054,2
AAAI-2017-P0018,AAAI-2017-A000055,1
AAAI-2017-P0018,AAAI-2017-A000056,2
AAAI-2017-P0019,AAAI-2017-A000057,1
AAAI-2017-P0019,AAAI-2017-A000058,2
AAAI-2017-P0019,AAAI-2017-A000059,3
AAAI-2017-P0020,AAAI-2017-A000060,1
AAAI-2017-P0020,AAAI-2017-A000061,2
AAAI-2017-P0020,AAAI-2017-A000062,3
AAAI-2017-P0020,AAAI-2017-A000063,4
AAAI-2017-P0021,AAAI-2017-A000064,1
AAAI-2017-P0021,AAAI-2017-A000065,2
AAAI-2017-P0021,AAAI-2017-A000066,3
AAAI-2017-P0022,AAAI-2017-A000067,1
AAAI-2017-P0022,AAAI-2017-A000068,2
AAAI-2017-P0022,AAAI-2017-A000069,3
AAAI-2017-P0022,AAAI-2017-A000070,4
AAAI-2017-P0023,AAAI-2017-A000071,1
AAAI-2017-P0023,AAAI-2017-A000072,2
AAAI-2017-P0023,AAAI-2017-A000073,3
AAAI-2017-P0023,AAAI-2017-A000074,4
AAAI-2017-P0023,AAAI-2017-A000075,5
AAAI-2017-P0024,AAAI-2017-A000076,1
AAAI-2017-P0024,AAAI-2017-A000077,2
AAAI-2017-P0024,AAAI-2017-A000078,3
AAAI-2017-P0024,AAAI-2017-A000079,4
AAAI-2017-P0024,AAAI-2017-A000080,5
AAAI-2017-P0024,AAAI-2017-A000081,6
AAAI-2017-P0025,AAAI-2017-A000082,1
AAAI-2017-P0025,AAAI-2017-A000083,2
AAAI-2017-P0026,AAAI-2017-A000084,1
AAAI-2017-P0026,AAAI-2017-A000085,2
AAAI-2017-P0026,AAAI-2017-A000086,3
AAAI-2017-P0026,AAAI-2017-A000087,4
AAAI-2017-P0027,AAAI-2017-A000088,1
AAAI-2017-P0027,AAAI-2017-A000089,2
AAAI-2017-P0027,AAAI-2017-A000090,3
AAAI-2017-P0027,AAAI-2017-A000091,4
AAAI-2017-P0027,AAAI-2017-A000092,5
AAAI-2017-P0027,AAAI-2017-A000093,6
AAAI-2017-P0027,AAAI-2017-A000094,7
AAAI-2017-P0028,AAAI-2017-A000095,1
AAAI-2017-P0029,AAAI-2017-A000096,1
AAAI-2017-P0029,AAAI-2017-A000097,2
AAAI-2017-P0029,AAAI-2017-A000098,3
AAAI-2017-P0029,AAAI-2017-A000099,4
AAAI-2017-P0030,AAAI-2017-A000100,1
AAAI-2017-P0030,AAAI-2017-A000101,2
AAAI-2017-P0030,AAAI-2017-A000102,3
AAAI-2017-P0030,AAAI-2017-A000103,4
AAAI-2017-P0030,AAAI-2017-A000104,5
AAAI-2017-P0031,AAAI-2017-A000105,1
AAAI-2017-P0031,AAAI-2017-A000106,2
AAAI-2017-P0031,AAAI-2017-A000107,3
AAAI-2017-P0031,AAAI-2017-A000108,4
AAAI-2017-P0031,AAAI-2017-A000109,5
AAAI-2017-P0031,AAAI-2017-A000110,6
AAAI-2017-P0031,AAAI-2017-A000111,7
AAAI-2017-P0031,AAAI-2017-A000112,8
AAAI-2017-P0032,AAAI-2017-A000113,1
AAAI-2017-P0032,AAAI-2017-A000114,2
AAAI-2017-P0032,AAAI-2017-A000115,3
AAAI-2017-P0033,AAAI-2017-A000116,1
AAAI-2017-P0033,AAAI-2017-A000117,2
AAAI-2017-P0033,AAAI-2017-A000118,3
AAAI-2017-P0034,AAAI-2017-A000119,1
AAAI-2017-P0034,AAAI-2017-A000120,2
AAAI-2017-P0034,AAAI-2017-A000121,3
AAAI-2017-P0034,AAAI-2017-A000122,4
AAAI-2017-P0035,AAAI-2017-A000123,1
AAAI-2017-P0035,AAAI-2017-A000124,2
AAAI-2017-P0035,AAAI-2017-A000125,3
AAAI-2017-P0035,AAAI-2017-A000126,4
AAAI-2017-P0036,AAAI-2017-A000127,1
AAAI-2017-P0036,AAAI-2017-A000128,2
AAAI-2017-P0036,AAAI-2017-A000129,3
AAAI-2017-P0036,AAAI-2017-A000130,4
AAAI-2017-P0037,AAAI-2017-A000131,1
AAAI-2017-P0037,AAAI-2017-A000132,2
AAAI-2017-P0038,AAAI-2017-A000133,1
AAAI-2017-P0038,AAAI-2017-A000134,2
AAAI-2017-P0038,AAAI-2017-A000135,3
AAAI-2017-P0039,AAAI-2017-A000136,1
AAAI-2017-P0039,AAAI-2017-A000137,2
AAAI-2017-P0040,AAAI-2017-A000138,1
AAAI-2017-P0040,AAAI-2017-A000139,2
AAAI-2017-P0040,AAAI-2017-A000140,3
AAAI-2017-P0041,AAAI-2017-A000141,1
AAAI-2017-P0041,AAAI-2017-A000142,2
AAAI-2017-P0041,AAAI-2017-A000143,3
AAAI-2017-P0042,AAAI-2017-A000144,1
AAAI-2017-P0042,AAAI-2017-A000145,2
AAAI-2017-P0042,AAAI-2017-A000146,3
AAAI-2017-P0042,AAAI-2017-A000147,4
AAAI-2017-P0043,AAAI-2017-A000148,1
AAAI-2017-P0043,AAAI-2017-A000149,2
AAAI-2017-P0043,AAAI-2017-A000150,3
AAAI-2017-P0043,AAAI-2017-A000151,4
AAAI-2017-P0044,AAAI-2017-A000152,1
AAAI-2017-P0044,AAAI-2017-A000153,2
AAAI-2017-P0044,AAAI-2017-A000154,3
AAAI-2017-P0044,AAAI-2017-A000155,4
AAAI-2017-P0044,AAAI-2017-A000156,5
AAAI-2017-P0045,AAAI-2017-A000157,1
AAAI-2017-P0046,AAAI-2017-A000158,1
AAAI-2017-P0046,AAAI-2017-A000159,2
AAAI-2017-P0046,AAAI-2017-A000160,3
AAAI-2017-P0047,AAAI-2017-A000161,1
AAAI-2017-P0047,AAAI-2017-A000162,2
AAAI-2017-P0048,AAAI-2017-A000163,1
AAAI-2017-P0048,AAAI-2017-A000164,2
AAAI-2017-P0049,AAAI-2017-A000165,1
AAAI-2017-P0049,AAAI-2017-A000166,2
AAAI-2017-P0049,AAAI-2017-A000167,3
AAAI-2017-P0049,AAAI-2017-A000168,4
AAAI-2017-P0049,AAAI-2017-A000169,5
AAAI-2017-P0050,AAAI-2017-A000170,1
AAAI-2017-P0050,AAAI-2017-A000171,2
AAAI-2017-P0050,AAAI-2017-A000172,3
AAAI-2017-P0051,AAAI-2017-A000173,1
AAAI-2017-P0051,AAAI-2017-A000174,2
AAAI-2017-P0051,AAAI-2017-A000175,3
AAAI-2017-P0051,AAAI-2017-A000176,4
AAAI-2017-P0051,AAAI-2017-A000177,5
AAAI-2017-P0052,AAAI-2017-A000178,1
AAAI-2017-P0052,AAAI-2017-A000179,2
AAAI-2017-P0052,AAAI-2017-A000180,3
AAAI-2017-P0053,AAAI-2017-A000181,1
AAAI-2017-P0053,AAAI-2017-A000182,2
AAAI-2017-P0053,AAAI-2017-A000183,3
AAAI-2017-P0053,AAAI-2017-A000184,4
AAAI-2017-P0053,AAAI-2017-A000185,5
AAAI-2017-P0053,AAAI-2017-A000186,6
AAAI-2017-P0053,AAAI-2017-A000187,7
AAAI-2017-P0054,AAAI-2017-A000188,1
AAAI-2017-P0054,AAAI-2017-A000189,2
AAAI-2017-P0054,AAAI-2017-A000190,3
AAAI-2017-P0055,AAAI-2017-A000191,1
AAAI-2017-P0055,AAAI-2017-A000192,2
AAAI-2017-P0055,AAAI-2017-A000193,3
AAAI-2017-P0056,AAAI-2017-A000194,1
AAAI-2017-P0056,AAAI-2017-A000195,2
AAAI-2017-P0056,AAAI-2017-A000196,3
AAAI-2017-P0057,AAAI-2017-A000197,1
AAAI-2017-P0057,AAAI-2017-A000198,2
AAAI-2017-P0057,AAAI-2017-A000199,3
AAAI-2017-P0058,AAAI-2017-A000200,1
AAAI-2017-P0058,AAAI-2017-A000201,2
AAAI-2017-P0058,AAAI-2017-A000202,3
AAAI-2017-P0058,AAAI-2017-A000203,4
AAAI-2017-P0058,AAAI-2017-A000204,5
AAAI-2017-P0058,AAAI-2017-A000205,6
AAAI-2017-P0059,AAAI-2017-A000206,1
AAAI-2017-P0059,AAAI-2017-A000207,2
AAAI-2017-P0059,AAAI-2017-A000208,3
AAAI-2017-P0060,AAAI-2017-A000209,1
AAAI-2017-P0060,AAAI-2017-A000210,2
AAAI-2017-P0060,AAAI-2017-A000211,3
AAAI-2017-P0060,AAAI-2017-A000212,4
AAAI-2017-P0061,AAAI-2017-A000213,1
AAAI-2017-P0061,AAAI-2017-A000214,2
AAAI-2017-P0061,AAAI-2017-A000215,3
AAAI-2017-P0061,AAAI-2017-A000216,4
AAAI-2017-P0061,AAAI-2017-A000217,5
AAAI-2017-P0062,AAAI-2017-A000218,1
AAAI-2017-P0062,AAAI-2017-A000219,2
AAAI-2017-P0062,AAAI-2017-A000220,3
AAAI-2017-P0062,AAAI-2017-A000221,4
AAAI-2017-P0062,AAAI-2017-A000222,5
AAAI-2017-P0062,AAAI-2017-A000223,6
AAAI-2017-P0063,AAAI-2017-A000224,1
AAAI-2017-P0063,AAAI-2017-A000225,2
AAAI-2017-P0064,AAAI-2017-A000226,1
AAAI-2017-P0064,AAAI-2017-A000227,2
AAAI-2017-P0064,AAAI-2017-A000228,3
AAAI-2017-P0065,AAAI-2017-A000229,1
AAAI-2017-P0065,AAAI-2017-A000230,2
AAAI-2017-P0065,AAAI-2017-A000231,3
AAAI-2017-P0065,AAAI-2017-A000232,4
AAAI-2017-P0066,AAAI-2017-A000233,1
AAAI-2017-P0066,AAAI-2017-A000234,2
AAAI-2017-P0066,AAAI-2017-A000235,3
AAAI-2017-P0067,AAAI-2017-A000236,1
AAAI-2017-P0067,AAAI-2017-A000237,2
AAAI-2017-P0067,AAAI-2017-A000238,3
AAAI-2017-P0067,AAAI-2017-A000239,4
