author_id,author_name,country,institution,conference,year,source_url,source_note
AAAI-2018-A000001,Yang Yang,United States | China,"College of Computer Science and Technology, Zhejiang University, China Department of Computer Science, University of Colorado Boulder, USA",AAAI,2018,https://cdn.aaai.org/ojs/11269/11269-13-14797-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000002,Chenhao Tan,United States | China,"College of Computer Science and Technology, Zhejiang University, China Department of Computer Science, University of Colorado Boulder, USA",AAAI,2018,https://cdn.aaai.org/ojs/11269/11269-13-14797-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000003,Zongtao Liu,United States | China,"College of Computer Science and Technology, Zhejiang University, China Department of Computer Science, University of Colorado Boulder, USA",AAAI,2018,https://cdn.aaai.org/ojs/11269/11269-13-14797-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000004,Fei Wu,United States | China,"College of Computer Science and Technology, Zhejiang University, China Department of Computer Science, University of Colorado Boulder, USA",AAAI,2018,https://cdn.aaai.org/ojs/11269/11269-13-14797-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000005,Yueting Zhuang,United States | China,"College of Computer Science and Technology, Zhejiang University, China Department of Computer Science, University of Colorado Boulder, USA",AAAI,2018,https://cdn.aaai.org/ojs/11269/11269-13-14797-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000006,Yang Liu,United States,New Jersey Institute of Technology,AAAI,2018,https://cdn.aaai.org/ojs/11268/11268-13-14796-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000007,Yi-Fang Wu,United States,New Jersey Institute of Technology,AAAI,2018,https://cdn.aaai.org/ojs/11268/11268-13-14796-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000008,Ke Tu,China,"Department of Computer Science and Technology, Tsinghua University",AAAI,2018,https://cdn.aaai.org/ojs/11266/11266-13-14794-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000009,Peng Cui,China,"Department of Computer Science and Technology, Tsinghua University",AAAI,2018,https://cdn.aaai.org/ojs/11266/11266-13-14794-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000010,Xiao Wang,China,"Department of Computer Science and Technology, Tsinghua University",AAAI,2018,https://cdn.aaai.org/ojs/11266/11266-13-14794-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000011,Fei Wang,UNKNOWN,UNKNOWN,AAAI,2018,https://aaai.org/papers/11266-structural-deep-embedding-for-hyper-networks/,Parsed from AAAI track pages or OJS issues; affiliation enrichment pending from PDF first pages
AAAI-2018-A000012,Wenwu Zhu,China,"Department of Computer Science and Technology, Tsinghua University",AAAI,2018,https://cdn.aaai.org/ojs/11266/11266-13-14794-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000013,Daixin Wang,China,"Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China",AAAI,2018,https://cdn.aaai.org/ojs/11267/11267-13-14795-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000014,Peng Cui,China,"Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China",AAAI,2018,https://cdn.aaai.org/ojs/11267/11267-13-14795-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000015,Wenwu Zhu,China,"Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing, China",AAAI,2018,https://cdn.aaai.org/ojs/11267/11267-13-14795-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000016,Bing-Jie Sun,China,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology | University of Chinese Academy of Sciences, Beijing, China",AAAI,2018,https://cdn.aaai.org/ojs/11265/11265-13-14793-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000017,Huawei Shen,China,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology",AAAI,2018,https://cdn.aaai.org/ojs/11265/11265-13-14793-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000018,Jinhua Gao,China,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology | University of Chinese Academy of Sciences, Beijing, China",AAAI,2018,https://cdn.aaai.org/ojs/11265/11265-13-14793-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000019,Wentao Ouyang,China,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology",AAAI,2018,https://cdn.aaai.org/ojs/11265/11265-13-14793-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000020,Xueqi Cheng,China,"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology",AAAI,2018,https://cdn.aaai.org/ojs/11265/11265-13-14793-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF; Country inferred from institution using local Ollama model
AAAI-2018-A000021,Guibing Guo,United States | United Kingdom | China,"Northeastern University, China University of Glasgow, UK",AAAI,2018,https://cdn.aaai.org/ojs/11279/11279-13-14807-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000022,Songlin Zhai,United States | United Kingdom | China,"Northeastern University, China University of Glasgow, UK",AAAI,2018,https://cdn.aaai.org/ojs/11279/11279-13-14807-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000023,Fajie Yuan,United States | United Kingdom | China,"Northeastern University, China University of Glasgow, UK",AAAI,2018,https://cdn.aaai.org/ojs/11279/11279-13-14807-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000024,Yuan Liu,United States | United Kingdom | China,"Northeastern University, China University of Glasgow, UK",AAAI,2018,https://cdn.aaai.org/ojs/11279/11279-13-14807-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
AAAI-2018-A000025,Xingwei Wang,United States | United Kingdom | China,"Northeastern University, China University of Glasgow, UK",AAAI,2018,https://cdn.aaai.org/ojs/11279/11279-13-14807-1-2-20201228.pdf,Affiliation parsed from local first-page text extracted from paper PDF
