paper_id,title,author_ids,conference,year,source_url
CVPR-2019-P0001,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,CVPR-2019-A000001|CVPR-2019-A000002|CVPR-2019-A000003|CVPR-2019-A000004|CVPR-2019-A000005,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.html
CVPR-2019-P0002,Edge-Labeling Graph Neural Network for Few-Shot Learning,CVPR-2019-A000006|CVPR-2019-A000007|CVPR-2019-A000008|CVPR-2019-A000009,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.html
CVPR-2019-P0003,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning,CVPR-2019-A000010|CVPR-2019-A000011,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Gidaris_Generating_Classification_Weights_With_GNN_Denoising_Autoencoders_for_Few-Shot_Learning_CVPR_2019_paper.html
CVPR-2019-P0004,Kervolutional Neural Networks,CVPR-2019-A000012|CVPR-2019-A000013|CVPR-2019-A000014|CVPR-2019-A000015,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Kervolutional_Neural_Networks_CVPR_2019_paper.html
CVPR-2019-P0005,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,CVPR-2019-A000016|CVPR-2019-A000017|CVPR-2019-A000018,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Hein_Why_ReLU_Networks_Yield_High-Confidence_Predictions_Far_Away_From_the_CVPR_2019_paper.html
CVPR-2019-P0006,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,CVPR-2019-A000019|CVPR-2019-A000020,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Tsuzuku_On_the_Structural_Sensitivity_of_Deep_Convolutional_Networks_to_the_CVPR_2019_paper.html
CVPR-2019-P0007,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,CVPR-2019-A000021|CVPR-2019-A000022|CVPR-2019-A000023|CVPR-2019-A000024,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Qiao_Neural_Rejuvenation_Improving_Deep_Network_Training_by_Enhancing_Computational_Resource_CVPR_2019_paper.html
CVPR-2019-P0008,Hardness-Aware Deep Metric Learning,CVPR-2019-A000025|CVPR-2019-A000026|CVPR-2019-A000027|CVPR-2019-A000028,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Zheng_Hardness-Aware_Deep_Metric_Learning_CVPR_2019_paper.html
CVPR-2019-P0009,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,CVPR-2019-A000029|CVPR-2019-A000030|CVPR-2019-A000031|CVPR-2019-A000032|CVPR-2019-A000033|CVPR-2019-A000034|CVPR-2019-A000035,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Liu_Auto-DeepLab_Hierarchical_Neural_Architecture_Search_for_Semantic_Image_Segmentation_CVPR_2019_paper.html
CVPR-2019-P0010,Learning Loss for Active Learning,CVPR-2019-A000036|CVPR-2019-A000037,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Yoo_Learning_Loss_for_Active_Learning_CVPR_2019_paper.html
CVPR-2019-P0011,Striking the Right Balance With Uncertainty,CVPR-2019-A000038|CVPR-2019-A000039|CVPR-2019-A000040|CVPR-2019-A000041|CVPR-2019-A000042,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Khan_Striking_the_Right_Balance_With_Uncertainty_CVPR_2019_paper.html
CVPR-2019-P0012,AutoAugment: Learning Augmentation Strategies From Data,CVPR-2019-A000043|CVPR-2019-A000044|CVPR-2019-A000045|CVPR-2019-A000046|CVPR-2019-A000047,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Cubuk_AutoAugment_Learning_Augmentation_Strategies_From_Data_CVPR_2019_paper.html
CVPR-2019-P0013,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration Without Correspondences,CVPR-2019-A000048|CVPR-2019-A000049|CVPR-2019-A000050|CVPR-2019-A000051,CVPR,2019,https://openaccess.thecvf.com/content_CVPR_2019/html/Le_SDRSAC_Semidefinite-Based_Randomized_Approach_for_Robust_Point_Cloud_Registration_Without_CVPR_2019_paper.html
