paper_id,author_id,author_position
ECCV-2020-P0001,ECCV-2020-A000001,1
ECCV-2020-P0001,ECCV-2020-A000002,2
ECCV-2020-P0001,ECCV-2020-A000003,3
ECCV-2020-P0001,ECCV-2020-A000004,4
ECCV-2020-P0001,ECCV-2020-A000005,5
ECCV-2020-P0001,ECCV-2020-A000006,6
ECCV-2020-P0002,ECCV-2020-A000007,1
ECCV-2020-P0002,ECCV-2020-A000008,2
ECCV-2020-P0003,ECCV-2020-A000009,1
ECCV-2020-P0003,ECCV-2020-A000010,2
ECCV-2020-P0003,ECCV-2020-A000011,3
ECCV-2020-P0003,ECCV-2020-A000012,4
ECCV-2020-P0003,ECCV-2020-A000013,5
ECCV-2020-P0004,ECCV-2020-A000014,1
ECCV-2020-P0004,ECCV-2020-A000015,2
ECCV-2020-P0004,ECCV-2020-A000016,3
ECCV-2020-P0005,ECCV-2020-A000017,1
ECCV-2020-P0005,ECCV-2020-A000018,2
ECCV-2020-P0005,ECCV-2020-A000019,3
ECCV-2020-P0006,ECCV-2020-A000020,1
ECCV-2020-P0006,ECCV-2020-A000021,2
ECCV-2020-P0006,ECCV-2020-A000022,3
ECCV-2020-P0006,ECCV-2020-A000023,4
ECCV-2020-P0007,ECCV-2020-A000024,1
ECCV-2020-P0007,ECCV-2020-A000025,2
ECCV-2020-P0007,ECCV-2020-A000026,3
ECCV-2020-P0007,ECCV-2020-A000027,4
ECCV-2020-P0007,ECCV-2020-A000028,5
ECCV-2020-P0007,ECCV-2020-A000029,6
ECCV-2020-P0008,ECCV-2020-A000030,1
ECCV-2020-P0008,ECCV-2020-A000031,2
ECCV-2020-P0008,ECCV-2020-A000032,3
ECCV-2020-P0008,ECCV-2020-A000033,4
ECCV-2020-P0008,ECCV-2020-A000034,5
ECCV-2020-P0008,ECCV-2020-A000035,6
ECCV-2020-P0009,ECCV-2020-A000036,1
ECCV-2020-P0009,ECCV-2020-A000037,2
ECCV-2020-P0009,ECCV-2020-A000038,3
ECCV-2020-P0009,ECCV-2020-A000039,4
ECCV-2020-P0009,ECCV-2020-A000040,5
ECCV-2020-P0010,ECCV-2020-A000041,1
ECCV-2020-P0010,ECCV-2020-A000042,2
ECCV-2020-P0010,ECCV-2020-A000043,3
ECCV-2020-P0010,ECCV-2020-A000044,4
ECCV-2020-P0010,ECCV-2020-A000045,5
ECCV-2020-P0011,ECCV-2020-A000046,1
ECCV-2020-P0011,ECCV-2020-A000047,2
ECCV-2020-P0011,ECCV-2020-A000048,3
ECCV-2020-P0011,ECCV-2020-A000049,4
ECCV-2020-P0012,ECCV-2020-A000050,1
ECCV-2020-P0012,ECCV-2020-A000051,2
ECCV-2020-P0012,ECCV-2020-A000052,3
ECCV-2020-P0013,ECCV-2020-A000053,1
ECCV-2020-P0013,ECCV-2020-A000054,2
ECCV-2020-P0013,ECCV-2020-A000055,3
ECCV-2020-P0013,ECCV-2020-A000056,4
ECCV-2020-P0013,ECCV-2020-A000057,5
ECCV-2020-P0013,ECCV-2020-A000058,6
ECCV-2020-P0014,ECCV-2020-A000059,1
ECCV-2020-P0014,ECCV-2020-A000060,2
ECCV-2020-P0014,ECCV-2020-A000061,3
ECCV-2020-P0014,ECCV-2020-A000062,4
ECCV-2020-P0014,ECCV-2020-A000063,5
ECCV-2020-P0015,ECCV-2020-A000064,1
ECCV-2020-P0015,ECCV-2020-A000065,2
ECCV-2020-P0015,ECCV-2020-A000066,3
ECCV-2020-P0015,ECCV-2020-A000067,4
ECCV-2020-P0016,ECCV-2020-A000068,1
ECCV-2020-P0016,ECCV-2020-A000069,2
ECCV-2020-P0016,ECCV-2020-A000070,3
ECCV-2020-P0016,ECCV-2020-A000071,4
ECCV-2020-P0016,ECCV-2020-A000072,5
ECCV-2020-P0016,ECCV-2020-A000073,6
ECCV-2020-P0017,ECCV-2020-A000074,1
ECCV-2020-P0017,ECCV-2020-A000075,2
ECCV-2020-P0017,ECCV-2020-A000076,3
ECCV-2020-P0018,ECCV-2020-A000077,1
ECCV-2020-P0018,ECCV-2020-A000078,2
ECCV-2020-P0018,ECCV-2020-A000079,3
