paper_id,author_id,author_position
ICCV-2015-P0001,ICCV-2015-A000001,1
ICCV-2015-P0001,ICCV-2015-A000002,2
ICCV-2015-P0001,ICCV-2015-A000003,3
ICCV-2015-P0002,ICCV-2015-A000004,1
ICCV-2015-P0002,ICCV-2015-A000005,2
ICCV-2015-P0002,ICCV-2015-A000006,3
ICCV-2015-P0002,ICCV-2015-A000007,4
ICCV-2015-P0002,ICCV-2015-A000008,5
ICCV-2015-P0002,ICCV-2015-A000009,6
ICCV-2015-P0003,ICCV-2015-A000010,1
ICCV-2015-P0003,ICCV-2015-A000011,2
ICCV-2015-P0003,ICCV-2015-A000012,3
ICCV-2015-P0003,ICCV-2015-A000013,4
ICCV-2015-P0003,ICCV-2015-A000014,5
ICCV-2015-P0003,ICCV-2015-A000015,6
ICCV-2015-P0003,ICCV-2015-A000016,7
ICCV-2015-P0004,ICCV-2015-A000017,1
ICCV-2015-P0004,ICCV-2015-A000018,2
ICCV-2015-P0004,ICCV-2015-A000019,3
ICCV-2015-P0005,ICCV-2015-A000020,1
ICCV-2015-P0005,ICCV-2015-A000021,2
ICCV-2015-P0005,ICCV-2015-A000022,3
ICCV-2015-P0006,ICCV-2015-A000023,1
ICCV-2015-P0006,ICCV-2015-A000024,2
ICCV-2015-P0007,ICCV-2015-A000025,1
ICCV-2015-P0007,ICCV-2015-A000026,2
ICCV-2015-P0007,ICCV-2015-A000027,3
ICCV-2015-P0008,ICCV-2015-A000028,1
ICCV-2015-P0008,ICCV-2015-A000029,2
ICCV-2015-P0008,ICCV-2015-A000030,3
ICCV-2015-P0009,ICCV-2015-A000031,1
ICCV-2015-P0009,ICCV-2015-A000032,2
ICCV-2015-P0009,ICCV-2015-A000033,3
ICCV-2015-P0010,ICCV-2015-A000034,1
ICCV-2015-P0010,ICCV-2015-A000035,2
ICCV-2015-P0010,ICCV-2015-A000036,3
ICCV-2015-P0010,ICCV-2015-A000037,4
ICCV-2015-P0011,ICCV-2015-A000038,1
ICCV-2015-P0011,ICCV-2015-A000039,2
ICCV-2015-P0011,ICCV-2015-A000040,3
ICCV-2015-P0011,ICCV-2015-A000041,4
ICCV-2015-P0011,ICCV-2015-A000042,5
ICCV-2015-P0011,ICCV-2015-A000043,6
ICCV-2015-P0012,ICCV-2015-A000044,1
ICCV-2015-P0012,ICCV-2015-A000045,2
ICCV-2015-P0012,ICCV-2015-A000046,3
ICCV-2015-P0012,ICCV-2015-A000047,4
ICCV-2015-P0012,ICCV-2015-A000048,5
ICCV-2015-P0013,ICCV-2015-A000049,1
ICCV-2015-P0013,ICCV-2015-A000050,2
ICCV-2015-P0013,ICCV-2015-A000051,3
ICCV-2015-P0014,ICCV-2015-A000052,1
ICCV-2015-P0014,ICCV-2015-A000053,2
ICCV-2015-P0014,ICCV-2015-A000054,3
ICCV-2015-P0014,ICCV-2015-A000055,4
ICCV-2015-P0014,ICCV-2015-A000056,5
ICCV-2015-P0014,ICCV-2015-A000057,6
ICCV-2015-P0015,ICCV-2015-A000058,1
ICCV-2015-P0015,ICCV-2015-A000059,2
ICCV-2015-P0015,ICCV-2015-A000060,3
ICCV-2015-P0015,ICCV-2015-A000061,4
ICCV-2015-P0016,ICCV-2015-A000062,1
ICCV-2015-P0016,ICCV-2015-A000063,2
ICCV-2015-P0017,ICCV-2015-A000064,1
ICCV-2015-P0017,ICCV-2015-A000065,2
ICCV-2015-P0017,ICCV-2015-A000066,3
ICCV-2015-P0017,ICCV-2015-A000067,4
ICCV-2015-P0017,ICCV-2015-A000068,5
ICCV-2015-P0017,ICCV-2015-A000069,6
ICCV-2015-P0017,ICCV-2015-A000070,7
ICCV-2015-P0018,ICCV-2015-A000071,1
ICCV-2015-P0018,ICCV-2015-A000072,2
ICCV-2015-P0018,ICCV-2015-A000073,3
ICCV-2015-P0019,ICCV-2015-A000074,1
ICCV-2015-P0019,ICCV-2015-A000075,2
ICCV-2015-P0019,ICCV-2015-A000076,3
ICCV-2015-P0020,ICCV-2015-A000077,1
ICCV-2015-P0020,ICCV-2015-A000078,2
ICCV-2015-P0020,ICCV-2015-A000079,3
ICCV-2015-P0021,ICCV-2015-A000080,1
ICCV-2015-P0021,ICCV-2015-A000081,2
ICCV-2015-P0021,ICCV-2015-A000082,3
ICCV-2015-P0021,ICCV-2015-A000083,4
ICCV-2015-P0021,ICCV-2015-A000084,5
ICCV-2015-P0021,ICCV-2015-A000085,6
ICCV-2015-P0022,ICCV-2015-A000086,1
ICCV-2015-P0022,ICCV-2015-A000087,2
ICCV-2015-P0022,ICCV-2015-A000088,3
ICCV-2015-P0022,ICCV-2015-A000089,4
ICCV-2015-P0022,ICCV-2015-A000090,5
ICCV-2015-P0023,ICCV-2015-A000091,1
ICCV-2015-P0023,ICCV-2015-A000092,2
ICCV-2015-P0023,ICCV-2015-A000093,3
ICCV-2015-P0023,ICCV-2015-A000094,4
ICCV-2015-P0023,ICCV-2015-A000095,5
ICCV-2015-P0023,ICCV-2015-A000096,6
ICCV-2015-P0024,ICCV-2015-A000097,1
ICCV-2015-P0024,ICCV-2015-A000098,2
ICCV-2015-P0025,ICCV-2015-A000099,1
ICCV-2015-P0025,ICCV-2015-A000100,2
ICCV-2015-P0025,ICCV-2015-A000101,3
ICCV-2015-P0026,ICCV-2015-A000102,1
ICCV-2015-P0026,ICCV-2015-A000103,2
ICCV-2015-P0026,ICCV-2015-A000104,3
ICCV-2015-P0027,ICCV-2015-A000105,1
ICCV-2015-P0027,ICCV-2015-A000106,2
ICCV-2015-P0027,ICCV-2015-A000107,3
ICCV-2015-P0027,ICCV-2015-A000108,4
ICCV-2015-P0027,ICCV-2015-A000109,5
ICCV-2015-P0028,ICCV-2015-A000110,1
ICCV-2015-P0028,ICCV-2015-A000111,2
ICCV-2015-P0028,ICCV-2015-A000112,3
ICCV-2015-P0028,ICCV-2015-A000113,4
ICCV-2015-P0028,ICCV-2015-A000114,5
ICCV-2015-P0029,ICCV-2015-A000115,1
ICCV-2015-P0029,ICCV-2015-A000116,2
ICCV-2015-P0029,ICCV-2015-A000117,3
ICCV-2015-P0029,ICCV-2015-A000118,4
ICCV-2015-P0030,ICCV-2015-A000119,1
ICCV-2015-P0030,ICCV-2015-A000120,2
ICCV-2015-P0030,ICCV-2015-A000121,3
ICCV-2015-P0030,ICCV-2015-A000122,4
ICCV-2015-P0031,ICCV-2015-A000123,1
ICCV-2015-P0031,ICCV-2015-A000124,2
ICCV-2015-P0031,ICCV-2015-A000125,3
ICCV-2015-P0031,ICCV-2015-A000126,4
ICCV-2015-P0031,ICCV-2015-A000127,5
ICCV-2015-P0031,ICCV-2015-A000128,6
ICCV-2015-P0031,ICCV-2015-A000129,7
ICCV-2015-P0032,ICCV-2015-A000130,1
ICCV-2015-P0032,ICCV-2015-A000131,2
ICCV-2015-P0033,ICCV-2015-A000132,1
ICCV-2015-P0033,ICCV-2015-A000133,2
ICCV-2015-P0033,ICCV-2015-A000134,3
ICCV-2015-P0033,ICCV-2015-A000135,4
ICCV-2015-P0034,ICCV-2015-A000136,1
ICCV-2015-P0034,ICCV-2015-A000137,2
ICCV-2015-P0034,ICCV-2015-A000138,3
