author_id,author_name,country,institution,conference,year,source_url,source_note
ICCV-2023-A000001,Sungwon Han,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000002,Sungwon Park,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000003,Fangzhao Wu,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000004,Sundong Kim,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000005,Bin Zhu,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000006,Xing Xie,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000007,Meeyoung Cha,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000008,Lukas Zbinden,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000009,Lars Doorenbos,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000010,Theodoros Pissas,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000011,Adrian Thomas Huber,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000012,Raphael Sznitman,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000013,Pablo Márquez-Neila,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
ICCV-2023-A000014,Minying Zhang,UNKNOWN,UNKNOWN,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_A_Dynamic_Dual-Processing_Object_Detection_Framework_Inspired_by_the_Brains_ICCV_2023_paper.html,Parsed from proceedings page; affiliation enrichment pending from PDF or other raw sources
