paper_id,title,author_ids,conference,year,source_url
ICCV-2023-P0001,Towards Attack-tolerant Federated Learning via Critical Parameter Analysis,ICCV-2023-A000001|ICCV-2023-A000002|ICCV-2023-A000003|ICCV-2023-A000004|ICCV-2023-A000005|ICCV-2023-A000006|ICCV-2023-A000007,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_Towards_Attack-tolerant_Federated_Learning_via_Critical_Parameter_Analysis_ICCV_2023_paper.html
ICCV-2023-P0002,Stochastic Segmentation with Conditional Categorical Diffusion Models,ICCV-2023-A000008|ICCV-2023-A000009|ICCV-2023-A000010|ICCV-2023-A000011|ICCV-2023-A000012|ICCV-2023-A000013,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html
ICCV-2023-P0003,A Dynamic Dual-Processing Object Detection Framework Inspired by the Brain's Recognition Mechanism,ICCV-2023-A000014|ICCV-2023-A000015|ICCV-2023-A000016,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_A_Dynamic_Dual-Processing_Object_Detection_Framework_Inspired_by_the_Brains_ICCV_2023_paper.html
ICCV-2023-P0004,Hard No-Box Adversarial Attack on Skeleton-Based Human Action Recognition with Skeleton-Motion-Informed Gradient,ICCV-2023-A000017|ICCV-2023-A000018|ICCV-2023-A000019|ICCV-2023-A000020|ICCV-2023-A000021,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Lu_Hard_No-Box_Adversarial_Attack_on_Skeleton-Based_Human_Action_Recognition_with_ICCV_2023_paper.html
ICCV-2023-P0005,GameFormer: Game-theoretic Modeling and Learning of Transformer-based Interactive Prediction and Planning for Autonomous Driving,ICCV-2023-A000022|ICCV-2023-A000023|ICCV-2023-A000024,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Huang_GameFormer_Game-theoretic_Modeling_and_Learning_of_Transformer-based_Interactive_Prediction_and_ICCV_2023_paper.html
ICCV-2023-P0006,Learning in Imperfect Environment: Multi-Label Classification with Long-Tailed Distribution and Partial Labels,ICCV-2023-A000025|ICCV-2023-A000026|ICCV-2023-A000027|ICCV-2023-A000028|ICCV-2023-A000029|ICCV-2023-A000030,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_Learning_in_Imperfect_Environment_Multi-Label_Classification_with_Long-Tailed_Distribution_and_ICCV_2023_paper.html
ICCV-2023-P0007,Flexible Visual Recognition by Evidential Modeling of Confusion and Ignorance,ICCV-2023-A000031|ICCV-2023-A000032|ICCV-2023-A000033|ICCV-2023-A000034|ICCV-2023-A000035,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Fan_Flexible_Visual_Recognition_by_Evidential_Modeling_of_Confusion_and_Ignorance_ICCV_2023_paper.html
ICCV-2023-P0008,Texture Generation on 3D Meshes with Point-UV Diffusion,ICCV-2023-A000036|ICCV-2023-A000037|ICCV-2023-A000038|ICCV-2023-A000039|ICCV-2023-A000040|ICCV-2023-A000041,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Yu_Texture_Generation_on_3D_Meshes_with_Point-UV_Diffusion_ICCV_2023_paper.html
ICCV-2023-P0009,Enhanced Soft Label for Semi-Supervised Semantic Segmentation,ICCV-2023-A000042|ICCV-2023-A000043|ICCV-2023-A000044|ICCV-2023-A000045|ICCV-2023-A000046,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Ma_Enhanced_Soft_Label_for_Semi-Supervised_Semantic_Segmentation_ICCV_2023_paper.html
ICCV-2023-P0010,HM-ViT: Hetero-Modal Vehicle-to-Vehicle Cooperative Perception with Vision Transformer,ICCV-2023-A000047|ICCV-2023-A000048|ICCV-2023-A000049,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Xiang_HM-ViT_Hetero-Modal_Vehicle-to-Vehicle_Cooperative_Perception_with_Vision_Transformer_ICCV_2023_paper.html
ICCV-2023-P0011,HyperReenact: One-Shot Reenactment via Jointly Learning to Refine and Retarget Faces,ICCV-2023-A000050|ICCV-2023-A000051|ICCV-2023-A000052|ICCV-2023-A000053|ICCV-2023-A000054,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Bounareli_HyperReenact_One-Shot_Reenactment_via_Jointly_Learning_to_Refine_and_Retarget_ICCV_2023_paper.html
ICCV-2023-P0012,Unified Visual Relationship Detection with Vision and Language Models,ICCV-2023-A000055|ICCV-2023-A000056|ICCV-2023-A000057|ICCV-2023-A000058|ICCV-2023-A000059|ICCV-2023-A000060|ICCV-2023-A000061|ICCV-2023-A000062,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhao_Unified_Visual_Relationship_Detection_with_Vision_and_Language_Models_ICCV_2023_paper.html
ICCV-2023-P0013,Rickrolling the Artist: Injecting Backdoors into Text Encoders for Text-to-Image Synthesis,ICCV-2023-A000063|ICCV-2023-A000064|ICCV-2023-A000065,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Struppek_Rickrolling_the_Artist_Injecting_Backdoors_into_Text_Encoders_for_Text-to-Image_ICCV_2023_paper.html
ICCV-2023-P0014,LD-ZNet: A Latent Diffusion Approach for Text-Based Image Segmentation,ICCV-2023-A000066|ICCV-2023-A000067|ICCV-2023-A000068|ICCV-2023-A000069|ICCV-2023-A000070,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/PNVR_LD-ZNet_A_Latent_Diffusion_Approach_for_Text-Based_Image_Segmentation_ICCV_2023_paper.html
ICCV-2023-P0015,Downstream-agnostic Adversarial Examples,ICCV-2023-A000071|ICCV-2023-A000072|ICCV-2023-A000073|ICCV-2023-A000074|ICCV-2023-A000075|ICCV-2023-A000076|ICCV-2023-A000077,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhou_Downstream-agnostic_Adversarial_Examples_ICCV_2023_paper.html
ICCV-2023-P0016,Studying How to Efficiently and Effectively Guide Models with Explanations,ICCV-2023-A000078|ICCV-2023-A000079|ICCV-2023-A000080|ICCV-2023-A000081,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Rao_Studying_How_to_Efficiently_and_Effectively_Guide_Models_with_Explanations_ICCV_2023_paper.html
ICCV-2023-P0017,SkeletonMAE: Graph-based Masked Autoencoder for Skeleton Sequence Pre-training,ICCV-2023-A000082|ICCV-2023-A000083|ICCV-2023-A000084|ICCV-2023-A000085|ICCV-2023-A000086|ICCV-2023-A000087,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Yan_SkeletonMAE_Graph-based_Masked_Autoencoder_for_Skeleton_Sequence_Pre-training_ICCV_2023_paper.html
ICCV-2023-P0018,Pose-Free Neural Radiance Fields via Implicit Pose Regularization,ICCV-2023-A000088|ICCV-2023-A000089|ICCV-2023-A000090|ICCV-2023-A000091|ICCV-2023-A000092|ICCV-2023-A000093|ICCV-2023-A000094|ICCV-2023-A000095,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhang_Pose-Free_Neural_Radiance_Fields_via_Implicit_Pose_Regularization_ICCV_2023_paper.html
ICCV-2023-P0019,Encyclopedic VQA: Visual Questions About Detailed Properties of Fine-Grained Categories,ICCV-2023-A000096|ICCV-2023-A000097|ICCV-2023-A000098|ICCV-2023-A000099|ICCV-2023-A000100|ICCV-2023-A000101|ICCV-2023-A000102|ICCV-2023-A000103|ICCV-2023-A000104,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Mensink_Encyclopedic_VQA_Visual_Questions_About_Detailed_Properties_of_Fine-Grained_Categories_ICCV_2023_paper.html
ICCV-2023-P0020,Towards Understanding the Generalization of Deepfake Detectors from a Game-Theoretical View,ICCV-2023-A000105|ICCV-2023-A000106|ICCV-2023-A000107|ICCV-2023-A000108,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Yao_Towards_Understanding_the_Generalization_of_Deepfake_Detectors_from_a_Game-Theoretical_ICCV_2023_paper.html
ICCV-2023-P0021,3DPPE: 3D Point Positional Encoding for Transformer-based Multi-Camera 3D Object Detection,ICCV-2023-A000109|ICCV-2023-A000110|ICCV-2023-A000111|ICCV-2023-A000112,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Shu_3DPPE_3D_Point_Positional_Encoding_for_Transformer-based_Multi-Camera_3D_Object_ICCV_2023_paper.html
ICCV-2023-P0022,VertexSerum: Poisoning Graph Neural Networks for Link Inference,ICCV-2023-A000113|ICCV-2023-A000114|ICCV-2023-A000115|ICCV-2023-A000116,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Ding_VertexSerum_Poisoning_Graph_Neural_Networks_for_Link_Inference_ICCV_2023_paper.html
ICCV-2023-P0023,Deep Geometrized Cartoon Line Inbetweening,ICCV-2023-A000117|ICCV-2023-A000118|ICCV-2023-A000119|ICCV-2023-A000120|ICCV-2023-A000121|ICCV-2023-A000122,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Siyao_Deep_Geometrized_Cartoon_Line_Inbetweening_ICCV_2023_paper.html
ICCV-2023-P0024,MatrixCity: A Large-scale City Dataset for City-scale Neural Rendering and Beyond,ICCV-2023-A000123|ICCV-2023-A000124|ICCV-2023-A000125|ICCV-2023-A000126|ICCV-2023-A000127|ICCV-2023-A000128|ICCV-2023-A000129,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Li_MatrixCity_A_Large-scale_City_Dataset_for_City-scale_Neural_Rendering_and_ICCV_2023_paper.html
ICCV-2023-P0025,LinkGAN: Linking GAN Latents to Pixels for Controllable Image Synthesis,ICCV-2023-A000130|ICCV-2023-A000131|ICCV-2023-A000132|ICCV-2023-A000133|ICCV-2023-A000134|ICCV-2023-A000135|ICCV-2023-A000136,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Zhu_LinkGAN_Linking_GAN_Latents_to_Pixels_for_Controllable_Image_Synthesis_ICCV_2023_paper.html
ICCV-2023-P0026,SVDiff: Compact Parameter Space for Diffusion Fine-Tuning,ICCV-2023-A000137|ICCV-2023-A000138|ICCV-2023-A000139|ICCV-2023-A000140|ICCV-2023-A000141|ICCV-2023-A000142,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Han_SVDiff_Compact_Parameter_Space_for_Diffusion_Fine-Tuning_ICCV_2023_paper.html
ICCV-2023-P0027,Distilling Large Vision-Language Model with Out-of-Distribution Generalizability,ICCV-2023-A000143|ICCV-2023-A000144|ICCV-2023-A000145|ICCV-2023-A000146|ICCV-2023-A000147|ICCV-2023-A000148,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Li_Distilling_Large_Vision-Language_Model_with_Out-of-Distribution_Generalizability_ICCV_2023_paper.html
ICCV-2023-P0028,What do neural networks learn in image classification? A frequency shortcut perspective,ICCV-2023-A000149|ICCV-2023-A000150|ICCV-2023-A000151|ICCV-2023-A000152,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Wang_What_do_neural_networks_learn_in_image_classification_A_frequency_ICCV_2023_paper.html
ICCV-2023-P0029,PromptCap: Prompt-Guided Image Captioning for VQA with GPT-3,ICCV-2023-A000153|ICCV-2023-A000154|ICCV-2023-A000155|ICCV-2023-A000156|ICCV-2023-A000157|ICCV-2023-A000158,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Hu_PromptCap_Prompt-Guided_Image_Captioning_for_VQA_with_GPT-3_ICCV_2023_paper.html
ICCV-2023-P0030,Periodically Exchange Teacher-Student for Source-Free Object Detection,ICCV-2023-A000159|ICCV-2023-A000160|ICCV-2023-A000161|ICCV-2023-A000162,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Liu_Periodically_Exchange_Teacher-Student_for_Source-Free_Object_Detection_ICCV_2023_paper.html
ICCV-2023-P0031,Learning to Transform for Generalizable Instance-wise Invariance,ICCV-2023-A000163|ICCV-2023-A000164|ICCV-2023-A000165|ICCV-2023-A000166,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Singhal_Learning_to_Transform_for_Generalizable_Instance-wise_Invariance_ICCV_2023_paper.html
ICCV-2023-P0032,Multiple Instance Learning Framework with Masked Hard Instance Mining for Whole Slide Image Classification,ICCV-2023-A000167|ICCV-2023-A000168|ICCV-2023-A000169|ICCV-2023-A000170|ICCV-2023-A000171|ICCV-2023-A000172,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Tang_Multiple_Instance_Learning_Framework_with_Masked_Hard_Instance_Mining_for_ICCV_2023_paper.html
ICCV-2023-P0033,Unsupervised Compositional Concepts Discovery with Text-to-Image Generative Models,ICCV-2023-A000173|ICCV-2023-A000174|ICCV-2023-A000175|ICCV-2023-A000176|ICCV-2023-A000177,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Liu_Unsupervised_Compositional_Concepts_Discovery_with_Text-to-Image_Generative_Models_ICCV_2023_paper.html
ICCV-2023-P0034,Partition-And-Debias: Agnostic Biases Mitigation via a Mixture of Biases-Specific Experts,ICCV-2023-A000178|ICCV-2023-A000179|ICCV-2023-A000180,ICCV,2023,https://openaccess.thecvf.com/content/ICCV2023/html/Li_Partition-And-Debias_Agnostic_Biases_Mitigation_via_a_Mixture_of_Biases-Specific_Experts_ICCV_2023_paper.html
