paper_id,author_id,author_position
ICML-2019-P0001,ICML-2019-A000001,1
ICML-2019-P0001,ICML-2019-A000002,2
ICML-2019-P0001,ICML-2019-A000003,3
ICML-2019-P0001,ICML-2019-A000004,4
ICML-2019-P0001,ICML-2019-A000005,5
ICML-2019-P0001,ICML-2019-A000006,6
ICML-2019-P0002,ICML-2019-A000007,1
ICML-2019-P0002,ICML-2019-A000008,2
ICML-2019-P0002,ICML-2019-A000009,3
ICML-2019-P0002,ICML-2019-A000010,4
ICML-2019-P0002,ICML-2019-A000011,5
ICML-2019-P0003,ICML-2019-A000012,1
ICML-2019-P0003,ICML-2019-A000013,2
ICML-2019-P0003,ICML-2019-A000014,3
ICML-2019-P0003,ICML-2019-A000015,4
ICML-2019-P0003,ICML-2019-A000016,5
ICML-2019-P0003,ICML-2019-A000017,6
ICML-2019-P0003,ICML-2019-A000018,7
ICML-2019-P0003,ICML-2019-A000019,8
ICML-2019-P0004,ICML-2019-A000020,1
ICML-2019-P0004,ICML-2019-A000021,2
ICML-2019-P0004,ICML-2019-A000022,3
ICML-2019-P0005,ICML-2019-A000023,1
ICML-2019-P0005,ICML-2019-A000024,2
ICML-2019-P0005,ICML-2019-A000025,3
ICML-2019-P0005,ICML-2019-A000026,4
ICML-2019-P0006,ICML-2019-A000027,1
ICML-2019-P0006,ICML-2019-A000028,2
ICML-2019-P0007,ICML-2019-A000029,1
ICML-2019-P0007,ICML-2019-A000030,2
ICML-2019-P0007,ICML-2019-A000031,3
ICML-2019-P0007,ICML-2019-A000032,4
ICML-2019-P0008,ICML-2019-A000033,1
ICML-2019-P0008,ICML-2019-A000034,2
ICML-2019-P0009,ICML-2019-A000035,1
ICML-2019-P0009,ICML-2019-A000036,2
ICML-2019-P0009,ICML-2019-A000037,3
ICML-2019-P0009,ICML-2019-A000038,4
ICML-2019-P0009,ICML-2019-A000039,5
ICML-2019-P0010,ICML-2019-A000040,1
