paper_id,author_id,author_position
NEURIPS-2019-P0001,NEURIPS-2019-A000001,1
NEURIPS-2019-P0001,NEURIPS-2019-A000002,2
NEURIPS-2019-P0001,NEURIPS-2019-A000003,3
NEURIPS-2019-P0001,NEURIPS-2019-A000004,4
NEURIPS-2019-P0001,NEURIPS-2019-A000005,5
NEURIPS-2019-P0002,NEURIPS-2019-A000006,1
NEURIPS-2019-P0002,NEURIPS-2019-A000007,2
NEURIPS-2019-P0002,NEURIPS-2019-A000008,3
NEURIPS-2019-P0002,NEURIPS-2019-A000009,4
NEURIPS-2019-P0002,NEURIPS-2019-A000010,5
NEURIPS-2019-P0003,NEURIPS-2019-A000011,1
NEURIPS-2019-P0003,NEURIPS-2019-A000012,2
NEURIPS-2019-P0003,NEURIPS-2019-A000013,3
NEURIPS-2019-P0003,NEURIPS-2019-A000014,4
NEURIPS-2019-P0003,NEURIPS-2019-A000015,5
NEURIPS-2019-P0003,NEURIPS-2019-A000016,6
NEURIPS-2019-P0004,NEURIPS-2019-A000017,1
NEURIPS-2019-P0004,NEURIPS-2019-A000018,2
NEURIPS-2019-P0004,NEURIPS-2019-A000019,3
NEURIPS-2019-P0004,NEURIPS-2019-A000020,4
NEURIPS-2019-P0005,NEURIPS-2019-A000021,1
NEURIPS-2019-P0005,NEURIPS-2019-A000022,2
NEURIPS-2019-P0005,NEURIPS-2019-A000023,3
NEURIPS-2019-P0006,NEURIPS-2019-A000024,1
NEURIPS-2019-P0006,NEURIPS-2019-A000025,2
NEURIPS-2019-P0006,NEURIPS-2019-A000026,3
NEURIPS-2019-P0006,NEURIPS-2019-A000027,4
NEURIPS-2019-P0006,NEURIPS-2019-A000028,5
NEURIPS-2019-P0007,NEURIPS-2019-A000029,1
NEURIPS-2019-P0007,NEURIPS-2019-A000030,2
NEURIPS-2019-P0007,NEURIPS-2019-A000031,3
NEURIPS-2019-P0008,NEURIPS-2019-A000032,1
NEURIPS-2019-P0008,NEURIPS-2019-A000033,2
NEURIPS-2019-P0008,NEURIPS-2019-A000034,3
NEURIPS-2019-P0008,NEURIPS-2019-A000035,4
NEURIPS-2019-P0008,NEURIPS-2019-A000036,5
NEURIPS-2019-P0008,NEURIPS-2019-A000037,6
NEURIPS-2019-P0009,NEURIPS-2019-A000038,1
NEURIPS-2019-P0009,NEURIPS-2019-A000039,2
NEURIPS-2019-P0009,NEURIPS-2019-A000040,3
NEURIPS-2019-P0010,NEURIPS-2019-A000041,1
NEURIPS-2019-P0010,NEURIPS-2019-A000042,2
NEURIPS-2019-P0010,NEURIPS-2019-A000043,3
NEURIPS-2019-P0010,NEURIPS-2019-A000044,4
NEURIPS-2019-P0010,NEURIPS-2019-A000045,5
NEURIPS-2019-P0011,NEURIPS-2019-A000046,1
NEURIPS-2019-P0011,NEURIPS-2019-A000047,2
NEURIPS-2019-P0011,NEURIPS-2019-A000048,3
NEURIPS-2019-P0012,NEURIPS-2019-A000049,1
NEURIPS-2019-P0012,NEURIPS-2019-A000050,2
NEURIPS-2019-P0012,NEURIPS-2019-A000051,3
NEURIPS-2019-P0012,NEURIPS-2019-A000052,4
NEURIPS-2019-P0012,NEURIPS-2019-A000053,5
NEURIPS-2019-P0013,NEURIPS-2019-A000054,1
NEURIPS-2019-P0013,NEURIPS-2019-A000055,2
NEURIPS-2019-P0013,NEURIPS-2019-A000056,3
NEURIPS-2019-P0014,NEURIPS-2019-A000057,1
NEURIPS-2019-P0014,NEURIPS-2019-A000058,2
NEURIPS-2019-P0014,NEURIPS-2019-A000059,3
NEURIPS-2019-P0014,NEURIPS-2019-A000060,4
NEURIPS-2019-P0015,NEURIPS-2019-A000061,1
NEURIPS-2019-P0015,NEURIPS-2019-A000062,2
NEURIPS-2019-P0015,NEURIPS-2019-A000063,3
NEURIPS-2019-P0016,NEURIPS-2019-A000064,1
NEURIPS-2019-P0016,NEURIPS-2019-A000065,2
NEURIPS-2019-P0016,NEURIPS-2019-A000066,3
NEURIPS-2019-P0017,NEURIPS-2019-A000067,1
NEURIPS-2019-P0017,NEURIPS-2019-A000068,2
NEURIPS-2019-P0017,NEURIPS-2019-A000069,3
NEURIPS-2019-P0018,NEURIPS-2019-A000070,1
NEURIPS-2019-P0018,NEURIPS-2019-A000071,2
NEURIPS-2019-P0018,NEURIPS-2019-A000072,3
NEURIPS-2019-P0018,NEURIPS-2019-A000073,4
NEURIPS-2019-P0018,NEURIPS-2019-A000074,5
NEURIPS-2019-P0018,NEURIPS-2019-A000075,6
NEURIPS-2019-P0018,NEURIPS-2019-A000076,7
NEURIPS-2019-P0018,NEURIPS-2019-A000077,8
NEURIPS-2019-P0018,NEURIPS-2019-A000078,9
NEURIPS-2019-P0019,NEURIPS-2019-A000079,1
NEURIPS-2019-P0019,NEURIPS-2019-A000080,2
NEURIPS-2019-P0019,NEURIPS-2019-A000081,3
NEURIPS-2019-P0019,NEURIPS-2019-A000082,4
NEURIPS-2019-P0019,NEURIPS-2019-A000083,5
NEURIPS-2019-P0020,NEURIPS-2019-A000084,1
NEURIPS-2019-P0020,NEURIPS-2019-A000085,2
NEURIPS-2019-P0020,NEURIPS-2019-A000086,3
NEURIPS-2019-P0020,NEURIPS-2019-A000087,4
NEURIPS-2019-P0021,NEURIPS-2019-A000088,1
NEURIPS-2019-P0021,NEURIPS-2019-A000089,2
NEURIPS-2019-P0021,NEURIPS-2019-A000090,3
NEURIPS-2019-P0022,NEURIPS-2019-A000091,1
NEURIPS-2019-P0022,NEURIPS-2019-A000092,2
NEURIPS-2019-P0022,NEURIPS-2019-A000093,3
NEURIPS-2019-P0023,NEURIPS-2019-A000094,1
NEURIPS-2019-P0023,NEURIPS-2019-A000095,2
NEURIPS-2019-P0023,NEURIPS-2019-A000096,3
NEURIPS-2019-P0024,NEURIPS-2019-A000097,1
NEURIPS-2019-P0024,NEURIPS-2019-A000098,2
NEURIPS-2019-P0024,NEURIPS-2019-A000099,3
NEURIPS-2019-P0025,NEURIPS-2019-A000100,1
NEURIPS-2019-P0026,NEURIPS-2019-A000101,1
NEURIPS-2019-P0026,NEURIPS-2019-A000102,2
NEURIPS-2019-P0026,NEURIPS-2019-A000103,3
NEURIPS-2019-P0027,NEURIPS-2019-A000104,1
NEURIPS-2019-P0027,NEURIPS-2019-A000105,2
NEURIPS-2019-P0027,NEURIPS-2019-A000106,3
NEURIPS-2019-P0027,NEURIPS-2019-A000107,4
NEURIPS-2019-P0028,NEURIPS-2019-A000108,1
NEURIPS-2019-P0028,NEURIPS-2019-A000109,2
NEURIPS-2019-P0028,NEURIPS-2019-A000110,3
NEURIPS-2019-P0028,NEURIPS-2019-A000111,4
NEURIPS-2019-P0028,NEURIPS-2019-A000112,5
NEURIPS-2019-P0028,NEURIPS-2019-A000113,6
NEURIPS-2019-P0028,NEURIPS-2019-A000114,7
NEURIPS-2019-P0029,NEURIPS-2019-A000115,1
NEURIPS-2019-P0029,NEURIPS-2019-A000116,2
NEURIPS-2019-P0029,NEURIPS-2019-A000117,3
NEURIPS-2019-P0029,NEURIPS-2019-A000118,4
NEURIPS-2019-P0029,NEURIPS-2019-A000119,5
NEURIPS-2019-P0030,NEURIPS-2019-A000120,1
NEURIPS-2019-P0030,NEURIPS-2019-A000121,2
NEURIPS-2019-P0030,NEURIPS-2019-A000122,3
NEURIPS-2019-P0030,NEURIPS-2019-A000123,4
NEURIPS-2019-P0031,NEURIPS-2019-A000124,1
NEURIPS-2019-P0031,NEURIPS-2019-A000125,2
NEURIPS-2019-P0031,NEURIPS-2019-A000126,3
NEURIPS-2019-P0032,NEURIPS-2019-A000127,1
NEURIPS-2019-P0032,NEURIPS-2019-A000128,2
NEURIPS-2019-P0032,NEURIPS-2019-A000129,3
NEURIPS-2019-P0032,NEURIPS-2019-A000130,4
NEURIPS-2019-P0032,NEURIPS-2019-A000131,5
NEURIPS-2019-P0033,NEURIPS-2019-A000132,1
NEURIPS-2019-P0033,NEURIPS-2019-A000133,2
NEURIPS-2019-P0033,NEURIPS-2019-A000134,3
NEURIPS-2019-P0033,NEURIPS-2019-A000135,4
NEURIPS-2019-P0034,NEURIPS-2019-A000136,1
NEURIPS-2019-P0034,NEURIPS-2019-A000137,2
NEURIPS-2019-P0035,NEURIPS-2019-A000138,1
NEURIPS-2019-P0035,NEURIPS-2019-A000139,2
NEURIPS-2019-P0036,NEURIPS-2019-A000140,1
NEURIPS-2019-P0036,NEURIPS-2019-A000141,2
NEURIPS-2019-P0036,NEURIPS-2019-A000142,3
NEURIPS-2019-P0036,NEURIPS-2019-A000143,4
NEURIPS-2019-P0037,NEURIPS-2019-A000144,1
NEURIPS-2019-P0037,NEURIPS-2019-A000145,2
NEURIPS-2019-P0037,NEURIPS-2019-A000146,3
NEURIPS-2019-P0037,NEURIPS-2019-A000147,4
NEURIPS-2019-P0038,NEURIPS-2019-A000148,1
NEURIPS-2019-P0038,NEURIPS-2019-A000149,2
NEURIPS-2019-P0038,NEURIPS-2019-A000150,3
NEURIPS-2019-P0038,NEURIPS-2019-A000151,4
NEURIPS-2019-P0038,NEURIPS-2019-A000152,5
NEURIPS-2019-P0039,NEURIPS-2019-A000153,1
NEURIPS-2019-P0039,NEURIPS-2019-A000154,2
NEURIPS-2019-P0039,NEURIPS-2019-A000155,3
NEURIPS-2019-P0040,NEURIPS-2019-A000156,1
NEURIPS-2019-P0040,NEURIPS-2019-A000157,2
NEURIPS-2019-P0041,NEURIPS-2019-A000158,1
NEURIPS-2019-P0041,NEURIPS-2019-A000159,2
NEURIPS-2019-P0042,NEURIPS-2019-A000160,1
NEURIPS-2019-P0042,NEURIPS-2019-A000161,2
NEURIPS-2019-P0042,NEURIPS-2019-A000162,3
NEURIPS-2019-P0043,NEURIPS-2019-A000163,1
NEURIPS-2019-P0043,NEURIPS-2019-A000164,2
NEURIPS-2019-P0043,NEURIPS-2019-A000165,3
NEURIPS-2019-P0044,NEURIPS-2019-A000166,1
NEURIPS-2019-P0044,NEURIPS-2019-A000167,2
NEURIPS-2019-P0044,NEURIPS-2019-A000168,3
