paper_id,title,author_ids,conference,year,source_url
NEURIPS-2020-P0001,A graph similarity for deep learning,NEURIPS-2020-A000001,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0004d0b59e19461ff126e3a08a814c33-Abstract.html
NEURIPS-2020-P0002,An Unsupervised Information-Theoretic Perceptual Quality Metric,NEURIPS-2020-A000002|NEURIPS-2020-A000003|NEURIPS-2020-A000004|NEURIPS-2020-A000005,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/00482b9bed15a272730fcb590ffebddd-Abstract.html
NEURIPS-2020-P0003,Self-Supervised MultiModal Versatile Networks,NEURIPS-2020-A000006|NEURIPS-2020-A000007|NEURIPS-2020-A000008|NEURIPS-2020-A000009|NEURIPS-2020-A000010|NEURIPS-2020-A000011|NEURIPS-2020-A000012|NEURIPS-2020-A000013|NEURIPS-2020-A000014,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0060ef47b12160b9198302ebdb144dcf-Abstract.html
NEURIPS-2020-P0004,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method",NEURIPS-2020-A000015|NEURIPS-2020-A000016|NEURIPS-2020-A000017,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/007ff380ee5ac49ffc34442f5c2a2b86-Abstract.html
NEURIPS-2020-P0005,Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,NEURIPS-2020-A000018|NEURIPS-2020-A000019|NEURIPS-2020-A000020,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0084ae4bc24c0795d1e6a4f58444d39b-Abstract.html
NEURIPS-2020-P0006,Neural Methods for Point-wise Dependency Estimation,NEURIPS-2020-A000021|NEURIPS-2020-A000022|NEURIPS-2020-A000023|NEURIPS-2020-A000024|NEURIPS-2020-A000025,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/00a03ec6533ca7f5c644d198d815329c-Abstract.html
NEURIPS-2020-P0007,Fast and Flexible Temporal Point Processes with Triangular Maps,NEURIPS-2020-A000026|NEURIPS-2020-A000027|NEURIPS-2020-A000028|NEURIPS-2020-A000029,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
NEURIPS-2020-P0008,Backpropagating Linearly Improves Transferability of Adversarial Examples,NEURIPS-2020-A000030|NEURIPS-2020-A000031|NEURIPS-2020-A000032,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html
NEURIPS-2020-P0009,PyGlove: Symbolic Programming for Automated Machine Learning,NEURIPS-2020-A000033|NEURIPS-2020-A000034|NEURIPS-2020-A000035|NEURIPS-2020-A000036|NEURIPS-2020-A000037|NEURIPS-2020-A000038|NEURIPS-2020-A000039|NEURIPS-2020-A000040|NEURIPS-2020-A000041|NEURIPS-2020-A000042,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/012a91467f210472fab4e11359bbfef6-Abstract.html
NEURIPS-2020-P0010,Fourier Sparse Leverage Scores and Approximate Kernel Learning,NEURIPS-2020-A000043|NEURIPS-2020-A000044|NEURIPS-2020-A000045,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/012d9fe15b2493f21902cd55603382ec-Abstract.html
