paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0001,CVPR-2015-A000001,Christian Szegedy,Google Inc.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000002,Wei Liu,"University of Michigan, Ann Arbor",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000003,Yangqing Jia,Google Inc.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000004,Pierre Sermanet,Google Inc.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000005,Scott Reed,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000006,Dragomir Anguelov,Google Inc.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000007,Dumitru Erhan,Google Inc.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000008,Vincent Vanhoucke,Google Inc.,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0001,CVPR-2015-A000009,Andrew Rabinovich,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0001.txt
CVPR-2015-P0002,CVPR-2015-A000010,Jen-Hao Rick Chang,Dept. Electrical and Computer Engineering Carnegie Mellon University,United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0002.txt
CVPR-2015-P0002,CVPR-2015-A000011,Yu-Chiang Frank Wang,Research Center for IT Innovation Academia Sinica,Taiwan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0002.txt
CVPR-2015-P0003,CVPR-2015-A000012,Yunchao Gong,Facebook,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0003.txt
CVPR-2015-P0003,CVPR-2015-A000013,Marcin Pawlowski,Facebook,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0003.txt
CVPR-2015-P0003,CVPR-2015-A000014,Fei Yang,Facebook,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0003.txt
CVPR-2015-P0003,CVPR-2015-A000015,Louis Brandy,Facebook,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0003.txt
CVPR-2015-P0003,CVPR-2015-A000016,Lubomir Bourdev,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0003.txt
CVPR-2015-P0003,CVPR-2015-A000017,Rob Fergus,Facebook,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0003.txt
CVPR-2015-P0004,CVPR-2015-A000018,Alina Kuznetsova,Leibniz University Hannover | Disney Research Pittsburgh,United States | Germany,data/raw/cvpr/2015/first_pages/CVPR-2015-P0004.txt
CVPR-2015-P0004,CVPR-2015-A000019,Sung Ju Hwang,UNIST,South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0004.txt
CVPR-2015-P0004,CVPR-2015-A000020,Bodo Rosenhahn,Leibniz University Hannover,Germany,data/raw/cvpr/2015/first_pages/CVPR-2015-P0004.txt
CVPR-2015-P0004,CVPR-2015-A000021,Leonid Sigal,Disney Research Pittsburgh,United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0004.txt
CVPR-2015-P0005,CVPR-2015-A000022,Fumin Shen,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0005.txt
CVPR-2015-P0005,CVPR-2015-A000023,Chunhua Shen,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0005.txt
CVPR-2015-P0005,CVPR-2015-A000024,Wei Liu,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0005.txt
CVPR-2015-P0005,CVPR-2015-A000025,Heng Tao Shen, University of Electronic Science and Technology of China IBM Research † ‡ University of Adelaide; and Australian Centre for Robotic Vision The University of Queensland ∗,China | Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0005.txt
CVPR-2015-P0006,CVPR-2015-A000026,Mihir Jain,University of Amsterdam ?,Netherlands,data/raw/cvpr/2015/first_pages/CVPR-2015-P0006.txt
CVPR-2015-P0006,CVPR-2015-A000027,Jan C. van Gemert,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0006.txt
CVPR-2015-P0006,CVPR-2015-A000028,Cees G. M. Snoek,Qualcomm Research Netherlands,Netherlands,data/raw/cvpr/2015/first_pages/CVPR-2015-P0006.txt
CVPR-2015-P0007,CVPR-2015-A000029,Rahaf Aljundi,"remi.emonet, damien.muselet, marc.sebban @univ-st-etienne.fr CNRS, UMR , Laboratoire Hubert Curien, F- , Saint-Étienne, France Université de Saint-Étienne, Jean-Monnet, F- , Saint-Étienne, France",France,data/raw/cvpr/2015/first_pages/CVPR-2015-P0007.txt
CVPR-2015-P0007,CVPR-2015-A000030,Remi Emonet,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0007.txt
CVPR-2015-P0007,CVPR-2015-A000031,Damien Muselet,"remi.emonet, damien.muselet, marc.sebban @univ-st-etienne.fr CNRS, UMR , Laboratoire Hubert Curien, F- , Saint-Étienne, France Université de Saint-Étienne, Jean-Monnet, F- , Saint-Étienne, France",France,data/raw/cvpr/2015/first_pages/CVPR-2015-P0007.txt
CVPR-2015-P0007,CVPR-2015-A000032,Marc Sebban,"remi.emonet, damien.muselet, marc.sebban @univ-st-etienne.fr CNRS, UMR , Laboratoire Hubert Curien, F- , Saint-Étienne, France Université de Saint-Étienne, Jean-Monnet, F- , Saint-Étienne, France",France,data/raw/cvpr/2015/first_pages/CVPR-2015-P0007.txt
CVPR-2015-P0008,CVPR-2015-A000033,Wei-Sheng Lai,National Taiwan University Yen-Yu Lin2 Yung-Yu Chuang1,Taiwan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0008.txt
CVPR-2015-P0008,CVPR-2015-A000034,Jian-Jiun Ding,National Taiwan University Yen-Yu Lin2 Yung-Yu Chuang1,Taiwan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0008.txt
CVPR-2015-P0008,CVPR-2015-A000035,Yen-Yu Lin,"Academia Sinica, Taiwan",Taiwan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0008.txt
CVPR-2015-P0008,CVPR-2015-A000036,Yung-Yu Chuang,National Taiwan University Yen-Yu Lin2 Yung-Yu Chuang1,Taiwan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0008.txt
CVPR-2015-P0009,CVPR-2015-A000037,Nikhil Naik,Christoph Rhemann2 Sing Bing Kang2 Shahram Izadi2 MIT Media Lab | Microsoft Research,United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0009.txt
CVPR-2015-P0009,CVPR-2015-A000038,Achuta Kadambi,Christoph Rhemann2 Sing Bing Kang2 Shahram Izadi2 MIT Media Lab,United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0009.txt
CVPR-2015-P0009,CVPR-2015-A000039,Christoph Rhemann,Microsoft Research,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0009.txt
CVPR-2015-P0009,CVPR-2015-A000040,Shahram Izadi,Microsoft Research,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0009.txt
CVPR-2015-P0009,CVPR-2015-A000041,Ramesh Raskar,Christoph Rhemann2 Sing Bing Kang2 Shahram Izadi2 MIT Media Lab,United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0009.txt
CVPR-2015-P0009,CVPR-2015-A000042,Sing Bing Kang,Microsoft Research,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0009.txt
CVPR-2015-P0010,CVPR-2015-A000043,Simone Frintrop,"Institute of Computer Science III Rheinische Friedrich-Wilhelms-Universität Bonn, Germany",Germany,data/raw/cvpr/2015/first_pages/CVPR-2015-P0010.txt
CVPR-2015-P0010,CVPR-2015-A000044,Thomas Werner,"Institute of Computer Science III Rheinische Friedrich-Wilhelms-Universität Bonn, Germany",Germany,data/raw/cvpr/2015/first_pages/CVPR-2015-P0010.txt
CVPR-2015-P0010,CVPR-2015-A000045,German Martin Garcia,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0010.txt
CVPR-2015-P0011,CVPR-2015-A000046,Patrick Snape,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0011.txt
CVPR-2015-P0011,CVPR-2015-A000047,Yannis Panagakis,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0011.txt
CVPR-2015-P0011,CVPR-2015-A000048,Stefanos Zafeiriou,Imperial College London,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0011.txt
CVPR-2015-P0012,CVPR-2015-A000049,Min-Gyu Park,"Computer Vision Laboratory, GIST, South Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0012.txt
CVPR-2015-P0012,CVPR-2015-A000050,Kuk-Jin Yoon,"Computer Vision Laboratory, GIST, South Korea",South Korea,data/raw/cvpr/2015/first_pages/CVPR-2015-P0012.txt
CVPR-2015-P0013,CVPR-2015-A000051,Yao Qin,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0013,CVPR-2015-A000052,Huchuan Lu,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0013,CVPR-2015-A000053,Yiqun Xu,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0013,CVPR-2015-A000054,He Wang,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0014,CVPR-2015-A000055,Jonas Wulff,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0014.txt
CVPR-2015-P0014,CVPR-2015-A000056,Michael J. Black,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",Germany,data/raw/cvpr/2015/first_pages/CVPR-2015-P0014.txt
CVPR-2015-P0015,CVPR-2015-A000057,Carlo Ciliberto,"Laboratory for Computational and Statistical Learning, Istituto Italiano di Tecnologia, Genova, Italy Poggio Lab, Massachusetts Institute of Technology, Cambridge, MA, USA DIBRIS, Universita’ degli studi di Genova, Genoa, Italy",United States | Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0015.txt
CVPR-2015-P0015,CVPR-2015-A000058,Lorenzo Rosasco,"Laboratory for Computational and Statistical Learning, Istituto Italiano di Tecnologia, Genova, Italy Poggio Lab, Massachusetts Institute of Technology, Cambridge, MA, USA DIBRIS, Universita’ degli studi di Genova, Genoa, Italy",United States | Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0015.txt
CVPR-2015-P0015,CVPR-2015-A000059,Silvia Villa,"Laboratory for Computational and Statistical Learning, Istituto Italiano di Tecnologia, Genova, Italy Poggio Lab, Massachusetts Institute of Technology, Cambridge, MA, USA DIBRIS, Universita’ degli studi di Genova, Genoa, Italy",United States | Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0015.txt
CVPR-2015-P0016,CVPR-2015-A000060,Zhiwu Huang,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China | University of Chinese Academy of Sciences, Beijing, , China {wangruiping, sgshan",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0016,CVPR-2015-A000061,Ruiping Wang,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0016,CVPR-2015-A000062,Shiguang Shan,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0016,CVPR-2015-A000063,Xilin Chen,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0017,CVPR-2015-A000064,Tianzhu Zhang,Advanced Digital Sciences Center China-Singapore Institute of Digital Media,China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000065,Si Liu,National University of Singapore University of Illinois at Urbana-Champaign,Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000066,Changsheng Xu,Advanced Digital Sciences Center China-Singapore Institute of Digital Media,China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000067,Shuicheng Yan,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
