source_url,source_type,used_for,notes
https://link.springer.com/book/10.1007/978-3-030-58452-8,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58536-5,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58580-8,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58548-8,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58558-7,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58539-6,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58571-6,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58598-3,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58545-7,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58607-2,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58621-8,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58610-2,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58601-0,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58568-6,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58555-6,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58517-4,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58520-4,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58523-5,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58529-7,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58565-5,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58589-1,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58542-6,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58592-1,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58586-0,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58595-2,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58574-7,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58583-9,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58604-1,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58526-6,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
https://link.springer.com/book/10.1007/978-3-030-58577-8,springer_book_toc,"chapter titles, author list preview, chapter page URLs, chapter PDF URLs",Auto-discovered from Springer other-volumes list
