paper_id,title,paper_page_url,pdf_url
NEURIPS-2015-P0001,Quartz: Randomized Dual Coordinate Ascent with Arbitrary Sampling,https://proceedings.neurips.cc/paper_files/paper/2015/hash/01f78be6f7cad02658508fe4616098a9-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/01f78be6f7cad02658508fe4616098a9-Paper.pdf
NEURIPS-2015-P0002,Associative Memory via a Sparse Recovery Model,https://proceedings.neurips.cc/paper_files/paper/2015/hash/020c8bfac8de160d4c5543b96d1fdede-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/020c8bfac8de160d4c5543b96d1fdede-Paper.pdf
NEURIPS-2015-P0003,Policy Gradient for Coherent Risk Measures,https://proceedings.neurips.cc/paper_files/paper/2015/hash/024d7f84fff11dd7e8d9c510137a2381-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/024d7f84fff11dd7e8d9c510137a2381-Paper.pdf
NEURIPS-2015-P0004,"A fast, universal algorithm to learn parametric nonlinear embeddings",https://proceedings.neurips.cc/paper_files/paper/2015/hash/02522a2b2726fb0a03bb19f2d8d9524d-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/02522a2b2726fb0a03bb19f2d8d9524d-Paper.pdf
NEURIPS-2015-P0005,Stochastic Online Greedy Learning with Semi-bandit Feedbacks,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/0266e33d3f546cb5436a10798e657d97-Paper.pdf
NEURIPS-2015-P0006,SubmodBoxes: Near-Optimal Search for a Set of Diverse Object Proposals,https://proceedings.neurips.cc/paper_files/paper/2015/hash/02a32ad2669e6fe298e607fe7cc0e1a0-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/02a32ad2669e6fe298e607fe7cc0e1a0-Paper.pdf
NEURIPS-2015-P0007,Robust Portfolio Optimization,https://proceedings.neurips.cc/paper_files/paper/2015/hash/02e74f10e0327ad868d138f2b4fdd6f0-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/02e74f10e0327ad868d138f2b4fdd6f0-Paper.pdf
NEURIPS-2015-P0008,Top-k Multiclass SVM,https://proceedings.neurips.cc/paper_files/paper/2015/hash/0336dcbab05b9d5ad24f4333c7658a0e-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/0336dcbab05b9d5ad24f4333c7658a0e-Paper.pdf
NEURIPS-2015-P0009,Less is More: Nyström Computational Regularization,https://proceedings.neurips.cc/paper_files/paper/2015/hash/03e0704b5690a2dee1861dc3ad3316c9-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/03e0704b5690a2dee1861dc3ad3316c9-Paper.pdf
NEURIPS-2015-P0010,Parallel Recursive Best-First AND/OR Search for Exact MAP Inference in Graphical Models,https://proceedings.neurips.cc/paper_files/paper/2015/hash/04ecb1fa28506ccb6f72b12c0245ddbc-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2015/file/04ecb1fa28506ccb6f72b12c0245ddbc-Paper.pdf
