conference,year,country,total_papers,papers_with_known_country,papers_with_country,papers_with_unknown_only,share_percent_all_papers,share_percent_known_country_papers
AAAI,2015,China,652,629,136,23,20.86,21.62
AAAI,2016,China,676,648,171,28,25.30,26.39
AAAI,2017,China,765,732,230,33,30.07,31.42
AAAI,2018,China,1102,1063,381,39,34.57,35.84
AAAI,2019,China,1343,1304,525,39,39.09,40.26
AAAI,2020,China,1716,1653,742,63,43.24,44.89
AAAI,2021,China,1778,1734,713,44,40.10,41.12
AAAI,2022,China,1319,1284,551,35,41.77,42.91
AAAI,2023,China,1720,1681,908,39,52.79,54.02
AAAI,2024,China,2581,2539,1543,42,59.78,60.77
AAAI,2025,China,3239,3198,2100,41,64.83,65.67
CVPR,2015,China,602,570,120,32,19.93,21.05
CVPR,2016,China,643,623,136,20,21.15,21.83
CVPR,2017,China,783,757,191,26,24.39,25.23
CVPR,2018,China,979,949,300,30,30.64,31.61
CVPR,2019,China,1294,1234,501,60,38.72,40.60
CVPR,2020,China,1466,1388,604,78,41.20,43.52
CVPR,2021,China,1660,1572,693,88,41.75,44.08
CVPR,2022,China,2074,1985,932,89,44.94,46.95
CVPR,2023,China,2353,2231,1112,122,47.26,49.84
CVPR,2024,China,2716,2591,1298,125,47.79,50.10
CVPR,2025,China,2871,2763,1517,108,52.84,54.90
ECCV,2016,China,415,100,16,315,3.86,16.00
ECCV,2018,China,778,100,21,678,2.70,21.00
ECCV,2020,China,1361,781,243,580,17.85,31.11
ECCV,2022,China,1648,1002,393,646,23.85,39.22
ECCV,2024,China,2388,1327,565,1061,23.66,42.58
ICCV,2015,China,526,512,115,14,21.86,22.46
ICCV,2017,China,621,611,188,10,30.27,30.77
ICCV,2019,China,1075,1027,384,48,35.72,37.39
ICCV,2021,China,1612,1520,638,92,39.58,41.97
ICCV,2023,China,2156,2044,1040,112,48.24,50.88
ICCV,2025,China,2701,2592,1471,109,54.46,56.75
ICML,2015,China,270,265,21,5,7.78,7.92
ICML,2016,China,322,303,21,19,6.52,6.93
ICML,2017,China,434,429,32,5,7.37,7.46
ICML,2018,China,621,605,57,16,9.18,9.42
ICML,2019,China,773,755,64,18,8.28,8.48
ICML,2020,China,1084,1058,110,26,10.15,10.40
ICML,2021,China,1183,1162,159,21,13.44,13.68
ICML,2022,China,1233,1213,230,20,18.65,18.96
ICML,2023,China,1828,1789,345,39,18.87,19.28
ICML,2024,China,2610,2557,724,53,27.74,28.31
ICML,2025,China,3330,3260,1151,70,34.56,35.31
NeurIPS,2015,China,403,388,16,15,3.97,4.12
NeurIPS,2016,China,568,534,37,34,6.51,6.93
NeurIPS,2017,China,678,645,58,33,8.55,8.99
NeurIPS,2018,China,1008,971,133,37,13.19,13.70
NeurIPS,2019,China,1427,1371,174,56,12.19,12.69
NeurIPS,2020,China,1898,1817,253,81,13.33,13.92
NeurIPS,2021,China,2334,2220,426,114,18.25,19.19
NeurIPS,2022,China,2834,2680,675,154,23.82,25.19
NeurIPS,2023,China,3540,3348,911,192,25.73,27.21
NeurIPS,2024,China,4493,4315,1511,178,33.63,35.02
NeurIPS,2025,China,5133,4891,2001,242,38.98,40.91
